SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL20001,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,0,66.7,66.7,0,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,4276,4083,8354,2425,1884,4307,670,888,1564,141,215,356,141,121,257,3376,3105,6479,630,774,1403,4.1,3.8,4,79,76,77.5,75.7,73.1,74.5,632,746,1380,170,215,383,1547,1458,3002,335,366,704,357,204,560,24,31,55,35,43,77,416,276,691,2887,2811,5695,1424,1361,2778,1365,1368,2732,2817,2686,5504
SAL20003,1579,1702,3286,787,483,1270,241,531,769,71,86,163,55,47,101,1155,1149,2303,376,508,889,4.8,3.9,4.3,72.9,67.5,70.1,69.5,64.8,67.1,131,156,291,54,74,131,367,452,818,124,171,292,280,102,382,8,18,25,22,42,63,308,159,467,1673,1742,3413,185,193,383,1235,1308,2547,551,573,1121
SAL20004,3,3,7,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,66.7,33.3,50,66.7,33.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,3,3,7
SAL20005,71,67,135,24,12,38,13,20,37,7,8,11,0,0,0,41,43,80,25,27,49,2.5,0,1.2,58.8,62.7,60.7,57.4,62.7,60,4,3,9,0,0,7,4,5,16,3,6,13,14,9,27,0,0,0,3,3,5,18,15,36,63,66,134,9,7,14,44,52,97,23,23,44
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,28,27,59,10,3,15,3,7,12,0,4,6,0,0,3,17,11,33,11,10,21,11.8,6.7,9.4,56.7,48.4,52.5,50,45.2,47.5,0,0,0,0,0,0,0,0,0,0,9,9,13,3,14,0,0,0,0,0,0,13,3,16,35,32,63,5,3,8,21,17,45,15,13,20
SAL20008,27,29,51,7,3,14,3,8,9,0,0,0,0,0,0,10,12,24,14,13,27,9.1,0,4.3,44,40,41.8,40,40,40,0,0,0,0,0,0,0,0,0,5,3,8,12,0,9,0,0,0,0,0,0,12,3,13,23,29,53,4,4,4,21,22,43,10,4,14
SAL20009,42,32,71,12,3,20,6,9,13,0,0,0,0,0,0,20,15,37,16,15,35,9.5,0,5.4,55.3,50,52.9,50,50,50,0,0,0,0,0,0,0,4,8,0,0,8,15,5,20,0,0,0,0,0,0,15,5,19,40,35,81,3,0,3,37,36,69,6,5,11
SAL20010,31,27,61,4,0,10,4,6,11,0,0,5,0,0,0,11,8,19,15,13,26,0,0,0,33.3,36,34.5,33.3,36,34.5,0,0,0,0,0,0,0,0,4,6,9,7,13,3,12,0,0,0,0,0,0,13,8,17,24,16,44,5,0,10,24,18,42,8,5,11
