SAL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SAL22748,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,3,0,0,0,0,3,23,0,0,0,0,23
SAL22749,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SAL22750,3963,454,24,0,3,4443,6226,528,45,0,0,6802,3376,1034,90,4,0,4507,321,93,10,0,0,414,31,39,6,0,0,68,565,148,14,0,0,726,81,18,0,0,0,95,32,10,0,0,0,37,4406,1334,122,7,0,5860,163,64,0,0,0,232,214,59,3,0,0,275,14970,2436,192,7,4,17614
SAL22751,311,11,35,23,0,384,204,13,27,0,0,245,121,6,101,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,34,3,5,0,0,45,9,0,0,0,0,14,4,0,0,0,0,4,165,13,104,0,0,286,14,0,0,3,0,17,12,0,0,3,0,17,707,41,166,34,0,953
SAL22752,18,0,0,0,0,18,8,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,6,6,0,0,0,0,3,3,0,0,0,0,3,38,0,0,0,0,39
SAL22753,126,0,0,0,0,126,173,0,0,0,0,173,22,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,31,0,0,0,0,33,15,0,0,0,0,15,9,0,0,0,0,9,359,0,0,0,0,360
SAL22754,52,3,0,0,0,56,57,3,0,0,0,56,9,3,0,0,0,14,10,0,0,0,0,10,0,0,0,0,0,0,11,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,34,3,0,0,0,37,3,3,0,0,0,4,0,0,0,0,0,0,147,6,0,0,0,157
SAL22755,18,0,0,0,0,18,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,40
SAL22756,788,102,97,0,0,998,1113,300,191,6,0,1608,529,315,574,0,0,1418,24,48,23,0,0,102,15,11,11,0,0,43,143,69,56,3,0,270,9,11,13,0,0,29,3,3,0,0,0,11,725,453,675,3,0,1858,39,11,7,0,0,55,39,12,16,0,0,70,2708,878,985,19,0,4597
SAL22757,16,131,302,0,0,453,14,171,606,0,0,795,14,280,1835,6,0,2142,0,40,10,0,0,52,0,11,16,0,0,27,10,70,184,6,0,264,0,5,29,0,0,36,0,0,0,0,0,0,15,397,2076,15,0,2511,0,17,38,0,0,57,0,11,35,0,0,40,46,718,3066,21,7,3853
