SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL20001,0,0,0,0,0,0,0,0,0,4
SAL20002,98,3,97,921,282,10,1210,6645,498,8354
SAL20003,68,7,81,690,186,7,885,2293,106,3286
SAL20004,0,0,0,0,0,0,0,0,0,7
SAL20005,5,0,5,21,13,0,27,103,3,135
SAL20006,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,7,3,0,11,38,13,59
SAL20008,0,0,0,6,3,0,8,42,8,51
SAL20009,3,0,3,17,9,0,26,46,0,71
SAL20010,0,0,3,7,0,0,9,36,12,61
SAL20011,9,3,12,2208,206,33,2443,2704,309,5457
SAL20012,0,0,0,0,0,0,0,0,0,0
SAL20013,27,6,28,118,66,6,194,599,82,876
SAL20014,0,0,0,17,7,0,23,93,12,128
SAL20015,242,20,265,1395,363,22,1783,4784,251,6821
SAL20016,0,0,0,0,0,0,0,0,0,0
SAL20017,48,0,51,783,244,17,1038,3216,335,4590
SAL20018,102,20,123,1090,305,25,1422,3393,232,5052
SAL20019,4,0,8,48,18,0,63,164,18,242
SAL20020,0,0,0,7,5,0,15,44,4,67
SAL20021,75,6,80,547,115,11,681,2712,325,3716
SAL20022,94,3,96,371,131,16,523,1734,137,2386
SAL20023,126,16,144,2337,612,75,3022,5733,362,9116
SAL20024,0,0,0,3,0,0,3,14,0,16
SAL20025,0,0,0,14,5,0,19,36,15,71
SAL20026,0,4,4,3,6,5,13,41,5,61
SAL20027,0,0,0,58,15,5,77,121,34,233
SAL20028,14,3,17,243,102,5,344,723,69,1143
SAL20029,5,0,5,35,9,0,49,100,9,159
SAL20030,0,0,0,29,8,0,40,88,16,140
SAL20031,0,0,4,21,10,0,34,105,26,162
SAL20032,6,0,6,9,0,0,8,14,0,18
SAL20033,0,0,0,11,0,0,12,39,7,55
SAL20034,91,3,97,944,277,21,1240,3393,194,4823
SAL20035,312,26,345,2025,516,50,2599,6421,466,9484
SAL20036,381,22,402,2954,849,62,3865,10808,779,15453
SAL20037,506,45,561,2180,423,46,2648,7027,663,10339
SAL20038,3,0,6,16,3,0,24,71,20,111
SAL20039,0,0,0,6,4,0,15,32,14,58
SAL20040,0,0,3,0,0,0,0,6,0,4
SAL20041,4,0,4,24,5,0,34,162,12,203
SAL20042,9,0,11,113,42,5,162,377,48,589
SAL20043,0,0,0,13,8,0,21,53,6,82
SAL20044,0,0,0,4,4,0,4,14,5,20
SAL20045,0,0,0,0,0,0,0,16,10,31
SAL20046,96,12,102,435,230,14,676,1905,165,2751
SAL20047,0,0,0,8,0,0,10,16,0,29
SAL20048,0,0,0,6,0,0,12,25,8,43
SAL20049,38,12,54,214,97,6,319,1065,170,1546
SAL20050,0,0,0,0,0,0,0,4,0,12
SAL20051,0,0,0,7,0,0,7,27,0,34
SAL20052,3,0,3,38,12,3,49,192,46,287
SAL20053,267,33,303,964,479,46,1488,4633,1156,7276
SAL20054,0,0,0,12,5,0,14,55,11,83
SAL20055,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,32,18,0,46,130,3,181
SAL20057,3,0,3,16,4,0,23,55,6,81
SAL20058,0,0,0,0,0,0,4,15,0,18
SAL20059,0,0,0,0,0,0,0,3,6,12
SAL20060,0,0,0,6,4,0,4,8,4,13
SAL20061,0,0,0,4,0,0,0,21,10,33
SAL20062,95,8,107,451,121,10,588,1737,308,2625
SAL20063,0,0,0,71,23,0,96,271,54,416
SAL20064,0,0,0,0,0,0,0,11,3,18
SAL20065,7,0,8,22,12,5,32,156,43,231
SAL20066,176,28,214,1306,419,21,1752,6060,362,8175
SAL20067,0,0,0,11,4,0,20,60,5,85
SAL20068,103,3,102,2726,485,61,3276,4773,279,8332
SAL20069,9,0,9,9,7,0,15,34,0,51
SAL20070,0,0,0,0,0,0,0,13,0,19
SAL20071,12,0,6,67,42,0,115,276,25,419
SAL20072,13,0,13,90,27,3,116,213,15,337
SAL20073,3,0,3,10,6,0,17,53,8,76
SAL20074,20,0,20,517,157,15,688,1169,91,1947
SAL20075,194,36,228,2638,535,49,3226,8565,717,12511
SAL20076,0,0,0,50,12,4,62,110,20,193
SAL20077,192,32,227,1616,268,37,1922,4222,230,6370
SAL20078,250,11,259,1291,255,22,1566,4127,259,5952
SAL20079,131,7,141,1553,352,39,1952,3631,185,5765
SAL20080,133,19,155,1144,311,34,1493,3666,135,5290
SAL20081,0,0,0,26,11,5,44,47,14,112
SAL20082,27,0,25,517,217,18,750,1926,85,2765
SAL20083,0,0,0,0,0,0,0,3,3,3
SAL20084,0,0,0,0,0,0,0,0,0,5
SAL20085,0,0,0,43,24,0,73,117,20,205
SAL20086,26,0,26,160,77,3,246,648,40,934
SAL20087,46,7,49,170,63,3,234,792,115,1143
SAL20088,0,0,0,0,0,0,0,0,0,3
SAL20089,568,31,607,1950,588,31,2567,7381,457,10411
SAL20090,0,0,0,3,9,0,10,26,0,39
SAL20091,11,0,7,165,56,9,230,422,32,688
SAL20092,3,0,3,92,41,4,136,210,21,364
SAL20093,7,0,7,200,59,3,264,417,63,749
SAL20094,0,0,0,5,0,0,9,23,0,29
SAL20095,162,18,181,1276,415,38,1733,4262,350,6348
SAL20096,3,0,3,38,20,4,56,223,24,301
SAL20097,27,0,27,254,99,11,367,893,69,1322
SAL20098,0,0,0,0,0,0,0,6,0,10
SAL20099,0,0,3,62,29,5,90,172,23,283
SAL20100,3,0,5,0,0,0,4,36,3,42
SAL20101,0,0,0,8,6,0,14,28,0,45
SAL20102,5,0,3,23,5,0,26,71,12,99
SAL20103,213,104,318,1034,400,56,1486,4502,581,6563
SAL20104,0,0,0,28,7,0,35,101,14,154
SAL20105,58,6,56,733,150,17,898,3431,376,4699
SAL20106,0,0,0,21,12,0,30,56,0,91
SAL20107,3,0,3,13,0,0,15,18,3,39
SAL20108,75,15,88,565,198,14,770,1853,138,2763
SAL20109,0,0,0,20,0,0,19,30,9,55
SAL20110,0,0,0,4,0,0,4,9,0,15
SAL20111,97,19,121,798,228,8,1033,3268,306,4607
SAL20112,286,48,329,786,304,34,1124,3606,319,5051
SAL20113,172,25,195,652,198,23,872,2283,166,3324
SAL20114,0,0,0,8,6,0,14,71,12,106
SAL20115,0,0,0,44,8,0,53,125,31,207
SAL20116,3,0,6,34,14,0,46,83,33,158
SAL20117,3,0,3,16,3,0,21,33,0,58
