SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,0,0,5,16,3,32,7,12,4,79,20,137,39,115,78,71,12,36,6,512,412,1387,224,216,309,166,29,71,41,2859,366,700,96,70,120,61,22,35,31,1512,183,249,44,46,70,37,16,14,8,664,99,170,29,22,55,14,8,26,4,430,17,73,9,3,24,12,3,6,0,149,3,12,0,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1105,2733,450,491,666,382,92,200,99,6223
SAL20003,0,4,4,33,7,59,4,25,3,139,14,51,24,29,43,53,11,11,9,243,44,121,32,23,41,16,9,17,3,301,103,129,43,21,51,20,5,13,10,394,149,168,51,37,92,28,9,19,15,564,108,142,28,26,79,26,12,18,9,439,22,35,7,7,26,4,4,3,5,104,4,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,432,650,194,173,342,205,54,108,45,2198
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20005,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,8,3,0,0,0,0,0,0,0,0,9,10,0,4,3,0,0,5,3,0,24,6,0,0,3,3,0,0,0,0,17,3,3,0,0,0,0,5,0,0,11,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,25,13,10,11,10,0,8,8,0,80
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,3,3,5,6,3,0,27
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,4,0,0,0,6,0,22
SAL20009,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,9,0,0,0,0,6,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,8,5,3,4,0,35
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,0,19
SAL20011,0,11,13,10,3,40,11,21,0,105,20,28,46,39,37,41,27,30,6,276,126,336,170,171,164,76,173,83,43,1343,171,414,156,193,178,73,232,99,28,1549,56,88,59,50,72,21,57,40,8,458,11,24,21,16,23,10,33,22,3,151,0,3,3,3,4,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,898,462,479,476,266,524,298,90,3901
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,4,10,0,5,0,3,0,24,4,0,4,6,0,0,0,5,0,14,3,18,8,8,6,3,0,0,0,48,11,15,9,9,10,0,0,0,0,58,27,33,12,9,13,6,0,7,0,106,30,39,15,7,20,18,5,10,5,143,11,33,0,0,6,5,0,3,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,92,132,53,46,45,41,3,29,5,454
SAL20014,0,0,0,0,0,7,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,9,8,0,0,0,0,0,0,3,0,20,4,0,6,4,4,4,0,0,0,15,7,4,0,0,5,0,3,3,0,23,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,8,8,8,13,4,8,0,86
SAL20015,0,4,22,24,8,69,6,30,0,156,10,48,53,39,39,48,17,37,4,291,144,367,172,105,126,58,37,54,15,1070,194,308,144,98,161,54,37,50,21,1071,155,147,127,94,158,49,56,46,11,840,79,97,62,60,147,38,47,49,13,589,16,15,18,5,33,15,23,19,0,152,0,0,3,0,3,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,601,984,598,429,670,325,222,291,72,4189
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,3,3,5,6,0,38,5,19,0,82,5,30,25,21,24,40,20,26,12,201,28,97,96,67,66,32,66,67,29,553,30,49,85,67,47,27,73,79,14,476,15,32,62,34,44,21,70,87,11,374,15,17,48,34,32,23,57,88,6,308,7,13,10,4,12,4,9,19,4,80,0,3,0,0,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,99,243,334,232,219,185,303,389,69,2086
SAL20018,3,4,3,32,5,42,4,21,0,116,7,32,14,43,31,25,3,12,8,168,85,214,44,37,44,28,8,13,7,477,221,291,33,24,70,21,5,11,10,688,277,326,38,30,80,49,4,11,18,830,175,205,39,20,67,44,12,6,7,576,51,116,10,7,19,7,0,0,6,219,17,20,0,0,0,0,0,0,6,44,0,0,0,0,0,0,0,0,0,0,831,1201,190,193,315,217,40,79,66,3117
SAL20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,6,4,3,0,3,0,20,0,3,4,0,0,0,0,0,0,14,0,3,3,0,3,0,0,8,0,27,6,9,0,0,3,4,0,5,0,24,3,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,16,8,11,9,8,24,4,113
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,11,7,3,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,6,3,4,0,6,6,0,38
SAL20021,4,3,9,8,4,11,4,16,0,54,0,15,44,51,20,28,17,34,6,214,48,173,102,78,79,54,75,94,23,723,59,126,58,55,67,29,44,45,14,502,33,56,36,30,41,11,28,35,12,283,17,23,28,30,26,9,30,36,12,204,9,0,3,3,5,0,9,9,0,51,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,176,396,281,256,246,142,211,268,57,2038
SAL20022,0,0,7,13,4,9,5,15,0,58,8,3,19,17,0,3,8,14,0,74,20,21,51,25,24,14,9,15,6,181,44,53,42,27,31,12,3,23,5,240,39,47,40,30,33,15,20,26,4,256,27,29,31,27,32,20,29,37,4,241,17,14,6,13,14,8,13,13,0,95,5,0,0,0,0,4,3,4,0,11,0,0,0,0,0,0,0,0,4,4,158,169,204,155,139,81,90,140,19,1158
SAL20023,10,11,59,96,31,191,9,128,9,546,30,78,116,117,68,100,13,47,5,580,102,358,184,156,112,80,49,86,20,1156,189,475,155,151,197,86,42,72,9,1378,217,353,120,140,190,79,71,93,15,1280,103,189,81,81,159,71,37,71,10,794,26,37,20,13,17,12,19,13,4,166,0,4,0,3,5,3,0,3,5,22,0,0,0,0,0,0,0,0,0,0,685,1507,731,749,777,627,250,515,78,5921
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,8
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,9,0,0,0,4,0,0,4,0,13,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,7,0,6,0,3,7,0,39
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,4,5,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,6,0,0,0,0,4,0,31
SAL20027,0,0,5,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,5,7,7,0,4,0,3,4,4,0,27,5,14,9,6,6,0,3,0,0,49,9,0,0,4,4,0,0,4,0,33,3,3,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,29,31,23,16,14,11,8,14,0,143
SAL20028,3,0,8,7,0,16,0,10,0,47,3,0,11,8,0,6,5,7,4,48,14,23,36,11,12,9,10,13,6,130,32,27,27,21,18,9,4,15,0,155,20,18,21,23,36,5,11,25,9,174,28,22,17,11,10,14,23,18,0,144,12,9,4,4,12,0,6,5,4,52,7,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,122,99,112,79,83,67,67,95,27,756
SAL20029,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,14,3,8,3,0,0,0,0,0,0,18,4,7,4,0,3,0,3,0,0,31,4,3,3,0,3,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,13,19,8,11,0,10,12,5,88
SAL20030,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,0,0,8,0,0,4,0,0,0,0,0,0,9,0,6,3,0,0,3,0,0,0,14,0,5,3,0,3,0,3,5,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,11,6,8,3,7,10,0,63
SAL20031,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,0,6,0,5,0,0,5,0,0,10,0,0,0,3,3,0,6,6,0,31,0,4,7,0,0,0,5,3,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,6,7,6,8,17,11,4,77
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10
SAL20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,4,0,0,4,0,26
SAL20034,0,0,0,28,6,35,0,35,0,116,11,64,32,65,43,48,8,25,5,295,98,365,61,69,83,34,19,28,9,771,185,316,37,37,70,28,7,5,8,694,174,319,44,30,79,20,10,12,10,707,115,267,38,26,64,21,16,7,0,556,24,74,3,5,20,13,3,8,4,149,4,5,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,620,1410,229,254,370,196,59,126,42,3299
SAL20035,0,6,12,48,13,71,5,48,3,210,12,52,56,71,35,60,15,32,7,329,125,431,126,114,139,66,41,49,26,1119,311,536,182,118,217,74,42,63,32,1581,291,380,140,105,206,51,64,79,38,1350,136,201,107,83,163,46,63,64,14,871,23,51,27,20,38,10,16,13,4,202,3,9,3,0,0,3,0,3,0,26,0,0,0,0,0,0,0,0,0,3,909,1658,661,561,809,382,247,353,124,5699
SAL20036,5,3,37,40,12,150,9,77,6,351,39,89,120,93,76,122,41,58,14,655,189,505,336,213,273,124,144,121,48,1959,281,565,272,206,280,107,152,121,58,2038,213,314,230,195,322,96,229,149,44,1791,135,194,204,166,281,104,206,176,28,1499,21,44,27,38,55,22,41,44,9,305,0,0,4,0,3,0,4,4,3,22,0,0,0,0,0,0,0,0,0,0,876,1718,1237,962,1309,727,826,753,213,8617
SAL20037,3,0,6,20,12,67,13,33,3,158,16,57,58,55,53,72,28,34,9,372,191,495,221,141,184,93,85,87,35,1534,329,461,213,100,216,83,83,73,33,1600,180,208,130,89,191,70,85,90,28,1072,76,104,62,41,114,40,74,71,14,585,25,24,13,7,18,7,17,19,7,139,0,4,0,0,5,0,0,6,0,14,0,0,0,0,0,0,0,0,0,3,825,1345,703,453,795,433,381,414,132,5482
SAL20038,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,3,4,0,0,0,0,0,3,0,11,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,10,10,5,0,4,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,5,6,0,0,5,11,0,65
