candidate_source_id,OBJECTID,prop_ufi,prop_pfi,prop_lga_code,prop_property_type,prop_multi_assessment,prop_status,propv_pfi,propv_base_pfi,propv_centroid_pfi,propv_graphic_type,propv_z_level,Shape__Area,Shape__Length,area_m2,perimeter_m,compactness,geometry_valid,eligible,first_exclusion,within_airport_buffer,zone_code,zone_description,lga,zone_category,zone_base_score,zone_eligible,overlay_families,hard_overlay,soft_overlay_count,overlay_penalty,area_score,compactness_score,land_compatibility_raw,jobs_per_km2,poi_access_raw,transit_access_raw,rail_access_raw,employment_score,poi_score,activity_attraction,public_transport_accessibility,rail_access_score,land_compatibility,suitability_score,candidate_id,grid_x,grid_y
PROPERTY_MP_1870824,1870824,482821138,52596277,341,O,N,A,4617017,,203745229,P,G,28439.4453125,783.7653900366275,17728.798883488995,618.4502312215268,0.582478185218358,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.2842438978091958,0.6397354030669631,0.6059948252190397,1005.10746108323,0.0,76.15893187040507,1.6419212956763165,0.1005934529341834,0.0,0.0502967264670917,0.004216898357501246,0.3111964982603822,0.6059948252190397,0.11624585272504755,CAND_1870824,619,11628
PROPERTY_MP_219156,219156,482821258,52459272,341,O,N,A,3811282,,33160137,P,G,45357.0234375,978.7280224232024,28270.463282622175,772.5056222738774,0.5953049473139639,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.40529072806590805,0.6614344137704288,0.6416812854590842,1005.10746108323,0.0,25.121206364983028,0.0,0.1005934529341834,0.0,0.0502967264670917,0.0,0.0,0.6416812854590842,0.11980238132402167,CAND_219156,620,11627
PROPERTY_MP_3874865,3874865,482821135,1749616,341,O,N,A,4230870,,36497981,P,G,111447.0078125,1570.6479337063688,69472.143425409,1238.7068820809072,0.5689622618362116,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.6385316942636372,0.6168705394365002,0.6888505584250344,1005.10746108323,0.0,43.24516495167652,0.0,0.1005934529341834,0.0,0.0502967264670917,0.0,0.0,0.6888505584250344,0.12751097818190132,CAND_3874865,620,11628
PROPERTY_MP_3553521,3553521,482821254,209426407,341,O,N,A,209426406,,209426405,P,G,15626.265625,493.524224621321,9738.350083056423,389.5386351196746,0.8064810561375353,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.12883271659545795,1.0,0.6572081791488644,1005.10746108323,0.29579153422101834,33.85042147079013,1.1437827029869028,0.1005934529341834,0.0,0.0502967264670917,0.0,0.24426982360283236,0.6572081791488644,0.12233985023934864,CAND_3553521,621,11626
PROPERTY_MP_1398071,1398071,482821274,2089550,341,O,N,A,1307212,,221246658,P,G,264210.8359375,2504.8751347660204,164679.18998202513,1977.4702419400649,0.5292107685004118,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.8624277860969722,0.5496230086143795,0.7280126986778378,1005.10746108323,0.0,22.4804000580994,1.2324258782364734,0.1005934529341834,0.0,0.0502967264670917,0.0,0.25724836006543067,0.7280126986778378,0.13391101643389053,CAND_1398071,621,11627
PROPERTY_MP_3084934,3084934,482821130,209607418,341,O,N,A,209607417,209607445,209607416,P,G,33445.6953125,740.1405313383636,20847.81595529801,584.5309060676767,0.7667529774241826,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.32628295964063847,0.9514727424398454,0.6944389255201209,1005.10746108323,0.3943779188304918,31.79710382173775,2.1881863758379825,0.1005934529341834,0.0,0.0502967264670917,0.0,0.37139998780150063,0.6944389255201209,0.12842425214864145,CAND_3084934,621,11628
PROPERTY_MP_2844782,2844782,607986150,433609947,341,O,N,A,2203455,,216590025,P,G,10285.015625,614.8898177471814,6413.377717128324,486.3166672741615,0.3407676617057913,True,True,,False,PUZ7,PUBLIC USE ZONE - OTHER PUBLIC USE,MARIBYRNONG,public_use,0.65,True,['DCPO'],False,1,0.05,0.02049064328027974,0.23083413883939505,0.33783119552991875,901.2149560620053,3.975312550273025,141.5001196196848,1.3973085202787932,0.08044052257072612,0.19877149441613495,0.13960600849343052,0.3276520787355221,0.2800739282972078,0.33783119552991875,0.27347318057706077,CAND_2844782,621,11631
PROPERTY_MP_2599323,2599323,482821081,1717421,341,O,N,A,2203113,,21388595,P,G,10194.328125,411.51824020139634,6358.081973961449,324.96535236244836,0.7565922154733691,True,True,,False,C1Z,COMMERCIAL 1 ZONE,MARIBYRNONG,commercial,1.0,True,"['DCPO', 'HO']",False,2,0.1,0.018244596359702516,0.9342837994562065,0.6381320989539773,901.2149560620053,3.99376317276735,134.84563120887245,0.0,0.08044052257072612,0.19993325015126326,0.1401868863609947,0.30243859405011353,0.0,0.6381320989539773,0.30911652609064055,CAND_2599323,621,11632
PROPERTY_MP_448864,448864,609520478,434000332,341,O,Y,A,3357643,434001255,29507553,P,G,66381.546875,1030.5890567198192,41402.75293023236,813.9127126956414,0.7853864770405821,True,True,,False,C2Z,COMMERCIAL 2 ZONE,MARIBYRNONG,commercial,1.0,True,['DCPO'],False,1,0.05,0.504264169069947,0.9829950007155944,0.8218147924463853,901.2149560620053,4.006961548498364,119.74554132482953,0.0,0.08044052257072612,0.2007616642234885,0.1406010933971073,0.24031451613582108,0.0,0.8218147924463853,0.30573465548176637,CAND_448864,621,11633
PROPERTY_MP_1415580,1415580,482820976,52767661,341,O,N,A,4643416,,41701865,P,G,15959.4921875,641.5574269853274,9955.099319812623,507.099115034658,0.48648533825485607,True,True,,False,C2Z,COMMERCIAL 2 ZONE,MARIBYRNONG,commercial,1.0,True,['DCPO'],False,1,0.05,0.13454279629164023,0.47734447399291846,0.6029718175711396,901.2149560620053,2.7247242575078543,89.48995251730501,0.0,0.08044052257072612,0.1079121026210501,0.0941763125958881,0.08824037302472068,0.0,0.6029718175711396,0.17412265016519418,CAND_1415580,621,11634
PROPERTY_MP_1870810,1870810,482821315,1729559,341,O,N,A,1306296,,12157830,P,G,75492.4375,1069.6937391383265,47040.79278091098,844.4573226437276,0.8289514286053763,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.5373829563244906,1.0,0.7593457390811226,1005.10746108323,0.5408350413937386,56.30810386885139,0.0,0.1005934529341834,0.0,0.0502967264670917,0.0,0.0,0.7593457390811226,0.13903159094380363,CAND_1870810,622,11625
PROPERTY_MP_2450043,2450043,482829102,52762756,341,O,Y,A,3811300,219032964,221264763,P,G,154484.09375,1618.4175796303068,96276.0366313938,1278.2312345200207,0.7404729809573918,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.7231776407191781,0.9070149189946527,0.7825481399284576,1005.10746108323,0.4072475497427458,33.92728125425723,1.539780956173979,0.1005934529341834,0.0,0.0502967264670917,0.0,0.29856659206125197,0.7825481399284576,0.1428234228509043,CAND_2450043,622,11626
PROPERTY_MP_2142618,2142618,482829720,172206191,341,O,N,A,172206190,207323699,172206189,P,G,65348.71875,1030.0927328842456,40732.500415723785,813.3711596658009,0.7737014240211607,True,True,,False,IN1Z,INDUSTRIAL 1 ZONE,MARIBYRNONG,industrial,0.85,True,['DCPO'],False,1,0.05,0.5000302664010273,0.9632274172327878,0.7408144209084537,1005.10746108323,0.7583295449877177,34.10191781358522,2.526411750071934,0.1005934529341834,0.0,0.0502967264670917,0.0,0.4036977848940167,0.7408144209084537,0.1360031266055612,CAND_2142618,622,11627
