Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY23-24,19829,Morradoo,-38.35403334,145.1896025,3600,50,50,50,50,50,50,50,50,50,50
FY23-24,19831,Hastings,-38.30565853,145.1859799,14300,50,50,50,50,50,50,50,50,50,50
FY23-24,19832,Tyabb,-38.259815,145.1864007,3250,50,50,50,50,50,50,50,50,50,50
FY23-24,19833,Somerville,-38.22534196,145.1762449,7400,50,50,50,50,50,50,50,50,50,50
FY23-24,19835,Glen Iris,-37.85930842,145.0582249,268850,850,900,650,550,350,50,400,150,250,50
FY23-24,19837,Darling,-37.86895684,145.0629508,282750,850,900,700,750,500,50,500,150,150,50
FY23-24,19838,East Malvern,-37.87693002,145.069393,335300,1000,1050,850,900,550,50,600,200,200,50
FY23-24,19839,Holmesglen,-37.87440222,145.090662,396900,1250,1300,1000,950,650,50,500,350,350,50
FY23-24,19840,Jordanville,-37.87360339,145.1120902,386400,1250,1300,1050,800,500,100,750,250,200,50
FY23-24,19844,Belgrave,-37.9091021,145.3552913,223050,650,650,750,550,450,50,200,150,200,50
FY23-24,19845,Tecoma,-37.90811849,145.3429946,43350,150,150,150,100,50,50,50,50,50,50
FY23-24,19846,Upwey,-37.90369097,145.3313334,92050,300,300,300,200,100,50,150,50,50,50
FY23-24,19847,Alamein,-37.86832039,145.0796557,91500,300,300,250,150,100,50,200,50,50,50
FY23-24,19848,Ashburton,-37.86196753,145.0813438,194250,650,700,550,300,200,50,400,150,100,50
FY23-24,19849,Burwood,-37.85156328,145.0805111,214050,750,800,600,250,200,50,500,100,100,50
FY23-24,19850,Hartwell,-37.84398457,145.0755596,132400,450,450,400,200,150,50,250,100,100,50
FY23-24,19851,Willison,-37.83571565,145.0702976,75100,250,300,200,100,50,50,200,50,50,50
FY23-24,19852,Riversdale,-37.83150543,145.069646,146100,550,600,300,100,50,50,300,100,200,50
FY23-24,19853,Camberwell,-37.82656714,145.0586972,1241500,3950,4050,3450,2450,2200,150,1150,850,1600,300
FY23-24,19855,Frankston,-38.14299007,145.1261623,997450,2950,2850,3200,2700,1850,450,700,850,700,150
FY23-24,19856,Kananook,-38.12174203,145.1352953,173700,550,600,550,350,200,100,250,150,100,50
