Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY19-20,19827,Stony Point,-38.37423454,145.2218375,4350,50,50,50,50,50,50,50,50,50,50
FY19-20,19828,Crib Point,-38.36612338,145.2040433,10800,50,50,50,100,50,50,50,50,50,50
FY19-20,19829,Morradoo,-38.35403334,145.1896025,3400,50,50,50,50,50,50,50,50,50,50
FY19-20,19830,Bittern,-38.33739032,145.1780265,9400,50,50,50,50,50,50,50,50,50,50
FY19-20,19831,Hastings,-38.30565853,145.1859799,14000,50,50,50,50,50,50,50,50,50,50
FY19-20,19832,Tyabb,-38.259815,145.1864007,3700,50,50,50,50,50,50,50,50,50,50
FY19-20,19833,Somerville,-38.22534196,145.1762449,8950,50,50,50,50,50,50,50,50,50,50
FY19-20,19834,Baxter,-38.19404306,145.1605261,2000,50,50,50,50,50,50,50,50,50,50
FY19-20,19835,Glen Iris,-37.85930842,145.0582249,253400,850,900,700,400,250,50,450,150,250,50
FY19-20,19836,Leawarra,-38.152034,145.139534,6750,50,50,50,50,50,50,50,50,50,50
FY19-20,19837,Darling,-37.86895684,145.0629508,267750,900,900,900,450,300,50,550,150,100,50
FY19-20,19838,East Malvern,-37.87693002,145.069393,400500,1350,1200,1800,650,450,100,800,200,150,50
FY19-20,19839,Holmesglen,-37.87440222,145.090662,439050,1450,1450,1450,800,600,100,600,350,350,50
FY19-20,19840,Jordanville,-37.87360339,145.1120902,402000,1350,1350,1350,650,450,150,800,250,150,50
FY19-20,19844,Belgrave,-37.9091021,145.3552913,296550,950,950,900,650,450,150,350,200,200,50
FY19-20,19845,Tecoma,-37.90811849,145.3429946,59400,200,200,150,100,100,50,100,50,50,50
FY19-20,19846,Upwey,-37.90369097,145.3313334,120700,400,450,300,200,150,50,200,100,100,50
FY19-20,19847,Alamein,-37.86832039,145.0796557,113450,400,400,350,150,100,50,250,50,50,50
FY19-20,19848,Ashburton,-37.86196753,145.0813438,239200,850,850,700,300,200,100,550,150,100,50
FY19-20,19849,Burwood,-37.85156328,145.0805111,268750,950,1000,800,350,250,50,600,150,150,50
FY19-20,19850,Hartwell,-37.84398457,145.0755596,165200,600,600,500,200,150,50,350,100,100,50
FY19-20,19851,Willison,-37.83571565,145.0702976,80300,300,300,250,100,50,50,200,50,50,50
FY19-20,19852,Riversdale,-37.83150543,145.069646,161750,600,650,400,100,50,50,350,100,200,50
FY19-20,19853,Camberwell,-37.82656714,145.0586972,1496350,4850,5050,4200,2650,2300,150,1600,1000,1950,350
FY19-20,19855,Frankston,-38.14299007,145.1261623,896100,2750,2850,2550,2200,1350,500,850,750,600,100
FY19-20,19856,Kananook,-38.12174203,145.1352953,186150,650,650,500,300,200,150,300,150,100,50
FY19-20,19857,Seaford,-38.10402104,145.1282304,317100,1050,1100,850,600,400,300,450,200,100,50
FY19-20,19858,Carrum,-38.07489292,145.1224183,41600,150,150,100,100,50,50,50,50,50,50
FY19-20,19859,Bonbeach,-38.06294478,145.1196804,220450,700,750,600,400,300,100,400,150,50,50
FY19-20,19860,Chelsea,-38.05195538,145.1160413,352400,1150,1200,950,700,450,200,550,250,150,50
FY19-20,19861,Edithvale,-38.03805602,145.1085355,196750,650,650,550,400,250,100,350,150,100,50
FY19-20,19862,Aspendale,-38.02722019,145.1021496,156650,500,550,400,300,200,50,300,100,50,50
FY19-20,19863,Mordialloc,-38.00658295,145.0876594,550700,1750,1900,1300,1200,800,200,800,400,400,100
FY19-20,19864,Parkdale,-37.99307882,145.0763268,299300,1000,1100,700,550,350,100,500,200,200,50
FY19-20,19865,Mentone,-37.9818654,145.0651659,528700,1800,2000,1200,800,500,150,800,400,600,50
FY19-20,19866,Cheltenham,-37.96664989,145.0545579,454850,1550,1650,1150,700,450,150,850,250,350,50
FY19-20,19867,Upper Ferntree Gully,-37.8926717,145.3075302,210850,700,700,600,400,300,150,350,100,100,50
FY19-20,19868,Ferntree Gully,-37.88169799,145.2952513,375900,1300,1350,1150,550,350,250,750,200,150,50
FY19-20,19869,Boronia,-37.8604518,145.2843851,539350,1800,1900,1550,850,600,300,1000,350,200,50
FY19-20,19870,Bayswater,-37.84173004,145.2681364,417400,1400,1450,1250,650,400,250,750,250,200,50
FY19-20,19871,Heathmont,-37.82832227,145.2445554,214600,750,800,600,300,200,100,450,100,100,50
FY19-20,19872,Highett,-37.948425,145.0418718,328050,1050,1150,800,650,400,100,550,250,200,50
FY19-20,19873,Glen Waverley,-37.87950407,145.1620575,1305600,4250,4300,4200,2600,1700,400,2100,850,700,200
