Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY24-25,15351,Sunbury,-37.57909097,144.7273188,691050,2200,2250,1950,1450,950,450,850,450,400,100
FY24-25,15353,Diggers Rest,-37.62701651,144.7199224,165600,550,600,450,200,150,100,300,100,50,50
FY24-25,19827,Stony Point,-38.37423454,145.2218375,6950,50,50,50,50,50,50,50,50,50,50
FY24-25,19828,Crib Point,-38.36612338,145.2040433,7900,50,50,50,50,50,50,50,50,50,50
FY24-25,19829,Morradoo,-38.35403334,145.1896025,3400,50,50,50,50,50,50,50,50,50,50
FY24-25,19830,Bittern,-38.33739032,145.1780265,8800,50,50,50,50,50,50,50,50,50,50
FY24-25,19831,Hastings,-38.30565853,145.1859799,10850,50,50,50,50,50,50,50,50,50,50
FY24-25,19832,Tyabb,-38.259815,145.1864007,4050,50,50,50,50,50,50,50,50,50,50
FY24-25,19833,Somerville,-38.22534196,145.1762449,8050,50,50,50,50,50,50,50,50,50,50
FY24-25,19834,Baxter,-38.19404306,145.1605261,2500,50,50,50,50,50,50,50,50,50,50
FY24-25,19835,Glen Iris,-37.85930842,145.0582249,261300,850,900,600,550,350,50,400,150,250,50
FY24-25,19836,Leawarra,-38.152034,145.139534,5500,50,50,50,50,50,50,50,50,50,50
FY24-25,19837,Darling,-37.86895684,145.0629508,262650,800,850,650,550,400,50,500,150,150,50
FY24-25,19838,East Malvern,-37.87693002,145.069393,333800,1050,1050,850,750,550,50,600,200,150,50
FY24-25,19839,Holmesglen,-37.87440222,145.090662,383100,1200,1250,900,850,650,50,450,350,350,50
FY24-25,19840,Jordanville,-37.87360339,145.1120902,388950,1250,1300,1000,750,550,100,750,250,200,50
FY24-25,19841,Flagstaff,-37.81198131,144.9556538,3445200,12350,13100,9500,2900,2200,150,850,2550,8450,1150
FY24-25,19842,Melbourne Central,-37.80993877,144.9625935,11876900,38300,39700,33000,20650,17250,300,1650,9500,21750,6550
FY24-25,19843,Parliament,-37.81105406,144.9729109,6344650,22350,23550,17950,6450,4750,150,850,3950,16000,2600
FY24-25,19844,Belgrave,-37.9091021,145.3552913,283100,850,900,750,650,450,100,300,200,250,50
FY24-25,19845,Tecoma,-37.90811849,145.3429946,47250,150,150,150,100,50,50,100,50,50,50
FY24-25,19846,Upwey,-37.90369097,145.3313334,97850,300,350,250,200,150,50,150,50,50,50
FY24-25,19847,Alamein,-37.86832039,145.0796557,96200,300,350,250,150,100,50,200,50,50,50
FY24-25,19848,Ashburton,-37.86196753,145.0813438,201950,700,700,600,300,200,50,400,150,100,50
FY24-25,19849,Burwood,-37.85156328,145.0805111,221250,750,800,600,250,200,50,500,150,100,50
FY24-25,19850,Hartwell,-37.84398457,145.0755596,138050,450,500,400,200,150,50,300,100,100,50
FY24-25,19851,Willison,-37.83571565,145.0702976,73100,250,250,200,100,50,50,150,50,50,50
FY24-25,19852,Riversdale,-37.83150543,145.069646,144000,550,600,300,100,50,50,300,100,200,50
FY24-25,19853,Camberwell,-37.82656714,145.0586972,1260400,3950,4100,3500,2350,2200,150,1100,850,1650,300
FY24-25,19854,Flinders Street,-37.81830513,144.9669643,19633300,60900,61800,57400,43150,31350,1100,3600,12600,33650,10900
FY24-25,19855,Frankston,-38.14299007,145.1261623,1035450,3050,2950,3350,2750,1900,450,750,850,700,150
FY24-25,19856,Kananook,-38.12174203,145.1352953,173050,550,550,550,350,200,100,250,100,100,50
FY24-25,19857,Seaford,-38.10402104,145.1282304,320500,1000,1000,1000,700,500,200,450,200,150,50
FY24-25,19858,Carrum,-38.07489292,145.1224183,343700,1050,1050,950,850,550,150,450,250,150,50
FY24-25,19859,Bonbeach,-38.06294478,145.1196804,141600,450,450,400,300,200,50,250,100,50,50
FY24-25,19860,Chelsea,-38.05195538,145.1160413,352250,1100,1100,1000,800,550,100,500,250,200,50
FY24-25,19861,Edithvale,-38.03805602,145.1085355,201450,650,650,600,450,300,50,350,150,100,50
FY24-25,19862,Aspendale,-38.02722019,145.1021496,169500,550,550,450,350,250,50,300,100,100,50
FY24-25,19863,Mordialloc,-38.00658295,145.0876594,529850,1600,1600,1600,1300,850,100,650,350,400,100
FY24-25,19864,Parkdale,-37.99307882,145.0763268,268050,850,900,600,550,350,50,400,200,250,50
FY24-25,19865,Mentone,-37.9818654,145.0651659,583650,1900,2050,1500,1000,650,100,650,450,800,100
FY24-25,19866,Cheltenham,-37.96664989,145.0545579,717500,2200,2300,1800,1700,1100,200,1150,450,450,100
FY24-25,19867,Upper Ferntree Gully,-37.8926717,145.3075302,180450,550,600,500,350,300,100,250,100,100,50
FY24-25,19868,Ferntree Gully,-37.88169799,145.2952513,337700,1150,1200,950,500,350,150,650,200,150,50
FY24-25,19869,Boronia,-37.8604518,145.2843851,462850,1500,1600,1300,800,550,200,800,350,200,50
FY24-25,19870,Bayswater,-37.84173004,145.2681364,446150,1450,1500,1300,800,550,150,700,300,300,50
FY24-25,19871,Heathmont,-37.82832227,145.2445554,199600,700,700,550,250,200,50,400,100,100,50
FY24-25,19872,Highett,-37.948425,145.0418718,410950,1250,1300,1100,1000,650,100,600,300,250,50
FY24-25,19873,Glen Waverley,-37.87950407,145.1620575,1209700,3650,3850,2950,2900,2150,250,1600,900,800,250
FY24-25,19874,Syndal,-37.87622963,145.1497805,698100,2200,2350,1700,1400,1050,250,1250,350,350,50
FY24-25,19875,Mount Waverley,-37.87525526,145.1280557,658250,2100,2250,1550,1300,950,150,1050,450,500,100
FY24-25,19876,Lilydale,-37.75551777,145.3477102,512300,1600,1700,1350,1050,800,200,600,400,400,50
FY24-25,19877,Mooroolbark,-37.78474883,145.3124024,569250,1900,2000,1500,950,600,400,1000,350,250,50
FY24-25,19878,Croydon,-37.79543697,145.2805978,447350,1500,1550,1150,750,500,150,700,350,300,50
FY24-25,19879,Ringwood East,-37.81196804,145.2501909,268800,900,1000,650,400,250,100,500,200,150,50
FY24-25,19880,Pakenham,-38.08061397,145.4863791,495750,1550,1600,1400,1000,750,350,500,450,300,50
FY24-25,19881,Officer,-38.06614572,145.4109872,208600,700,750,550,250,200,150,350,150,100,50
FY24-25,19882,Beaconsfield,-38.05083135,145.3660737,199950,700,750,500,250,150,150,350,100,100,50
FY24-25,19883,Berwick,-38.04040829,145.3457261,1008200,3450,3700,2600,1300,900,700,1600,750,600,100
FY24-25,19884,Narre Warren,-38.02780932,145.3039694,522200,1700,1800,1400,900,650,250,750,400,300,100
FY24-25,19885,Hallam,-38.01774038,145.2697768,521500,1750,1850,1400,750,500,300,850,350,300,50
FY24-25,19886,Cranbourne,-38.09953731,145.280599,1054250,3500,3650,2900,1650,1250,800,1600,800,400,100
FY24-25,19887,Merinda Park,-38.07900048,145.2635114,577750,1950,2050,1600,750,550,400,1000,400,200,50
FY24-25,19888,Dandenong,-37.98996792,145.2097254,1970750,6300,6500,5450,3750,2800,450,1350,1700,2400,600
FY24-25,19889,Yarraman,-37.97825454,145.1916003,272450,900,900,750,450,400,100,350,250,200,50
FY24-25,19890,Noble Park,-37.96723193,145.1769357,993800,3200,3350,2600,1800,1400,350,1100,850,850,150
FY24-25,19891,Sandown Park,-37.95650457,145.1628259,458700,1550,1650,1200,650,500,150,950,350,150,50
FY24-25,19892,East Camberwell,-37.82589419,145.0681902,185950,600,700,350,300,200,50,250,150,250,50
FY24-25,19893,Canterbury,-37.82448518,145.0812242,268450,850,900,650,500,400,50,400,200,250,50
FY24-25,19894,Chatham,-37.82429952,145.0886479,183300,600,600,500,350,250,50,300,150,150,50
FY24-25,19897,Laburnum,-37.82078023,145.1407027,316900,1000,1100,750,600,450,50,550,200,250,50
FY24-25,19898,Blackburn,-37.82007075,145.1500135,1206950,3750,3950,3100,2600,1950,250,1850,800,900,150
FY24-25,19899,Nunawading,-37.82060317,145.1748917,758050,2500,2600,2150,1250,950,200,1250,500,550,100
FY24-25,19900,Mitcham,-37.81800987,145.1919735,925550,3050,3200,2550,1550,1050,350,1600,600,600,100
FY24-25,19901,Heatherdale,-37.81889537,145.2127872,448700,1500,1600,1250,650,450,200,900,250,250,50
FY24-25,19902,Ringwood,-37.81588648,145.2289685,1514250,4650,4700,4500,3350,2450,350,1300,1250,1500,350
FY24-25,19903,Auburn,-37.82239831,145.0458437,650000,2050,2150,1700,1300,950,100,950,450,600,100
