Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY20-21,19827,Stony Point,-38.37423454,145.2218375,3900,50,50,50,50,50,50,50,50,50,50
FY20-21,19828,Crib Point,-38.36612338,145.2040433,8450,50,50,50,50,50,50,50,50,50,50
FY20-21,19829,Morradoo,-38.35403334,145.1896025,2200,50,50,50,50,50,50,50,50,50,50
FY20-21,19830,Bittern,-38.33739032,145.1780265,5350,50,50,50,50,50,50,50,50,50,50
FY20-21,19831,Hastings,-38.30565853,145.1859799,10500,50,50,50,50,50,50,50,50,50,50
FY20-21,19832,Tyabb,-38.259815,145.1864007,2700,50,50,50,50,50,50,50,50,50,50
FY20-21,19833,Somerville,-38.22534196,145.1762449,4950,50,50,50,50,50,50,50,50,50,50
FY20-21,19834,Baxter,-38.19404306,145.1605261,1850,50,50,50,50,50,50,50,50,50,50
FY20-21,19835,Glen Iris,-37.85930842,145.0582249,118200,400,400,300,250,150,50,150,100,150,50
FY20-21,19836,Leawarra,-38.152034,145.139534,4250,50,50,50,50,50,50,50,50,50,50
FY20-21,19837,Darling,-37.86895684,145.0629508,120400,350,350,250,400,250,50,200,100,50,50
FY20-21,19838,East Malvern,-37.87693002,145.069393,127600,400,400,350,300,200,50,200,100,100,50
FY20-21,19839,Holmesglen,-37.87440222,145.090662,187800,550,600,500,450,300,50,200,200,150,50
FY20-21,19840,Jordanville,-37.87360339,145.1120902,157850,500,500,450,350,250,50,250,100,100,50
FY20-21,19844,Belgrave,-37.9091021,145.3552913,143400,450,450,400,350,250,50,150,100,100,50
FY20-21,19845,Tecoma,-37.90811849,145.3429946,30300,100,100,100,50,50,50,50,50,50,50
FY20-21,19846,Upwey,-37.90369097,145.3313334,61700,200,200,150,150,100,50,50,50,50,50
FY20-21,19847,Alamein,-37.86832039,145.0796557,46350,150,150,150,100,50,50,100,50,50,50
FY20-21,19848,Ashburton,-37.86196753,145.0813438,100200,350,350,300,150,100,50,150,100,50,50
FY20-21,19849,Burwood,-37.85156328,145.0805111,106400,350,350,300,150,100,50,200,100,50,50
FY20-21,19850,Hartwell,-37.84398457,145.0755596,66400,200,250,200,100,100,50,100,50,50,50
FY20-21,19851,Willison,-37.83571565,145.0702976,32400,100,100,100,50,50,50,50,50,50,50
FY20-21,19852,Riversdale,-37.83150543,145.069646,73250,250,300,150,50,50,50,100,50,150,50
FY20-21,19853,Camberwell,-37.82656714,145.0586972,641150,2000,2000,1900,1350,1150,50,500,500,850,150
FY20-21,19855,Frankston,-38.14299007,145.1261623,576400,1700,1650,1900,1500,1050,200,400,500,400,100
FY20-21,19856,Kananook,-38.12174203,145.1352953,92700,300,300,300,200,150,50,100,100,50,50
FY20-21,19857,Seaford,-38.10402104,145.1282304,154500,450,450,500,350,250,100,150,100,50,50
FY20-21,19858,Carrum,-38.07489292,145.1224183,157950,500,500,450,400,250,50,200,100,50,50
FY20-21,19859,Bonbeach,-38.06294478,145.1196804,71450,200,200,200,150,100,50,100,50,50,50
FY20-21,19860,Chelsea,-38.05195538,145.1160413,186300,550,550,550,450,300,50,200,150,100,50
FY20-21,19861,Edithvale,-38.03805602,145.1085355,104700,300,300,300,250,150,50,150,100,50,50
FY20-21,19862,Aspendale,-38.02722019,145.1021496,84050,250,250,250,200,100,50,100,50,50,50
FY20-21,19863,Mordialloc,-38.00658295,145.0876594,339550,1050,1100,900,800,500,100,350,250,300,50
FY20-21,19864,Parkdale,-37.99307882,145.0763268,161900,500,500,400,400,250,50,150,150,150,50
FY20-21,19865,Mentone,-37.9818654,145.0651659,362550,1200,1300,800,650,400,50,250,300,650,50
FY20-21,19867,Upper Ferntree Gully,-37.8926717,145.3075302,95700,300,300,300,200,150,50,100,50,50,50
FY20-21,19868,Ferntree Gully,-37.88169799,145.2952513,162600,550,550,450,300,200,100,250,100,100,50
FY20-21,19869,Boronia,-37.8604518,145.2843851,243500,800,800,750,450,350,100,350,200,150,50
FY20-21,19870,Bayswater,-37.84173004,145.2681364,213500,700,700,650,400,300,50,250,150,150,50
FY20-21,19871,Heathmont,-37.82832227,145.2445554,96050,300,350,250,150,100,50,150,50,100,50
FY20-21,19872,Highett,-37.948425,145.0418718,194000,600,600,550,450,300,50,250,150,150,50
FY20-21,19873,Glen Waverley,-37.87950407,145.1620575,530400,1600,1600,1500,1350,950,100,600,400,350,100
FY20-21,19874,Syndal,-37.87622963,145.1497805,261400,850,850,750,550,350,100,400,200,200,50
FY20-21,19875,Mount Waverley,-37.87525526,145.1280557,280350,900,900,750,600,400,50,300,200,300,50
FY20-21,19876,Lilydale,-37.75551777,145.3477102,244300,750,750,750,500,350,100,250,200,200,50
FY20-21,19877,Mooroolbark,-37.78474883,145.3124024,197000,650,650,600,400,250,100,300,150,100,50
FY20-21,19878,Croydon,-37.79543697,145.2805978,311100,1000,1000,1000,600,400,150,400,250,200,50
FY20-21,19879,Ringwood East,-37.81196804,145.2501909,140600,500,500,400,200,150,50,200,100,100,50
