Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY22-23,19827,Stony Point,-38.37423454,145.2218375,5500,50,50,50,50,50,50,50,50,50,50
FY22-23,19828,Crib Point,-38.36612338,145.2040433,9450,50,50,50,50,50,50,50,50,50,50
FY22-23,19829,Morradoo,-38.35403334,145.1896025,3750,50,50,50,50,50,50,50,50,50,50
FY22-23,19830,Bittern,-38.33739032,145.1780265,7050,50,50,50,50,50,50,50,50,50,50
FY22-23,19831,Hastings,-38.30565853,145.1859799,13350,50,50,50,50,50,50,50,50,50,50
FY22-23,19832,Tyabb,-38.259815,145.1864007,3400,50,50,50,50,50,50,50,50,50,50
FY22-23,19833,Somerville,-38.22534196,145.1762449,7250,50,50,50,50,50,50,50,50,50,50
FY22-23,19834,Baxter,-38.19404306,145.1605261,2150,50,50,50,50,50,50,50,50,50,50
FY22-23,19835,Glen Iris,-37.85930842,145.0582249,247850,800,850,600,500,400,50,350,150,250,50
FY22-23,19836,Leawarra,-38.152034,145.139534,5550,50,50,50,50,50,50,50,50,50,50
FY22-23,19837,Darling,-37.86895684,145.0629508,245850,750,800,700,550,450,50,450,150,150,50
FY22-23,19838,East Malvern,-37.87693002,145.069393,320100,950,900,1150,800,700,50,500,150,150,50
FY22-23,19839,Holmesglen,-37.87440222,145.090662,371750,1150,1150,1100,850,700,50,450,300,300,50
FY22-23,19840,Jordanville,-37.87360339,145.1120902,362950,1150,1200,1050,700,600,100,700,200,150,50
FY22-23,19844,Belgrave,-37.9091021,145.3552913,197600,600,600,600,500,400,50,150,150,200,50
FY22-23,19845,Tecoma,-37.90811849,145.3429946,43850,150,150,150,100,50,50,50,50,50,50
FY22-23,19846,Upwey,-37.90369097,145.3313334,90150,300,300,250,200,150,50,100,50,50,50
FY22-23,19847,Alamein,-37.86832039,145.0796557,78100,250,300,200,150,100,50,150,50,50,50
FY22-23,19848,Ashburton,-37.86196753,145.0813438,168550,600,600,450,250,200,50,350,100,100,50
FY22-23,19849,Burwood,-37.85156328,145.0805111,194700,700,750,500,250,150,50,450,100,100,50
FY22-23,19850,Hartwell,-37.84398457,145.0755596,117950,400,450,300,150,150,50,250,100,50,50
FY22-23,19851,Willison,-37.83571565,145.0702976,62800,200,250,150,100,50,50,150,50,50,50
FY22-23,19852,Riversdale,-37.83150543,145.069646,169350,650,700,350,150,100,50,350,100,200,50
FY22-23,19853,Camberwell,-37.82656714,145.0586972,1631400,5200,5500,4050,3150,2900,200,1950,1250,1750,300
FY22-23,19855,Frankston,-38.14299007,145.1261623,1022400,3050,3100,2850,2750,1950,500,750,900,750,150
FY22-23,19856,Kananook,-38.12174203,145.1352953,155800,500,550,400,300,200,100,200,150,100,50
FY22-23,19857,Seaford,-38.10402104,145.1282304,279000,850,900,700,650,450,150,350,200,150,50
FY22-23,19858,Carrum,-38.07489292,145.1224183,281800,850,900,700,650,500,150,400,200,150,50
FY22-23,19859,Bonbeach,-38.06294478,145.1196804,121600,350,400,300,300,200,50,200,100,50,50
FY22-23,19860,Chelsea,-38.05195538,145.1160413,316650,950,1050,800,750,550,100,450,250,150,50
FY22-23,19861,Edithvale,-38.03805602,145.1085355,168750,500,550,400,400,300,50,300,100,100,50
FY22-23,19862,Aspendale,-38.02722019,145.1021496,142800,450,500,350,300,250,50,250,100,100,50
FY22-23,19863,Mordialloc,-38.00658295,145.0876594,416750,1300,1350,1000,1000,750,100,550,300,350,50
FY22-23,19864,Parkdale,-37.99307882,145.0763268,231600,750,850,350,500,300,50,300,200,250,50
FY22-23,19865,Mentone,-37.9818654,145.0651659,588750,2000,2250,1050,950,650,100,550,500,1000,100
FY22-23,19866,Cheltenham,-37.96664989,145.0545579,450000,1450,1600,950,900,600,150,700,300,350,50
FY22-23,19867,Upper Ferntree Gully,-37.8926717,145.3075302,145900,450,450,450,300,250,100,200,100,50,50
FY22-23,19868,Ferntree Gully,-37.88169799,145.2952513,246500,800,850,800,450,300,100,400,150,100,50
FY22-23,19869,Boronia,-37.8604518,145.2843851,355950,1150,1200,1100,700,500,150,550,250,200,50
FY22-23,19870,Bayswater,-37.84173004,145.2681364,329600,1100,1100,1050,600,450,100,500,250,200,50
FY22-23,19871,Heathmont,-37.82832227,145.2445554,137150,450,500,400,250,150,50,250,100,100,50
FY22-23,19872,Highett,-37.948425,145.0418718,292800,950,1000,600,650,450,50,450,250,200,50
FY22-23,19873,Glen Waverley,-37.87950407,145.1620575,1291900,3900,4000,3650,3200,2500,300,1750,850,800,250
FY22-23,19874,Syndal,-37.87622963,145.1497805,660100,2100,2150,1900,1300,1100,250,1200,350,350,50
FY22-23,19875,Mount Waverley,-37.87525526,145.1280557,606350,1900,2000,1600,1250,1050,150,900,400,500,50
FY22-23,19876,Lilydale,-37.75551777,145.3477102,390200,1200,1250,1150,850,650,150,450,300,250,50
FY22-23,19877,Mooroolbark,-37.78474883,145.3124024,405950,1350,1350,1250,750,500,250,600,250,200,50
FY22-23,19878,Croydon,-37.79543697,145.2805978,492650,1650,1650,1550,900,600,200,750,350,300,50
FY22-23,19879,Ringwood East,-37.81196804,145.2501909,206700,700,750,600,300,250,100,350,150,150,50
FY22-23,19880,Pakenham,-38.08061397,145.4863791,398000,1250,1250,1150,850,700,250,400,300,250,50
FY22-23,19881,Officer,-38.06614572,145.4109872,127000,450,450,350,150,100,100,200,100,50,50
FY22-23,19882,Beaconsfield,-38.05083135,145.3660737,209400,750,800,550,250,150,200,350,100,150,50
FY22-23,19883,Berwick,-38.04040829,145.3457261,697250,2400,2600,1600,950,700,450,1000,600,500,50
FY22-23,19884,Narre Warren,-38.02780932,145.3039694,429650,1400,1500,1150,750,600,250,600,350,250,50
FY22-23,19885,Hallam,-38.01774038,145.2697768,399600,1400,1450,1050,550,400,250,650,300,250,50
FY22-23,19886,Cranbourne,-38.09953731,145.280599,787600,2600,2700,2150,1350,1050,650,1100,600,300,50
