scenario,airport_buffer_m,minimum_area_m2,minimum_compactness,eligible_properties,thinned_candidates,population_covered,population_coverage_pct,sa1_covered,selected_candidate_ids,exact_jaccard_vs_base,base_sites_with_alt_within_500m_pct
base,3000,5700,0.1,39020,531,562949.0,29.985357510574392,1272,CAND_907128;CAND_437392;CAND_263271;CAND_1120537;CAND_537764;CAND_978113;CAND_3655291;CAND_2219048;CAND_1449144;CAND_3845098;CAND_3985825;CAND_1814968;CAND_3085617;CAND_1844962;CAND_1047834,1.0,100.0
airport_buffer_4000m,4000,5700,0.1,39010,528,562949.0,29.985357510574392,1272,CAND_907128;CAND_437392;CAND_263271;CAND_1120537;CAND_537764;CAND_978113;CAND_3655291;CAND_2219048;CAND_1449144;CAND_3845098;CAND_3985825;CAND_1814968;CAND_3085617;CAND_1844962;CAND_1047834,1.0,100.0
airport_buffer_5000m,5000,5700,0.1,36747,515,562407.0,29.956487997047,1277,CAND_907128;CAND_263271;CAND_1120537;CAND_537764;CAND_978113;CAND_3655291;CAND_2219048;CAND_1449144;CAND_3845098;CAND_2228747;CAND_3985825;CAND_1814968;CAND_3085617;CAND_1844962;CAND_1047834,0.875,93.33333333333333
minimum_area_7500m2,3000,7500,0.1,28035,460,558236.0,29.734320578370344,1274,CAND_1108525;CAND_263271;CAND_2300652;CAND_3692305;CAND_978113;CAND_966540;CAND_2219048;CAND_1449144;CAND_3845098;CAND_3985825;CAND_1814968;CAND_3461562;CAND_2003352;CAND_2328292;CAND_4159011,0.30434782608695654,66.66666666666666
minimum_area_10000m2,3000,10000,0.1,18524,369,549520.0,29.270064711387427,1247,CAND_1108525;CAND_437392;CAND_263271;CAND_1518983;CAND_961717;CAND_3502283;CAND_1051863;CAND_3925052;CAND_2219048;CAND_3916831;CAND_3845098;CAND_402522;CAND_1814968;CAND_3461562;CAND_4159011,0.2,40.0
minimum_compactness_0_20,3000,5700,0.2,38830,523,562949.0,29.985357510574392,1272,CAND_907128;CAND_437392;CAND_263271;CAND_1120537;CAND_537764;CAND_978113;CAND_3655291;CAND_2219048;CAND_1449144;CAND_3845098;CAND_3985825;CAND_1814968;CAND_3085617;CAND_1844962;CAND_1047834,1.0,100.0
minimum_compactness_0_25,3000,5700,0.25,38157,513,562949.0,29.985357510574392,1272,CAND_907128;CAND_437392;CAND_263271;CAND_1120537;CAND_537764;CAND_978113;CAND_3655291;CAND_2219048;CAND_1449144;CAND_3845098;CAND_3985825;CAND_1814968;CAND_3085617;CAND_1844962;CAND_1047834,1.0,100.0
combined_stringent,5000,10000,0.25,16137,337,545156.0,29.03761718918533,1244,CAND_1108525;CAND_263271;CAND_1518983;CAND_616915;CAND_3502283;CAND_1051863;CAND_3925052;CAND_2219048;CAND_3916831;CAND_3845098;CAND_2228747;CAND_402522;CAND_1814968;CAND_1030004;CAND_4159011,0.15384615384615385,33.33333333333333
