demand_definition,radius_m,facilities_p,candidate_id,candidate_index,lga,suitability_score
population,800,1,CAND_2321576,153,MELBOURNE,0.9240244554773527
population,800,2,CAND_2810033,152,MELBOURNE,0.793327797130639
population,800,2,CAND_2713483,168,MELBOURNE,0.9397356103784238
population,800,3,CAND_2810033,152,MELBOURNE,0.793327797130639
population,800,3,CAND_2713483,168,MELBOURNE,0.9397356103784238
population,800,3,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,4,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,4,CAND_2713483,168,MELBOURNE,0.9397356103784238
population,800,4,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,4,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,5,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,5,CAND_2713483,168,MELBOURNE,0.9397356103784238
population,800,5,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,5,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,5,CAND_2988437,258,YARRA,0.43476708405356684
population,800,6,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,6,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,6,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,6,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,6,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,6,CAND_2988437,258,YARRA,0.43476708405356684
population,800,7,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,7,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,7,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,7,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,7,CAND_2207421,225,YARRA,0.6301100444703408
population,800,7,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,7,CAND_2988437,258,YARRA,0.43476708405356684
population,800,8,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,8,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,8,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,8,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,8,CAND_3925052,203,MERRI-BEK,0.4960575895627154
population,800,8,CAND_2207421,225,YARRA,0.6301100444703408
population,800,8,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,8,CAND_2988437,258,YARRA,0.43476708405356684
population,800,9,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,9,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,9,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,9,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,9,CAND_3925052,203,MERRI-BEK,0.4960575895627154
population,800,9,CAND_2942504,220,PORT PHILLIP,0.5788555253976406
population,800,9,CAND_2207421,225,YARRA,0.6301100444703408
population,800,9,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,9,CAND_2988437,258,YARRA,0.43476708405356684
population,800,10,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,10,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,10,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,10,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,10,CAND_3925052,203,MERRI-BEK,0.4960575895627154
population,800,10,CAND_2942504,220,PORT PHILLIP,0.5788555253976406
population,800,10,CAND_2207421,225,YARRA,0.6301100444703408
population,800,10,CAND_2219048,231,PORT PHILLIP,0.6073689870742068
population,800,10,CAND_531015,239,STONNINGTON,0.5365560862024135
population,800,10,CAND_2988437,258,YARRA,0.43476708405356684
population,800,11,CAND_3283308,131,MELBOURNE,0.6913457768743712
population,800,11,CAND_3344162,155,MELBOURNE,0.7113095353529799
population,800,11,CAND_1337545,167,MELBOURNE,0.9277602764776626
population,800,11,CAND_2915782,183,MELBOURNE,0.6258502398917403
population,800,11,CAND_971065,191,MELBOURNE,0.5830834783267281
