POW_SA2_CODE_2021,Tot_Mng,Tot_Pro,Tot_Tech_trds_wks,Tot_Com_persl_svce_wks,Tot_Cler_admin_wks,Tot_Sales_wks,Tot_Mach_ops_dvrs,Tot_Labourers,Tot_IDNS,Tot_Tot
201011001,482,678,765,613,411,424,232,490,46,4135
201011002,1822,6655,1475,3198,3269,2144,306,1131,266,20261
201011005,309,959,272,371,692,87,31,99,52,2874
201011006,483,365,956,580,394,629,592,563,62,4617
201011007,75,72,135,38,59,12,44,69,13,520
201011008,1324,1271,1990,774,1293,984,1082,1709,184,10619
201011481,285,487,463,600,221,235,124,254,46,2712
201011482,267,513,353,355,251,182,231,171,38,2365
201011483,263,609,467,498,217,197,201,310,34,2793
201011484,290,482,393,523,215,562,144,473,53,3148
201021009,309,249,304,222,196,165,102,296,34,1882
201021010,453,326,267,245,199,144,104,284,21,2051
201021011,756,676,535,533,331,290,101,405,61,3694
201021012,329,152,174,66,104,31,121,140,18,1138
201031013,306,92,98,84,64,47,67,137,17,922
201031014,344,174,141,261,121,57,63,135,25,1327
201031015,164,91,129,29,66,36,57,90,11,675
201031016,324,590,467,618,341,438,196,529,75,3582
201031017,248,86,144,56,75,45,93,133,14,891
202011018,2287,6899,2066,3418,3383,2012,660,1795,332,22856
202011019,227,339,338,398,215,264,189,283,36,2294
202011020,737,1099,1195,824,818,546,597,871,111,6809
202011021,173,681,247,292,207,74,59,132,30,1902
202011022,745,915,1081,981,714,1204,610,836,107,7199
202011023,91,222,147,103,79,50,42,71,13,818
202011024,187,414,223,195,183,114,54,128,24,1515
202011025,432,577,685,378,485,499,285,439,61,3844
202021026,296,185,248,72,153,34,138,691,48,1876
202021027,614,1210,761,891,532,452,289,1125,103,5971
202021028,425,350,252,158,147,93,82,214,31,1747
202021029,230,180,215,134,91,108,190,154,25,1333
202021030,698,902,616,937,443,425,265,623,71,4974
202021031,324,541,325,335,213,236,68,253,40,2341
202031032,360,163,322,52,122,47,381,190,29,1671
202031033,935,287,192,175,187,128,223,417,47,2594
203011034,224,331,265,296,194,157,70,230,27,1802
203011035,420,195,196,88,121,75,108,269,29,1494
203011036,458,234,251,184,136,70,88,204,18,1654
203021037,469,1265,638,1056,493,761,142,467,72,5356
203021039,4167,10741,3602,3919,6228,2550,1659,2535,665,36060
203021040,640,1425,784,1103,584,717,140,450,80,5930
203021042,770,2774,668,848,876,348,192,536,96,7105
203021043,782,1012,1370,1501,632,467,1051,973,164,7956
203021044,201,297,268,418,148,477,59,223,26,2112
203021045,569,766,1105,659,478,476,528,701,100,5383
203021046,576,1480,743,742,522,372,125,362,68,4992
203021047,1507,2545,1792,1304,1384,842,1326,1175,216,12092
203021485,84,267,195,293,78,65,55,121,9,1177
203021486,676,964,1251,581,532,683,618,885,100,6297
203021487,709,875,1055,1174,627,1553,311,717,111,7139
203021488,330,497,546,487,307,417,440,442,78,3542
203031048,313,699,474,449,277,394,121,344,46,3117
203031049,383,385,397,377,212,211,27,255,36,2284
203031051,254,267,282,243,170,160,43,223,38,1676
203031052,334,430,327,337,234,128,22,215,34,2057
203031053,1109,1637,1056,1189,791,964,196,747,99,7788
203031489,284,485,377,402,191,315,50,233,26,2354
203031490,644,935,823,959,481,670,118,498,82,5213
204011054,548,399,398,410,284,193,163,328,58,2777
204011055,573,296,290,241,208,172,95,356,49,2281
204011056,507,945,646,636,540,420,264,683,92,4740
204011057,805,679,629,737,436,482,283,512,86,4652
204011058,418,176,264,218,131,103,77,365,50,1796
204011059,314,519,373,497,327,396,197,422,55,3100
204011060,520,242,244,525,198,40,215,175,51,2213
204011061,3,8,6,0,3,0,8,6,0,38
204011062,308,192,162,136,93,77,40,141,22,1163
204021063,599,843,743,745,557,430,436,726,106,5182
204021064,416,65,94,27,51,15,53,117,21,867
204021065,282,197,212,173,109,80,99,356,32,1544
204021066,1030,2587,1408,1676,1256,1075,617,1089,160,10898
204021067,923,229,348,159,184,140,178,457,53,2658
204031068,330,382,196,351,167,163,54,212,24,1888
204031069,876,575,638,809,328,454,282,600,98,4658
204031070,151,60,80,49,43,55,117,68,15,646
204031071,352,317,254,255,198,198,189,281,27,2069
204031072,682,336,211,247,183,123,118,315,46,2251
204031073,610,1002,662,698,486,372,740,578,85,5226
204031075,336,198,186,151,96,74,81,213,26,1347
204031491,541,516,859,755,439,207,312,331,87,4052
204031492,1235,2327,1900,1324,1395,1189,1008,1331,184,11885
205011076,618,740,672,625,472,399,271,664,92,4537
205011077,493,215,210,174,174,58,115,407,26,1882
205011078,517,312,304,271,176,158,141,373,32,2294
205011079,1327,2317,1480,1478,1323,1122,493,1352,165,11059
205021080,0,0,0,0,0,0,0,0,0,0
205021081,974,1809,1270,1411,1196,1077,600,1189,203,9720
205021082,610,187,235,178,149,63,181,343,56,2008
205021083,0,0,0,0,0,0,0,0,0,0
205021084,431,404,360,473,299,297,105,422,65,2854
205021085,544,334,232,298,202,149,142,316,38,2257
205021086,160,148,149,171,95,82,25,102,24,956
205031087,895,432,340,323,272,230,146,442,71,3164
205031088,33,10,4,0,5,0,5,4,0,64
205031089,659,406,425,331,249,187,211,419,77,2971
205031090,955,982,741,564,620,542,428,612,93,5540
205031091,556,603,610,578,398,480,106,490,82,3913
205031092,3,21,3,5,8,0,0,6,0,47
205031093,1242,1619,1246,1229,886,1049,338,899,159,8663
205041094,421,602,1026,246,287,149,410,428,81,3644
205041095,474,778,981,1019,743,504,296,552,117,5467
205041096,1021,1612,1469,1555,1543,856,1022,1058,202,10334
205041098,76,69,100,65,50,23,40,73,7,504
205041493,892,977,1190,955,1257,1327,435,760,133,7925
205041494,414,2187,528,682,810,233,227,392,96,5576
205051099,7,0,0,8,0,0,0,3,0,24
205051100,531,540,468,221,149,37,133,226,62,2363
205051101,771,475,619,471,347,310,416,655,96,4149
205051102,457,136,152,305,136,68,105,187,36,1580
205051103,790,1698,1136,1249,897,876,281,739,134,7804
205051104,449,199,210,236,135,145,109,268,42,1793
206011106,491,966,476,356,272,267,98,261,55,3244
206011107,211,586,222,345,169,114,50,114,42,1853
206011109,164,401,153,269,132,96,39,88,23,1362
206011495,527,1176,561,641,571,370,327,293,93,4559
206011496,1160,1901,1032,1326,676,912,342,706,122,8186
206011497,717,1676,663,998,810,656,184,363,112,6176
206011498,193,884,252,373,299,96,66,135,35,2329
206021110,734,859,871,502,563,461,311,309,83,4686
206021112,718,1601,768,884,538,294,261,407,88,5560
206021499,485,1112,472,721,385,313,41,178,84,3783
206021500,440,1046,432,473,297,284,104,197,49,3321
206031113,374,719,298,478,311,297,91,142,48,2755
206031115,323,724,264,444,285,233,242,366,63,2945
206031116,1017,2097,731,1271,1507,839,55,487,163,8177
206031501,418,998,438,674,485,381,47,307,74,3814
206031502,435,1275,456,611,526,370,68,212,60,4019
206041117,2779,7431,1238,1828,2274,751,171,719,295,17493
206041118,15734,36559,3055,4795,18566,2710,792,1474,1748,85451
206041119,4102,8108,1026,2052,3554,370,177,651,458,20511
206041120,201,278,114,194,150,104,12,199,26,1275
206041121,761,1094,860,412,571,267,276,538,78,4843
206041124,2953,19995,1768,2243,3317,220,302,1141,455,32388
206041125,2767,10276,1014,1362,2458,644,141,732,299,19692
206041127,501,340,521,95,559,118,1439,610,116,4304
206041503,22262,42814,5111,5289,17335,6322,593,2512,2268,104517
206041504,4613,10062,1611,1593,4918,2461,183,1183,503,27130
206041505,19750,51757,4764,4024,22203,3554,1316,2658,2147,112180
206041506,1952,3366,1539,1030,1644,494,408,915,259,11608
206041507,51,88,54,70,50,14,6,8,5,349
206041508,5631,9892,2011,4258,3091,2001,157,1302,544,28884
206041509,2432,4989,923,716,2019,559,94,425,244,12410
206041510,922,1839,655,596,825,210,116,284,107,5553
206051128,3680,6056,1137,1175,2202,1008,82,448,287,16077
206051129,403,876,358,402,216,243,34,120,57,2720
206051130,769,1146,474,671,504,392,93,259,96,4404
206051134,515,950,424,567,304,360,73,230,72,3500
206051511,5801,7351,4686,809,4119,1779,2884,2074,598,30107
206051512,4240,7376,1599,1564,3276,1664,186,937,411,21249
206051513,906,2065,490,633,779,328,54,187,119,5570
206051514,1924,3082,770,1183,1031,601,137,383,168,9288
206061135,970,1639,625,891,723,928,267,350,102,6497
206061136,1754,3405,1215,1703,1145,1048,109,577,201,11151
206061138,718,1513,578,555,474,446,47,285,108,4728
206061515,1285,2362,570,675,710,640,45,357,148,6791
206061516,1235,1846,641,660,640,848,60,371,116,6417
206071139,2183,3356,1050,694,1609,653,444,481,198,10652
206071140,342,822,332,328,182,155,19,88,46,2317
206071141,2654,5062,1485,1018,1476,899,277,696,225,13793
206071142,2015,6994,1273,1852,1603,891,198,577,239,15640
206071143,484,1288,441,609,368,308,292,273,62,4130
206071145,504,1493,395,632,416,254,110,287,80,4164
206071517,6338,10824,2505,1554,3297,2596,257,758,476,28596
206071518,2373,5490,1202,1358,2355,1397,253,850,292,15567
207011146,297,670,223,474,228,269,32,150,43,2390
207011147,661,1471,436,706,637,624,86,294,100,5014
207011148,522,1176,420,563,416,339,48,177,92,3755
207011149,1485,2918,727,1468,1344,951,128,391,151,9574
207011150,1650,3371,434,519,975,645,54,273,131,8052
207011152,2160,3899,865,937,1766,1063,256,434,181,11561
207011154,421,826,264,412,457,174,29,120,51,2748
207011155,1042,2098,503,834,966,520,50,251,124,6377
207011519,1141,3115,455,587,866,641,66,310,84,7271
207011520,1677,3314,760,853,1108,662,96,395,165,9031
207011521,987,3244,503,971,1038,301,73,285,135,7535
207011522,556,1371,475,746,471,524,199,465,111,4911
207021156,412,748,377,456,347,251,115,283,38,3028
207021157,1409,1612,963,1096,998,2611,179,712,154,9735
207021159,398,664,318,692,352,163,55,191,55,2883
207021160,396,893,283,1076,360,243,34,199,53,3534
207021424,338,575,240,418,324,586,70,242,59,2853
207021425,418,1264,458,620,474,546,363,276,77,4488
207031161,1130,2395,1009,908,1182,805,233,515,164,8331
207031162,192,506,190,352,203,79,43,123,26,1718
207031163,2116,7896,1470,2279,3203,1361,359,965,377,20027
207031164,327,873,367,327,377,127,138,211,48,2791
207031165,938,3429,770,565,1040,433,114,375,117,7783
207031166,886,1642,477,634,1083,691,89,329,102,5932
207031167,410,1074,303,551,366,134,35,100,52,3022
208011168,399,815,336,384,304,223,9,136,44,2651
208011169,1413,2949,1174,1518,1187,1235,129,531,191,10327
208011170,493,1255,312,706,382,248,40,193,62,3698
208011171,1057,1260,912,711,765,445,429,457,106,6134
208011172,681,1231,477,662,482,461,46,221,79,4331
208011173,761,1748,590,1140,660,412,52,298,81,5742
208021174,865,1722,791,854,961,721,110,380,120,6521
208021176,510,830,593,641,408,469,86,276,70,3892
208021177,979,3092,602,1163,944,360,80,441,177,7839
208021178,621,2012,585,1140,695,292,206,375,103,6028
