POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
206021110,39,8,4,438,334,62,45,3,0,449,313,76,60,9,0,455,278,65,34,9,0,389,200,55,44,5,0,304,80,35,25,6,0,146,29,15,15,8,4,63,8,4,5,5,0,24,3728,483,394,60,21,4686
206021112,80,14,3,601,399,75,83,3,3,566,417,72,78,3,3,578,362,56,50,7,0,481,255,54,44,3,4,357,138,28,35,0,3,208,28,19,13,5,4,65,17,5,7,3,0,34,4290,529,644,60,37,5560
206021499,67,4,0,361,241,57,77,3,0,387,246,67,75,4,3,393,191,52,50,7,3,305,134,29,46,5,4,217,58,17,28,4,0,112,18,4,9,9,0,48,6,4,8,0,0,19,2788,375,547,60,26,3783
206021500,68,4,0,317,204,54,59,11,3,325,196,59,68,6,3,329,142,34,35,4,3,217,133,10,26,4,0,181,52,4,24,4,4,88,15,3,14,4,0,45,0,3,9,0,0,15,2448,305,507,44,16,3321
206031113,43,4,0,278,183,63,47,3,0,299,160,46,32,3,0,243,114,44,32,6,0,195,102,28,31,8,0,169,51,19,21,8,5,97,12,5,7,0,0,32,4,6,5,0,0,16,1996,339,350,48,18,2755
206031115,34,3,3,277,236,35,30,0,0,301,229,22,14,0,0,266,205,22,13,8,0,250,131,17,10,3,0,169,65,7,12,0,0,84,29,6,6,0,0,38,7,0,0,0,0,10,2496,186,214,24,19,2945
206031116,56,15,3,837,661,97,79,6,0,848,665,110,52,0,0,831,527,90,66,13,3,691,314,67,46,11,0,435,138,35,38,7,0,229,49,19,21,0,9,95,18,12,0,3,0,32,6849,660,538,85,36,8177
206031501,37,5,0,362,263,71,49,5,0,390,279,87,63,14,3,444,218,67,48,8,3,339,135,57,25,10,4,230,83,26,17,3,0,124,17,16,9,6,0,51,10,7,7,5,0,27,2880,482,357,67,26,3814
206031502,48,10,0,397,293,66,44,8,0,413,266,70,42,10,0,388,195,62,36,10,4,309,145,44,38,9,0,245,87,25,28,5,4,150,28,14,14,6,0,55,11,9,3,0,0,18,3042,486,388,87,16,4019
206041117,49,13,11,1989,1508,93,63,13,7,1678,1307,99,57,15,8,1489,1134,88,43,12,5,1284,789,53,41,8,8,900,340,43,23,9,0,419,134,28,26,0,0,193,33,10,19,0,0,62,15936,778,595,101,81,17493
206041118,96,32,19,12870,9105,173,93,24,16,9405,7001,161,78,19,21,7276,4667,144,65,15,21,4918,2572,79,33,17,18,2723,830,45,27,15,3,924,191,35,12,11,8,257,48,9,6,8,13,82,83024,1293,707,209,217,85451
206041119,56,3,7,2488,2002,67,65,10,3,2142,1729,58,50,4,9,1851,1460,64,70,7,8,1604,1138,69,58,3,0,1264,507,40,36,5,3,591,173,31,24,8,6,237,60,24,20,6,4,111,19402,496,494,54,56,20511
206041120,6,0,0,140,104,3,6,0,0,113,91,0,0,0,4,100,107,0,0,0,0,107,67,0,4,0,0,68,24,6,0,0,0,24,18,3,0,0,0,20,9,0,0,0,0,7,1196,27,33,5,10,1275
206041121,38,3,0,596,368,45,28,8,0,453,351,56,28,6,0,438,291,45,20,7,3,358,211,35,15,4,7,271,69,19,9,5,0,106,28,4,7,3,0,43,4,6,3,4,0,17,4143,363,264,46,21,4843
206041124,28,7,9,3889,3177,40,29,5,9,3253,2693,26,19,8,4,2750,2277,21,31,4,12,2337,1673,28,25,0,3,1738,743,9,13,4,0,775,226,7,16,3,0,250,54,3,6,5,0,74,31767,212,281,55,86,32388
206041125,32,4,0,2286,1809,44,35,5,8,1897,1515,57,34,8,3,1617,1121,40,28,3,6,1204,845,37,22,4,4,918,360,44,33,7,0,447,102,25,23,10,0,164,36,24,25,9,7,93,18791,425,331,72,69,19692
206041127,5,0,7,478,488,13,10,0,0,508,485,19,5,0,3,517,467,15,6,0,0,489,294,9,8,0,5,320,108,11,0,5,0,123,31,4,0,0,0,42,10,0,0,5,0,18,4066,140,61,14,22,4304
206041503,212,45,32,14423,10688,348,184,31,29,11280,8310,356,172,32,24,8890,5939,295,147,34,21,6435,3671,213,90,21,19,4012,1452,120,55,17,6,1651,445,81,43,13,7,591,111,40,24,31,25,228,99897,2541,1430,328,323,104517
206041504,58,11,7,3342,2372,113,45,22,6,2563,1939,88,48,8,0,2094,1454,105,44,8,8,1610,942,50,34,4,3,1034,345,46,32,9,3,429,143,22,13,9,0,183,30,4,3,5,4,49,25583,811,530,141,65,27130
206041505,457,59,26,14813,10488,624,432,42,35,11621,8415,523,391,36,30,9396,5979,407,339,33,35,6791,3702,286,289,17,22,4309,1533,170,197,17,13,1936,507,87,116,26,13,743,176,50,61,16,19,324,104040,3992,3424,401,320,112180
206041506,72,11,3,1300,929,117,77,12,0,1131,870,104,64,12,7,1059,698,91,51,3,5,845,447,62,36,4,5,558,200,39,25,5,0,277,73,21,18,4,0,108,23,16,10,4,3,48,10105,783,586,89,42,11608
206041507,0,0,0,47,45,0,0,0,0,45,38,0,0,0,0,40,44,0,0,0,0,44,24,0,0,0,0,24,9,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,347,0,0,0,4,349
206041508,47,8,11,3739,2676,57,53,7,3,2802,2155,80,48,5,10,2297,1453,55,26,6,3,1548,837,42,29,7,11,919,284,19,15,6,3,328,82,16,11,0,0,113,15,4,9,7,7,36,27891,468,369,72,86,28884
206041509,32,8,0,1452,1173,43,39,9,3,1259,1097,34,17,8,0,1158,865,31,29,8,4,938,503,18,16,3,5,544,231,26,6,11,0,275,66,13,0,4,0,90,23,4,4,3,0,39,11630,355,336,65,27,12410
206041510,25,14,0,662,437,59,27,8,0,529,414,44,24,4,0,489,320,33,27,3,4,384,237,22,17,3,3,279,105,21,16,0,0,142,29,8,5,0,0,45,11,8,0,0,0,23,4891,356,239,49,13,5553
