POW_SA2_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201011001,0,232,204,46,25,0,0,273,189,36,18,0,5,252,219,40,26,0,0,293,170,23,4,5,0,201,94,11,9,0,0,116,22,9,3,4,0,32,4,7,4,5,0,15,0,4,0,0,0,4,1886,230,136,14,6,2277,253,0,0,0,6,253,150,0,5,0,0,160,139,0,13,0,0,149,113,3,20,4,0,147,139,15,20,3,6,179,109,11,14,7,0,150,109,8,18,0,0,139,98,18,16,3,0,133,89,11,10,5,0,112,86,4,12,4,0,109,43,4,9,3,0,57,9,6,6,4,0,28,4,0,0,0,0,4,1341,79,149,42,8,1618,175,8,4,4,5,193,30,3,0,0,9,48,3433,319,287,64,29,4135
201011002,0,1115,983,90,58,9,0,1135,1077,112,61,6,4,1259,1061,104,46,4,3,1222,848,110,56,3,5,1027,586,85,24,6,0,707,171,39,20,3,4,238,26,14,8,0,0,54,6,8,0,0,0,10,9033,709,381,40,31,10199,861,0,0,0,0,863,1027,4,12,0,0,1047,717,3,21,4,7,749,751,19,26,0,0,804,840,26,38,8,3,920,744,31,33,6,0,820,667,43,39,10,5,760,634,31,35,3,0,709,591,20,29,8,4,661,603,29,37,9,8,687,260,29,23,3,4,313,73,13,6,5,3,108,24,6,6,3,0,44,7797,267,326,67,34,8481,1224,29,34,7,14,1309,207,12,3,10,32,274,18258,1018,741,125,119,20261
201011005,0,230,200,6,11,3,0,218,203,10,13,0,0,232,170,12,11,0,0,195,143,9,11,3,0,167,80,11,13,0,0,95,33,5,3,3,0,39,0,0,0,0,0,4,0,0,0,0,0,0,1553,90,76,13,0,1731,66,0,0,0,0,65,86,0,0,0,0,92,83,5,5,0,0,87,101,0,0,0,0,101,93,3,6,0,0,103,80,5,0,4,0,88,77,4,9,3,0,88,56,9,12,0,5,75,70,4,8,0,0,86,41,9,5,0,0,63,31,5,9,5,0,49,11,3,9,0,0,12,0,0,3,0,0,3,793,36,65,16,3,920,150,3,14,4,4,173,34,4,3,4,6,51,2534,138,161,29,15,2874
201011006,0,322,227,35,15,0,0,275,250,46,16,0,3,323,245,48,23,0,0,317,179,32,32,0,0,241,142,20,19,6,0,192,33,12,3,0,0,45,6,8,4,0,0,15,3,0,0,0,0,3,2335,301,175,16,9,2841,287,0,0,0,0,287,194,0,8,0,0,201,120,5,12,0,0,138,116,6,17,0,0,134,83,10,12,4,0,106,83,6,6,0,0,98,85,10,11,4,0,114,76,7,8,5,0,96,78,13,3,0,0,92,98,12,16,3,0,128,42,7,11,4,0,68,19,7,7,5,0,36,3,4,0,10,0,12,1294,83,110,26,4,1517,171,5,13,0,0,195,51,5,4,0,3,69,3854,394,297,47,24,4617
201011007,0,32,15,12,6,3,0,42,14,7,4,4,0,33,17,5,16,0,0,34,11,6,3,0,0,22,12,0,3,0,0,17,3,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,189,63,44,13,0,304,7,0,0,0,0,7,17,0,4,0,0,20,15,0,0,0,0,16,8,0,4,0,0,19,14,0,4,0,0,25,8,3,4,5,0,17,7,0,5,0,0,17,7,4,6,3,0,24,5,4,6,0,0,17,10,5,4,3,0,13,4,0,4,0,0,8,0,0,0,4,0,5,0,0,3,3,0,7,99,24,48,22,0,186,10,0,6,0,0,21,4,0,0,0,0,6,299,83,107,34,5,520
201011008,3,719,726,56,23,0,7,813,779,64,27,0,0,868,694,68,22,7,4,804,619,61,23,5,5,707,389,37,21,8,3,455,105,14,10,3,0,134,21,7,4,0,0,34,6,0,0,0,0,7,6134,431,193,33,32,6826,438,0,0,3,0,439,378,0,8,0,0,389,268,4,17,0,0,296,210,4,13,0,0,230,246,8,18,7,0,275,216,12,12,0,4,246,232,16,18,0,0,261,220,12,20,3,0,256,235,14,20,8,3,284,195,7,17,4,6,227,101,12,16,3,4,131,31,6,8,9,0,58,16,4,3,0,0,22,2778,100,165,44,25,3113,472,14,23,10,3,516,115,5,9,10,16,156,9506,554,386,99,77,10619
201011481,3,166,84,22,8,0,0,118,108,23,12,4,0,148,112,25,11,0,0,146,77,20,9,7,0,105,63,14,15,0,0,92,14,3,3,0,0,26,3,4,0,0,0,5,0,0,0,0,0,0,1035,139,88,16,7,1283,136,0,0,0,0,136,147,0,3,0,0,154,85,0,5,0,0,91,95,3,11,0,0,111,82,7,7,3,0,103,76,0,12,7,0,98,85,7,12,0,0,103,80,0,13,4,0,102,94,9,14,0,0,121,82,7,12,5,0,107,37,4,15,4,6,55,16,3,0,0,0,31,0,4,4,5,0,9,1022,47,117,26,9,1213,139,7,19,0,0,166,24,4,6,0,5,43,2221,193,231,39,23,2712
201011482,0,125,112,26,9,0,0,146,102,24,25,8,0,162,103,22,15,6,0,147,109,13,12,0,4,136,74,17,12,6,0,110,14,5,8,0,0,34,7,5,5,0,0,15,0,0,5,0,0,3,920,148,143,18,9,1234,115,3,0,3,0,123,66,0,0,0,0,72,57,0,12,0,0,70,64,3,8,3,0,81,53,7,17,0,0,77,57,11,11,6,0,82,59,4,18,4,0,88,62,11,9,0,0,86,60,22,23,4,0,109,55,8,19,3,0,85,22,9,12,4,0,47,11,10,0,5,0,21,3,3,3,3,0,15,691,92,140,42,0,964,107,5,10,0,0,124,29,3,0,0,3,43,1746,249,288,59,15,2365
201011483,0,175,158,22,14,6,0,191,148,18,16,0,0,188,129,11,6,0,0,157,91,12,9,0,0,117,75,7,9,0,0,94,16,5,3,0,0,16,3,0,6,3,0,8,0,0,0,5,0,7,1189,123,105,15,7,1431,97,0,4,3,0,99,142,0,4,0,0,148,104,3,4,0,0,107,75,0,14,7,0,100,90,5,7,4,0,107,84,4,8,0,0,101,86,4,12,0,0,111,68,5,9,0,0,80,78,8,5,4,3,99,61,7,16,6,0,89,37,9,12,0,0,54,9,0,0,0,0,16,0,3,0,0,0,10,936,52,104,30,8,1133,156,0,17,0,0,181,36,0,3,5,5,51,2309,176,234,46,20,2793
201011484,0,146,107,17,5,0,0,134,124,18,12,0,0,159,131,19,4,0,0,160,103,14,4,4,0,125,70,12,5,0,4,91,24,5,3,0,0,32,3,0,0,0,0,10,0,0,0,0,0,0,1169,113,74,10,18,1388,347,0,0,0,5,356,175,0,4,0,0,180,129,0,5,0,0,146,100,6,3,0,0,112,80,4,10,9,0,106,98,4,13,3,0,120,88,3,12,4,0,105,106,4,8,3,0,117,118,3,12,5,6,142,68,3,12,0,0,86,47,0,3,0,0,52,21,0,6,0,3,28,3,0,0,0,0,9,1385,31,90,26,12,1546,143,0,7,0,0,154,46,4,3,4,5,59,2747,152,179,36,32,3148
