POW_SA2_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
201011001,0,0,0,54,79,152,123,123,66,12,0,613,0,0,0,5,0,0,0,0,10,0,0,0,0,3,0,0,0,10,0,0,0,3,0,0,0,0,5,0,0,6,0,0,4,0,0,7,0,0,4,6,4,6,0,0,24,0,0,8,8,8,9,0,0,35,0,3,9,14,9,8,0,0,39,0,5,13,17,20,10,0,0,73,0,3,19,21,14,20,3,0,85,0,4,6,13,14,11,4,0,51,0,3,0,9,8,4,0,0,29,0,5,4,5,8,0,0,0,15,0,0,0,3,8,3,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,5,0,0,0,0,0,0,0,0,0,8,30,69,104,100,81,16,4,411,0,4,0,0,0,0,0,0,7,64,0,0,0,0,0,0,0,71,34,13,0,0,0,0,0,0,39,11,9,8,0,0,5,0,0
201011002,0,0,20,288,525,711,558,543,485,83,7,3198,0,0,3,0,3,0,0,0,8,4,8,0,3,0,3,3,0,25,3,14,7,4,4,9,0,0,49,15,18,18,22,11,15,0,0,93,3,14,23,29,22,18,8,0,121,12,37,50,59,40,62,19,0,281,7,60,87,87,85,71,21,0,427,13,69,120,122,120,110,19,0,571,0,53,171,154,183,133,26,0,719,5,17,67,84,115,87,14,0,381,0,8,29,62,79,65,10,0,249,0,4,26,41,46,25,4,0,150,0,0,17,28,53,30,0,0,120,0,0,3,0,9,11,5,0,24,0,0,0,11,12,6,3,0,27,0,0,0,0,6,0,0,0,7,75,302,616,706,784,645,142,8,3269,6,0,0,0,0,0,0,0,12,251,10,5,0,0,0,0,0,271,97,37,20,3,13,11,0,0,184,31,48,26,17,12,25,3,0
201011005,0,0,0,10,47,86,81,75,55,12,0,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,3,0,13,0,0,7,5,0,0,3,0,19,0,4,8,8,0,3,0,0,23,0,8,22,12,8,6,3,0,58,0,12,28,22,8,8,6,0,91,0,4,35,28,25,19,7,0,108,0,9,40,17,14,19,3,0,108,0,0,33,18,18,22,0,0,90,0,0,17,23,19,8,0,0,70,0,0,21,30,27,5,0,0,88,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,44,221,168,136,103,23,0,692,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,26,6,3,0,0,0,0,0,0,15,0,6,0,0,0,0,0,0
201011006,0,0,6,46,83,148,116,87,85,14,5,580,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,0,8,3,0,0,5,0,3,0,0,12,0,0,0,5,0,4,3,0,18,0,0,6,4,0,6,5,0,17,5,0,7,0,4,9,0,3,34,0,0,9,18,7,12,6,0,50,0,4,13,15,28,17,0,0,74,0,7,10,21,20,13,7,0,73,0,3,13,4,12,12,0,0,47,0,0,4,0,6,12,0,0,24,0,0,0,0,5,0,0,0,8,0,0,4,5,7,3,0,0,17,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,70,81,100,92,17,3,394,0,0,0,0,0,0,0,0,10,102,3,0,0,0,0,0,0,105,47,3,0,3,0,0,0,0,57,17,6,6,4,0,4,0,0
201011007,0,0,0,4,3,8,7,10,6,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,4,0,0,6,0,4,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,5,4,0,3,0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,3,5,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,10,22,15,8,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011008,0,0,3,88,103,167,120,165,106,26,0,774,0,0,0,0,0,0,0,0,8,10,0,0,4,0,0,0,0,14,0,0,5,7,5,0,0,0,17,0,4,3,8,8,12,4,0,37,5,3,9,5,7,16,4,0,52,6,12,7,11,20,14,3,0,73,4,16,25,19,23,15,7,0,109,0,23,50,33,46,38,10,0,206,3,21,56,64,80,58,3,0,289,0,7,32,45,53,47,4,0,193,0,0,14,42,32,34,4,0,126,0,0,12,16,25,16,3,0,73,0,0,3,14,27,19,0,0,72,0,0,0,8,5,3,0,0,16,0,0,0,6,9,5,0,0,18,0,6,0,0,0,0,0,0,8,26,92,219,282,338,279,51,3,1293,4,3,0,0,0,0,0,0,8,105,0,0,0,0,0,0,0,110,61,19,8,6,6,4,0,0,91,27,30,12,6,7,10,7,0
201011481,0,0,4,26,92,120,101,116,121,27,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,11,5,0,0,0,0,0,3,0,9,0,4,5,4,4,3,3,0,31,0,5,5,5,8,6,0,0,29,0,6,14,8,13,7,0,0,36,0,3,9,12,12,8,4,0,42,0,0,8,4,5,3,0,0,24,0,0,0,0,8,4,0,0,16,0,0,0,3,8,0,0,0,11,0,0,4,0,5,5,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,42,54,52,40,16,0,221,0,0,0,0,0,0,0,0,0,27,6,0,0,0,0,0,0,28,21,3,0,0,0,0,0,0,29,5,3,10,0,0,0,0,0
201011482,0,0,0,33,54,85,48,77,50,12,0,355,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,3,0,13,0,0,0,0,4,3,0,0,15,0,0,3,0,4,4,0,0,18,0,0,5,5,8,7,3,0,36,0,5,8,13,4,13,4,0,46,0,4,4,0,15,8,3,0,41,0,0,6,3,9,4,0,0,20,0,0,0,4,9,4,0,0,15,0,0,0,0,0,4,0,0,4,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,6,0,0,0,6,5,14,43,43,63,60,22,3,251,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,29,11,3,0,0,0,0,0,0,16,4,0,0,3,0,0,0,0
201011483,0,0,7,33,94,100,85,87,74,25,0,498,0,0,0,0,0,4,0,0,6,0,0,0,3,0,0,0,0,6,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,6,5,4,0,0,27,0,0,13,3,6,5,0,0,20,0,0,3,9,3,5,0,0,27,0,0,3,8,15,9,0,0,42,0,0,4,4,13,9,0,0,27,0,0,0,7,9,3,6,0,24,0,0,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,29,48,64,48,13,0,217,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,31,10,3,0,0,0,0,0,0,12,5,7,0,3,3,0,4,0
201011484,0,0,10,35,73,126,87,93,88,13,0,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,8,0,0,5,6,5,0,0,0,19,0,3,6,4,9,11,3,0,34,0,3,4,7,11,6,0,0,25,0,4,8,4,9,5,0,0,31,0,3,11,7,11,12,6,0,45,0,0,0,4,7,6,0,0,17,0,0,6,4,5,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,42,58,43,16,0,215,0,0,0,0,0,0,0,0,4,103,0,0,0,0,0,0,0,106,49,14,5,0,0,3,0,0,64,23,14,4,0,5,10,0,0
