POW_SA2_CODE_2021,TYP_lthc_arth_A_15_24,TYP_ltch_arth_A_25_34,TYP_lthc_arth_A_35_34,TYP_lthc_arth_A_45_54,TYP_lthc_arth_A_55_64,TYP_lthc_arth_A_65_74,TYP_lthc_arth_A_75ov,TYP_lthc_arth_A_tot,TYP_lthc_asth_A_15_24,TYP_lthc_asth_A_25_34,TYP_lthc_asth_A_35_34,TYP_lthc_asth_A_45_54,TYP_lthc_asth_A_55_64,TYP_lthc_asth_A_65_74,TYP_lthc_asth_A_75ov,TYP_lthc_asth_A_tot,TYP_lthc_canc_A_15_24,TYP_lthc_canc_A_25_34,TYP_lthc_canc_A_35_34,TYP_lthc_canc_A_45_54,TYP_lthc_canc_A_55_64,TYP_lthc_canc_A_65_74,TYP_lthc_canc_A_75ov,TYP_lthc_canc_A_tot,TYP_lthc_demen_A_15_24,TYP_lthc_demen_A_25_34,TYP_lthc_demen_A_35_34,TYP_lthc_demen_A_45_54,TYP_lthc_demen_A_55_64,TYP_lthc_demen_A_65_74,TYP_lthc_demen_A_75ov,TYP_lthc_demen_A_tot,TYP_lthc_diab_A_15_24,TYP_lthc_diab_A_25_34,TYP_lthc_diab_A_35_34,TYP_lthc_diab_A_45_54,TYP_lthc_diab_A_55_64,TYP_lthc_diab_A_65_74,TYP_lthc_diab_A_75ov,TYP_lthc_diab_A_tot,TYP_lthc_hear_A_15_24,TYP_lthc_hear_A_25_34,TYP_lthc_hear_A_35_34,TYP_lthc_hear_A_45_54,TYP_lthc_hear_A_55_64,TYP_lthc_hear_A_65_74,TYP_lthc_hear_A_75ov,TYP_lthc_hear_A_tot,TYP_lthc_kidn_A_15_24,TYP_lthc_kidn_A_25_34,TYP_lthc_kidn_A_35_34,TYP_lthc_kidn_A_45_54,TYP_lthc_kidn_A_55_64,TYP_lthc_kidn_A_65_74,TYP_lthc_kidn_A_75ov,TYP_lthc_kidn_A_tot,TYP_lthc_lung_A_15_24,TYP_lthc_lung_A_25_34,TYP_lthc_lung_A_35_34,TYP_lthc_lung_A_45_54,TYP_lthc_lung_A_55_64,TYP_lthc_lung_A_65_74,TYP_lthc_lung_A_75ov,TYP_lthc_lung_A_tot,TYP_lthc_ment_A_15_24,TYP_lthc_ment_A_25_34,TYP_lthc_ment_A_35_34,TYP_lthc_ment_A_45_54,TYP_lthc_ment_A_55_64,TYP_lthc_ment_A_65_74,TYP_lthc_ment_A_75ov,TYP_lthc_ment_A_tot,TYP_lthc_stro_A_15_24,TYP_lthc_stro_A_25_34,TYP_lthc_stro_A_35_34,TYP_lthc_stro_A_45_54,TYP_lthc_stro_A_55_64,TYP_lthc_stro_A_65_74,TYP_lthc_stro_A_75ov,TYP_lthc_stro_A_tot,TYP_lthc_AO_lthc_A_15_24,TYP_lthc_AO_lthc_A_25_34,TYP_lthc_AO_lthc_A_35_34,TYP_lthc_AO_lthc_A_45_54,TYP_lthc_AO_lthc_A_55_64,TYP_lthc_AO_lthc_A_65_74,TYP_lthc_AO_lthc_A_75ov,TYP_lthc_AO_lthc_A_tot,TYP_lthc_NO_lthc_A_15_24,TYP_lthc_NO_lthc_A_25_34,TYP_lthc_NO_lthc_A_35_34,TYP_lthc_NO_lthc_A_45_54,TYP_lthc_NO_lthc_A_55_64,TYP_lthc_NO_lthc_A_65_74,TYP_lthc_NO_lthc_A_75ov,TYP_lthc_NO_lthc_A_tot,TYP_lthc_NS_A_15_24,TYP_lthc_NS_A_25_34,TYP_lthc_NS_A_35_34,TYP_lthc_NS_A_45_54,TYP_lthc_NS_A_55_64,TYP_lthc_NS_A_65_74,TYP_lthc_NS_A_75ov,TYP_lthc_NS_A_tot,TYP_lthc_Tot_A_15_24,TYP_lthc_Tot_A_25_34,TYP_lthc_Tot_A_35_34,TYP_lthc_Tot_A_45_54,TYP_lthc_Tot_A_55_64,TYP_lthc_Tot_A_65_74,TYP_lthc_Tot_A_75ov,TYP_lthc_Tot_A_tot,CNT_lthc_NONE_A_15_24,CNT_lthc_NONE_A_25_34,CNT_lthc_NONE_A_35_34,CNT_lthc_NONE_A_45_54,CNT_lthc_NONE_A_55_64,CNT_lthc_NONE_A_65_74,CNT_lthc_NONE_A_75ov,CNT_lthc_NONE_A_tot,CNT_lthc_ONE_A_15_24,CNT_lthc_ONE_A_25_34,CNT_lthc_ONE_A_35_34,CNT_lthc_ONE_A_45_54,CNT_lthc_ONE_A_55_64,CNT_lthc_ONE_A_65_74,CNT_lthc_ONE_A_75ov,CNT_lthc_ONE_A_tot,CNT_lthc_TWO_A_15_24,CNT_lthc_TWO_A_25_34,CNT_lthc_TWO_A_35_34,CNT_lthc_TWO_A_45_54,CNT_lthc_TWO_A_55_64,CNT_lthc_TWO_A_65_74,CNT_lthc_TWO_A_75ov,CNT_lthc_TWO_A_tot,CNT_lthc_THREEmo_A_15_24,CNT_lthc_THREEmo_A_25_34,CNT_lthc_THREEmo_A_35_34,CNT_lthc_THREEmo_A_45_54,CNT_lthc_THREEmo_A_55_64,CNT_lthc_THREEmo_A_65_74,CNT_lthc_THREEmo_A_75ov,CNT_lthc_THREEmo_A_tot,CNT_lthc_ONEmo_Tot_A_15_24,CNT_lthc_ONEmo_Tot_A_25_34,CNT_lthc_ONEmo_Tot_A_35_34,CNT_lthc_ONEmo_Tot_A_45_54,CNT_lthc_ONEmo_Tot_A_55_64,CNT_lthc_ONEmo_Tot_A_65_74,CNT_lthc_ONEmo_Tot_A_75ov,CNT_lthc_ONEmo_Tot_A_tot,CNT_lthc_NS_A_15_24,CNT_lthc_NS_Tot_A_25_34,CNT_lthc_NS_Tot_A_35_34,CNT_lthc_NS_Tot_A_45_54,CNT_lthc_NS_Tot_A_55_64,CNT_lthc_NS_Tot_A_65_74,CNT_lthc_NS_Tot_A_75ov,CNT_lthc_NS_Tot_A_tot,CNT_lthc_Tot_A_15_24,CNT_lthc_Tot_A_25_34,CNT_lthc_Tot_A_35_34,CNT_lthc_Tot_A_45_54,CNT_lthc_Tot_A_55_64,CNT_lthc_Tot_A_65_74,CNT_lthc_Tot_A_75ov,CNT_lthc_Tot_A_tot
207011152,12,32,56,103,166,79,16,461,162,280,256,186,102,26,4,1014,5,12,19,71,70,42,11,228,0,0,0,0,0,0,0,0,4,16,59,85,66,45,5,285,3,12,10,38,51,46,14,174,0,0,0,16,15,8,0,46,5,5,7,13,13,11,5,54,156,296,212,169,84,24,3,941,0,0,9,10,4,6,0,33,64,144,194,189,129,47,7,768,1061,2262,1995,1600,922,246,40,8125,45,65,74,67,59,10,0,322,1445,2976,2729,2345,1511,473,77,11561,1107,2349,2128,1729,999,272,35,8615,252,482,436,439,354,131,24,2121,41,79,78,81,71,43,11,403,0,5,13,25,27,20,3,94,291,562,530,540,457,192,39,2619,45,65,74,67,59,10,0,322,1445,2976,2729,2345,1511,473,77,11561
207011154,0,3,13,22,55,28,6,128,39,59,45,46,36,11,0,239,0,0,7,13,19,15,0,55,0,0,0,0,0,0,0,0,0,0,11,19,21,11,5,65,0,0,0,6,18,20,4,53,0,5,0,4,4,0,0,18,0,0,0,0,0,4,0,4,40,62,43,47,41,7,0,248,0,0,0,3,4,3,0,12,19,40,44,49,39,19,4,206,331,422,399,392,256,89,3,1892,4,11,3,18,18,3,0,65,424,575,536,575,452,170,29,2748,337,444,431,421,281,91,7,2012,66,98,93,113,127,53,14,554,12,19,9,21,30,10,5,102,0,0,4,6,8,8,3,26,75,119,100,141,159,70,17,679,4,11,3,18,18,3,0,65,424,575,536,575,452,170,29,2748
207011155,4,14,19,62,138,86,24,343,73,111,118,116,79,36,3,532,0,5,15,34,53,30,16,147,0,0,0,0,0,0,0,4,3,13,24,32,60,24,9,167,0,0,3,16,32,44,12,113,0,8,7,4,6,3,7,31,0,6,0,6,9,5,3,28,102,145,117,91,78,23,0,553,0,0,8,5,3,0,5,17,53,75,72,100,91,40,6,439,699,945,935,960,666,173,32,4412,27,34,25,36,33,7,0,163,918,1267,1266,1357,1107,386,83,6377,729,988,978,1021,719,191,36,4668,139,213,216,241,267,130,20,1235,18,38,39,39,65,41,19,257,0,3,3,13,15,15,6,57,161,246,260,297,350,185,43,1544,27,34,25,36,33,7,0,163,918,1267,1266,1357,1107,386,83,6377
207011519,0,23,36,70,93,45,5,276,99,182,159,100,73,17,4,636,0,8,19,36,44,26,6,134,0,0,0,0,0,0,0,4,6,17,26,33,69,16,0,164,0,3,3,15,28,25,3,85,0,0,3,5,10,0,6,15,0,0,6,0,5,0,0,17,143,210,152,96,46,11,0,665,0,3,0,5,4,6,0,14,65,116,110,103,92,28,4,520,807,1528,1191,889,530,157,19,5119,26,36,34,39,30,10,3,176,1097,2020,1633,1278,909,298,41,7271,849,1600,1257,945,584,169,20,5425,193,329,299,230,216,88,13,1374,27,52,49,46,54,25,4,262,0,5,0,12,11,5,0,35,222,384,349,293,288,115,20,1668,26,36,34,39,30,10,3,176,1097,2020,1633,1278,909,298,41,7271
207011520,4,18,29,92,136,62,25,364,101,212,217,137,87,25,8,783,0,16,17,37,61,35,9,172,0,0,0,0,0,0,0,0,0,13,33,58,73,36,7,219,3,3,9,31,64,28,15,146,0,6,3,5,11,3,0,24,0,0,0,8,9,9,0,29,151,240,169,128,67,7,3,766,0,0,0,5,4,5,0,18,60,132,140,133,133,43,13,655,809,1797,1524,1263,690,199,26,6305,36,60,41,51,34,12,0,228,1098,2387,2070,1824,1196,383,78,9031,838,1886,1619,1355,764,220,27,6723,189,387,359,338,302,119,24,1718,37,48,44,60,69,33,15,303,0,5,11,13,21,8,3,58,222,443,413,415,396,152,45,2085,36,60,41,51,34,12,0,228,1098,2387,2070,1824,1196,383,78,9031
207011521,4,18,32,89,139,69,10,354,68,170,164,141,106,35,3,686,0,8,12,33,66,31,13,160,0,0,0,0,0,0,0,0,0,18,27,49,48,28,0,167,0,3,5,21,45,38,10,126,0,3,0,4,3,3,0,17,0,4,3,10,12,9,0,36,70,179,126,138,76,23,5,616,0,3,0,5,3,0,0,16,28,94,117,132,107,56,11,542,559,1205,1263,1137,779,211,20,5174,29,39,36,58,53,7,3,216,736,1637,1695,1687,1302,419,61,7535,576,1256,1340,1222,850,238,26,5518,112,296,268,351,316,120,20,1480,14,41,51,53,69,37,7,278,0,5,5,7,17,18,0,45,129,341,322,410,400,171,31,1802,29,39,36,58,53,7,3,216,736,1637,1695,1687,1302,419,61,7535
207011522,0,20,8,54,93,54,14,242,82,99,67,75,48,20,0,395,0,5,8,27,35,27,8,104,0,0,0,0,0,0,0,3,0,14,11,30,46,23,6,140,0,0,8,17,31,23,4,90,0,3,3,9,3,0,3,24,3,4,0,3,4,5,0,24,111,115,89,93,51,15,4,473,0,0,6,0,0,3,0,12,46,66,64,96,91,40,6,409,660,717,635,653,462,160,24,3313,29,28,26,32,27,8,0,146,891,1002,860,993,803,306,52,4911,686,764,670,713,520,186,29,3561,155,179,139,198,202,77,15,966,23,29,20,41,45,29,9,193,0,9,8,13,14,13,4,47,180,213,168,252,255,114,25,1205,29,28,26,32,27,8,0,146,891,1002,860,993,803,306,52,4911
207021156,0,4,11,34,61,36,7,157,29,48,49,47,33,8,4,218,0,0,6,13,16,10,8,52,0,0,0,0,0,0,0,0,0,0,8,12,44,14,4,93,0,0,4,12,28,23,8,71,0,0,0,9,4,3,0,18,0,0,0,0,4,6,3,12,43,58,46,53,29,7,0,238,0,0,0,3,4,0,6,15,22,33,30,40,43,11,5,189,372,439,429,502,294,83,7,2127,8,19,13,21,20,8,0,87,467,578,565,700,517,173,33,3028,392,456,444,526,325,89,10,2243,63,90,89,122,132,48,15,556,11,11,14,17,35,19,4,103,0,7,5,10,10,11,3,38,70,102,105,150,174,75,25,699,8,19,13,21,20,8,0,87,467,578,565,700,517,173,33,3028
207021157,3,9,25,65,119,63,17,307,220,161,133,102,87,26,5,726,0,11,17,30,47,23,3,135,0,0,0,0,0,0,0,3,13,18,29,50,86,30,16,243,7,0,3,13,40,19,14,99,6,4,6,6,10,0,0,33,0,0,0,3,4,7,4,23,282,207,117,97,58,13,4,773,0,0,0,6,11,3,5,24,150,103,79,108,117,37,14,620,1920,1683,1323,1187,756,172,16,7053,83,41,41,47,40,13,0,271,2588,2166,1714,1635,1229,343,68,9735,2025,1746,1370,1269,825,197,21,7462,431,330,267,260,279,97,29,1692,44,41,34,46,58,28,10,264,4,0,3,6,18,15,3,47,482,373,296,314,358,136,43,2003,83,41,41,47,40,13,0,271,2588,2166,1714,1635,1229,343,68,9735
207021159,0,8,12,24,54,42,11,151,26,40,36,31,27,18,7,187,6,0,4,4,23,21,6,65,0,0,0,0,0,0,0,0,5,0,10,17,36,33,0,102,0,0,4,8,14,27,9,60,0,0,0,10,6,4,0,21,0,0,0,4,3,6,0,9,40,42,31,32,24,8,0,177,0,0,0,0,3,5,0,4,19,22,29,40,34,20,4,172,302,506,441,410,299,95,18,2075,7,14,13,24,17,3,0,78,389,618,559,567,487,215,48,2883,313,521,462,429,327,106,22,2190,60,74,75,92,110,72,19,493,6,5,15,21,27,16,3,99,0,3,0,0,6,12,6,29,65,83,86,110,147,104,26,624,7,14,13,24,17,3,0,78,389,618,559,567,487,215,48,2883
