POW_SA2_CODE_2021,AgFF_Mng,AgFF_Pro,AgFF_Tech_trds_wks,AgFF_Com_persl_svce_wks,AgFF_Cler_admin_wks,AgFF_Sales_wks,AgFF_Mach_ops_dvrs,AgFF_Labourers,AgFF_IDNS,AgFF_Tot,Min_Mng,Min_Pro,Min_Tech_trds_wks,Min_Com_persl_svce_wks,Min_Cler_admin_wks,Min_Sales_wks,Min_Mach_ops_dvrs,Min_Labourers,Min_IDNS,Min_Tot,Mnf_Mng,Mnf_Pro,Mnf_Tech_trds_wks,Mnf_Com_persl_svce_wks,Mnf_Cler_admin_wks,Mnf_Sales_wks,Mnf_Mach_ops_dvrs,Mnf_Labourers,Mnf_IDNS,Mnf_Tot,EGWWS_Mng,EGWWS_Pro,EGWWS_Tech_trds_wks,EGWWS_Com_persl_svce_wks,EGWWS_Cler_admin_wks,EGWWS_Sales_wks,EGWWS_Mach_ops_dvrs,EGWWS_Labourers,EGWWS_IDNS,EGWWS_Tot,Const_Mng,Const_Pro,Const_Tech_trds_wks,Const_Com_persl_svce_wks,Const_Cler_admin_wks,Const_Sales_wks,Const_Mach_ops_dvrs,Const_Labourers,Const_IDNS,Const_Tot,WST_Mng,WST_Pro,WST_Tech_trds_wks,WST_Com_persl_svce_wks,WST_Cler_admin_wks,WST_Sales_wks,WST_Mach_ops_dvrs,WST_Labourers,WST_IDNS,WST_Tot,RetT_Mng,RetT_Pro,RetT_Tech_trds_wks,RetT_Com_persl_svce_wks,RetT_Cler_admin_wks,RetT_Sales_wks,RetT_Mach_ops_dvrs,RetT_Labourers,RetT_IDNS,RetT_Tot,AcFd_Mng,AcFd_Pro,AcFd_Tech_trds_wks,AcFd_Com_persl_svce_wks,AcFd_Cler_admin_wks,AcFd_Sales_wks,AcFd_Mach_ops_dvrs,AcFd_Labourers,AcFd_IDNS,AcFd_Tot,TPW_Mng,TPW_Pro,TPW_Tech_trds_wks,TPW_Com_persl_svce_wks,TPW_Cler_admin_wks,TPW_Sales_wks,TPW_Mach_ops_dvrs,TPW_Labourers,TPW_IDNS,TPW_Tot,IMT_Mng,IMT_Pro,IMT_Tech_trds_wks,IMT_Com_persl_svce_wks,IMT_Cler_admin_wks,IMT_Sales_wks,IMT_Mach_ops_dvrs,IMT_Labourers,IMT_IDNS,IMT_Tot,FinIns_Mng,FinIns_Pro,FinIns_Tech_trds_wks,FinIns_Com_persl_svce_wks,FinIns_Cler_admin_wks,FinIns_Sales_wks,FinIns_Mach_ops_dvrs,FinIns_Labourers,FinIns_IDNS,FinIns_Tot,RHRE_Mng,RHRE_Pro,RHRE_Tech_trds_wks,RHRE_Com_persl_svce_wks,RHRE_Cler_admin_wks,RHRE_Sales_wks,RHRE_Mach_ops_dvrs,RHRE_Labourers,RHRE_IDNS,RHRE_Tot,ProSTS_Mng,ProSTS_Pro,ProSTS_Tech_trds_wks,ProSTS_Com_persl_svce_wks,ProSTS_Cler_admin_wks,ProSTS_Sales_wks,ProSTS_Mach_ops_dvrs,ProSTS_Labourers,ProSTS_IDNS,ProSTS_Tot,AdSup_Mng,AdSup_Pro,AdSup_Tech_trds_wks,AdSup_Com_persl_svce_wks,AdSup_Cler_admin_wks,AdSup_Sales_wks,AdSup_Mach_ops_dvrs,AdSup_Labourers,AdSup_IDNS,AdSup_Tot,PubAS_Mng,PubAS_Pro,PubAS_Tech_trds_wks,PubAS_Com_persl_svce_wks,PubAS_Cler_admin_wks,PubAS_Sales_wks,PubAS_Mach_ops_dvrs,PubAS_Labourers,PubAS_IDNS,PubAS_Tot,EdTrn_Mng,EdTrn_Pro,EdTrn_Tech_trds_wks,EdTrn_Com_persl_svce_wks,EdTrn_Cler_admin_wks,EdTrn_Sales_wks,EdTrn_Mach_ops_dvrs,EdTrn_Labourers,EdTrn_IDNS,EdTrn_Tot,HltHC_SA_Mng,HltHC_SA_Pro,HltHC_SA_Tech_trds_wks,HltHC_SA_Com_persl_svce_wks,HltHC_SA_Cler_admin_wks,HltHC_SA_Sales_wks,HltHC_SA_Mach_ops_dvrs,HltHC_SA_Labourers,HltHC_SA_IDNS,HltHC_SA_Tot,ArtsR_Mng,ArtsR_Pro,ArtsR_Tech_trds_wks,ArtsR_Com_persl_svce_wks,ArtsR_Cler_admin_wks,ArtsR_Sales_wks,ArtsR_Mach_ops_dvrs,ArtsR_Labourers,ArtsR_IDNS,ArtsR_Tot,OthSvs_Mng,OthSvs_Pro,OthSvs_Tech_trds_wks,OthSvs_Com_persl_svce_wks,OthSvs_Cler_admin_wks,OthSvs_Sales_wks,OthSvs_Mach_ops_dvrs,OthSvs_Labourers,OthSvs_IDNS,OthSvs_Tot,IDNS_Mng,IDNS_Pro,IDNS_Tech_trds_wks,IDNS_Com_persl_svce_wks,IDNS_Cler_admin_wks,IDNS_Sales_wks,IDNS_Mach_ops_dvrs,IDNS_Labourers,IDNS_IDNS,IDNS_Tot
201011001,14,4,6,0,6,3,6,4,0,45,10,3,11,0,7,0,23,12,0,66,66,24,110,0,27,34,36,110,0,413,7,0,0,0,0,0,4,4,0,14,112,35,368,0,98,32,47,57,5,746,28,10,17,0,20,48,13,31,0,167,40,16,27,5,15,199,15,45,0,355,45,0,24,45,7,69,4,86,0,289,10,0,11,0,15,9,64,10,0,113,0,12,0,0,3,0,0,0,0,13,6,15,0,0,8,0,0,0,0,34,0,7,4,0,4,12,0,0,0,31,15,69,27,0,32,0,0,0,0,142,7,3,12,8,0,0,0,45,0,74,21,13,13,7,20,0,0,0,0,79,17,150,6,118,8,0,0,5,7,313,62,268,19,351,119,0,4,19,0,857,4,11,11,28,3,0,0,10,0,71,11,10,69,46,8,3,8,13,0,164,8,9,23,3,12,12,17,29,25,142
201011002,6,5,0,0,6,7,4,3,0,33,0,11,6,0,0,0,4,0,0,15,37,9,83,35,20,93,15,24,3,317,3,0,5,0,0,0,0,4,0,23,82,24,230,0,52,20,20,37,4,458,33,12,21,0,25,55,33,11,3,180,356,115,127,21,120,1228,47,168,11,2186,287,9,257,579,25,239,16,370,0,1772,16,21,7,5,131,67,38,12,9,297,19,88,9,0,15,44,4,7,0,193,60,182,5,8,249,40,0,0,5,545,34,53,3,8,85,260,0,5,4,453,69,700,116,3,382,9,0,3,8,1292,30,103,13,48,66,6,3,93,0,367,251,414,67,487,774,6,11,40,25,2081,124,1092,57,265,185,6,0,34,8,1783,299,3706,240,1505,1047,25,68,221,37,7136,24,37,7,63,15,5,0,3,4,160,37,41,181,125,35,10,4,38,3,469,47,44,42,50,52,34,35,48,153,497
201011005,13,10,5,0,3,0,0,0,0,37,5,4,0,0,0,0,4,0,0,13,0,0,13,4,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,22,0,81,0,13,0,10,18,0,145,0,0,0,0,0,0,0,0,0,3,11,0,5,0,6,62,6,8,0,99,12,0,6,22,5,8,0,25,0,77,6,0,0,0,8,0,6,0,0,16,14,18,10,13,203,4,0,0,7,269,3,5,0,0,25,0,0,0,6,41,0,0,6,0,0,0,0,0,0,3,55,213,51,9,48,0,0,5,0,381,11,14,8,44,72,0,0,12,4,166,9,5,0,42,43,0,0,0,0,101,117,537,40,94,178,5,0,17,4,992,26,124,3,138,70,0,0,0,5,367,0,5,3,3,0,0,0,0,0,16,0,4,28,10,3,0,0,3,0,44,6,9,8,4,4,3,3,11,25,73
201011006,13,11,14,0,8,12,3,17,0,78,6,8,5,0,5,0,14,0,0,37,83,35,154,4,52,19,83,92,10,528,5,4,3,0,4,0,17,5,0,38,88,21,368,0,64,3,119,148,14,830,34,13,18,0,36,53,47,12,0,208,82,17,42,7,37,433,43,76,0,731,35,0,21,39,3,64,0,60,0,233,17,5,17,12,31,4,206,6,3,296,5,0,4,0,3,10,3,3,0,33,3,3,0,0,0,0,0,0,0,11,9,0,4,0,0,3,3,0,0,27,9,32,34,0,17,0,3,0,0,99,11,0,28,6,5,0,8,51,0,114,0,14,3,76,18,0,0,15,0,125,15,103,0,111,11,0,4,4,0,253,13,75,6,283,25,0,0,32,0,437,8,7,0,12,3,0,0,8,0,43,14,9,172,18,30,5,11,17,0,266,32,15,54,7,23,16,31,38,30,243
201011007,18,0,0,0,0,3,0,10,0,47,0,0,0,0,0,0,0,0,0,0,4,3,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,16,0,72,0,23,0,16,28,0,162,0,0,0,0,0,3,0,0,0,4,4,6,3,0,0,5,0,5,0,19,3,0,0,4,0,0,0,0,0,14,4,0,0,0,10,0,19,0,0,29,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,3,10,0,10,4,3,0,0,42,4,12,4,0,6,0,0,4,0,28,4,0,5,0,0,0,0,16,0,23,0,0,0,0,0,0,0,0,0,5,3,36,0,18,3,0,0,4,0,63,0,4,0,7,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,10,3,4,21,4,0,0,0,0,0,36,4,0,0,0,0,0,0,3,5,16
201011008,33,22,35,0,26,6,8,45,6,183,17,14,18,0,8,0,5,3,0,68,358,197,544,9,187,47,305,643,30,2316,59,67,90,0,95,3,62,22,5,406,157,32,590,0,121,7,131,196,12,1252,54,13,26,0,39,42,55,17,6,242,192,18,69,10,78,684,40,105,8,1205,73,6,37,60,13,90,15,113,0,407,44,20,34,0,188,22,308,38,3,660,9,33,33,0,21,9,3,4,0,112,9,17,0,0,23,0,0,0,0,60,15,0,5,0,13,7,5,8,0,58,19,109,54,0,43,0,5,7,0,249,14,8,20,9,35,3,8,137,0,233,43,54,55,41,108,0,50,41,9,401,53,434,20,206,54,3,3,37,5,817,47,163,34,313,123,13,9,31,8,743,23,9,58,57,19,5,3,146,11,331,34,16,189,54,42,9,12,44,0,397,46,40,95,13,47,31,51,71,83,475
201011481,6,0,8,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,6,27,5,68,0,9,25,21,7,4,162,3,0,3,0,0,0,0,0,0,13,27,7,148,0,22,0,22,40,0,273,6,0,4,0,7,10,11,5,0,41,54,0,26,4,26,154,5,37,0,312,42,3,26,47,5,26,16,42,0,207,4,0,14,0,3,0,38,3,0,60,0,0,0,0,3,0,0,0,0,12,0,9,0,0,10,0,0,0,0,21,0,0,4,0,0,0,0,0,0,5,4,69,25,0,19,0,0,0,4,114,3,3,13,3,0,0,0,31,0,56,12,16,3,7,20,0,0,14,0,63,22,205,10,91,24,0,0,5,0,362,23,130,6,401,35,3,0,31,3,631,22,23,13,20,16,7,0,8,0,109,16,13,74,21,12,3,3,8,0,141,11,4,13,3,14,9,6,12,24,91
201011482,9,6,8,0,0,0,0,9,0,25,0,0,0,0,0,0,0,0,0,0,24,19,27,0,11,10,35,11,3,143,4,5,8,0,0,0,7,0,0,19,36,14,150,0,30,0,12,30,7,288,0,3,9,0,5,3,0,0,0,25,39,26,17,4,19,84,13,17,0,203,31,0,18,70,3,16,0,46,0,203,18,0,8,0,19,38,152,7,3,247,7,27,4,0,22,4,0,0,0,57,0,14,0,0,11,0,0,0,0,19,0,0,0,0,0,3,0,0,0,9,19,96,16,0,32,0,0,0,4,174,0,5,17,0,4,0,0,22,0,57,5,6,0,18,8,3,0,0,0,46,22,163,10,92,20,0,0,5,0,309,15,112,9,117,34,0,0,3,4,288,16,8,5,13,10,8,0,3,3,57,9,11,47,32,11,3,5,6,0,125,8,5,8,4,8,0,6,10,16,61
201011483,4,0,0,0,0,0,0,0,0,8,3,35,57,5,3,0,95,8,0,206,22,16,64,16,8,3,21,27,0,183,0,0,0,0,0,0,5,0,0,4,25,5,147,0,21,0,21,35,0,261,9,5,4,0,4,11,11,0,0,47,33,10,12,7,7,96,7,17,0,189,39,3,42,83,16,33,4,102,0,322,3,0,0,0,3,0,20,0,0,35,6,4,0,0,0,0,0,0,0,10,0,5,0,0,7,0,0,0,0,17,0,0,0,0,0,9,0,0,0,11,4,52,14,0,12,0,0,6,0,87,7,6,15,10,5,3,0,53,0,97,4,6,3,6,10,0,0,0,0,21,29,333,13,96,30,0,0,8,0,510,26,81,8,201,35,0,0,12,0,364,38,43,23,41,21,30,11,14,4,216,19,5,51,32,8,0,0,11,0,123,3,12,14,13,8,3,4,10,22,87
201011484,4,0,4,0,0,0,0,8,0,17,0,0,0,0,0,0,0,0,0,0,18,4,25,7,9,18,0,16,0,99,0,0,0,0,3,3,0,0,0,10,23,0,136,0,17,4,15,42,0,248,9,0,8,0,5,57,6,11,0,98,68,14,38,4,29,303,24,67,0,547,63,0,27,62,8,151,16,160,9,508,11,0,0,0,4,0,44,0,0,61,5,3,6,0,0,0,0,0,0,15,0,3,0,0,4,0,0,0,0,9,8,0,4,0,11,3,0,0,0,24,10,37,9,0,8,0,0,0,0,64,9,4,0,0,6,0,0,39,0,71,11,12,7,18,16,0,0,5,0,74,19,279,5,119,34,0,0,3,6,465,19,110,20,265,31,7,6,50,3,513,8,7,9,7,3,0,0,5,0,38,9,3,77,19,9,0,4,43,0,172,4,6,16,8,10,4,8,23,36,110
