POW_SA2_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
212021453,70,16,5,789,3,3,0,4,0,8,18,0,4,0,0,31,17,0,14,3,0,37,20,3,18,3,0,44,37,8,8,0,0,59,76,5,16,4,0,109,105,14,21,4,0,144,129,29,20,5,0,175,143,20,25,0,4,185,98,13,25,0,0,131,107,19,11,0,0,144,48,18,3,0,0,70,78,16,6,0,0,109,8,3,0,0,0,14,16,14,5,0,0,30,7,3,3,0,0,16,918,172,176,28,13,1310
212021454,84,19,10,1152,9,4,3,10,0,24,131,0,5,4,0,144,131,6,10,4,0,147,91,3,15,4,3,120,138,4,20,4,0,165,147,14,22,0,3,194,151,18,26,4,4,207,155,18,25,0,0,206,138,24,25,0,0,188,111,27,25,0,0,160,95,19,17,0,0,131,57,14,6,0,0,86,102,8,18,0,0,129,15,3,7,0,0,20,20,11,14,0,0,43,22,5,3,0,4,30,1505,195,234,35,11,1989
212021455,87,13,0,582,0,5,0,3,0,11,18,0,5,5,0,24,21,3,12,0,0,37,31,4,9,0,0,41,25,0,10,0,0,43,77,15,23,4,0,117,67,16,28,0,0,112,85,18,31,0,0,137,78,20,28,3,0,126,62,13,15,4,0,94,85,11,7,0,0,106,48,9,5,0,0,61,44,12,11,3,0,69,3,4,9,0,0,5,5,10,3,0,0,19,11,3,0,0,3,17,666,127,203,26,3,1022
212021456,164,55,24,6966,61,4,0,18,3,84,669,5,7,9,3,695,781,4,10,3,6,801,673,10,30,7,4,717,670,10,27,12,0,722,1032,27,29,9,4,1091,1068,48,44,14,4,1179,1270,56,54,8,3,1395,1224,64,45,11,4,1343,875,50,34,0,0,964,702,44,20,0,4,779,504,42,19,0,7,575,583,88,25,4,0,695,66,35,8,0,0,113,102,58,19,0,0,180,110,7,3,0,10,136,10389,548,380,98,53,11473
212021553,148,33,3,1349,5,3,0,12,0,23,77,0,14,9,0,100,80,5,21,4,0,111,68,3,25,4,0,108,94,12,15,5,0,123,118,7,30,6,0,169,193,25,29,5,0,244,178,30,33,0,3,242,164,25,45,0,0,229,185,29,22,0,0,240,156,35,18,5,0,213,103,20,10,3,4,138,148,33,26,0,0,208,19,9,7,0,0,35,31,20,10,0,0,54,19,0,4,0,0,22,1644,248,303,52,11,2256
212021554,101,23,4,781,5,0,4,8,0,22,196,0,12,3,0,213,102,0,7,5,0,112,52,4,22,4,0,85,55,4,18,4,5,85,83,7,21,0,0,116,94,11,20,5,3,126,127,20,35,0,0,185,100,31,15,5,0,144,64,21,12,0,0,102,53,14,17,0,0,85,23,11,6,0,0,39,44,18,7,0,0,76,11,10,3,0,0,26,8,5,0,0,0,11,15,0,0,0,0,13,1031,156,203,39,8,1437
212031300,190,39,19,4708,49,5,6,20,0,77,488,4,12,3,4,515,464,5,24,16,4,506,383,8,37,4,4,436,415,13,31,15,0,475,579,27,57,12,0,679,756,40,52,6,3,850,978,63,57,6,5,1112,985,68,66,0,7,1130,650,56,39,3,4,749,582,45,43,3,0,674,312,36,25,0,7,376,413,52,21,0,0,487,60,25,12,0,0,94,58,42,22,0,0,122,89,0,10,3,5,113,7257,495,512,89,49,8398
212031303,134,50,9,1466,7,0,8,4,0,20,32,0,11,10,0,49,43,6,8,7,0,61,72,9,28,4,0,114,96,14,21,7,0,143,193,29,36,8,0,268,322,37,26,7,0,388,404,56,50,6,0,517,376,65,43,4,0,493,272,63,33,5,0,372,235,54,16,4,0,314,128,35,26,9,0,193,149,61,24,6,0,243,18,11,8,0,0,41,26,20,7,0,0,53,31,6,4,4,8,54,2399,456,347,82,25,3309
212031304,151,34,8,1736,20,4,4,8,0,42,126,0,5,0,0,138,107,3,19,10,0,137,120,8,23,8,0,155,141,15,34,4,0,203,230,20,29,4,0,289,317,43,45,0,0,409,422,60,47,0,4,535,394,79,48,8,0,520,247,60,37,3,0,355,205,59,22,0,4,285,125,34,20,0,5,180,163,30,17,0,0,216,17,10,8,0,0,33,16,21,8,0,0,51,28,0,0,0,6,45,2685,442,362,58,24,3578
212031306,92,37,6,1653,16,0,5,16,0,36,116,0,0,8,0,126,106,0,17,0,0,126,111,3,18,3,0,140,118,5,15,7,0,145,235,21,21,0,0,278,285,23,29,9,3,346,463,41,42,5,3,551,461,49,39,0,0,550,295,40,26,0,5,370,203,24,14,0,0,245,140,26,4,0,0,180,189,38,14,0,0,236,37,8,0,0,0,46,36,26,5,0,0,62,42,5,0,0,3,46,2842,308,259,59,19,3484
