POW_SA2_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
201011001,5,4,0,0,8,252,39,4,0,287
201011002,17,5,0,0,19,507,206,24,9,741
201011005,8,0,0,0,8,128,28,0,0,161
201011006,11,4,0,0,13,222,70,9,0,297
201011007,0,0,0,0,0,97,12,0,0,107
201011008,11,5,0,0,14,293,82,11,0,386
201011481,4,0,0,0,4,197,31,0,0,231
201011482,9,0,0,0,9,232,53,0,0,288
201011483,4,3,0,0,9,190,43,3,0,234
201011484,0,0,0,0,10,136,33,0,0,179
201021009,15,0,0,0,15,158,28,0,4,190
201021010,7,0,0,0,12,217,64,5,4,293
201021011,14,0,0,0,17,559,117,4,9,690
201021012,0,0,0,0,0,152,27,0,0,182
201031013,0,0,0,0,0,105,43,0,3,148
201031014,8,6,0,0,7,91,48,0,0,144
201031015,4,0,0,0,4,83,29,0,10,124
201031016,6,0,0,0,9,135,65,0,3,204
201031017,3,0,0,0,8,106,48,0,6,159
202011018,21,8,0,0,24,465,199,18,0,677
202011019,0,0,0,0,6,162,69,3,0,231
202011020,11,3,0,0,11,275,64,0,6,342
202011021,9,0,0,0,9,153,22,4,0,176
202011022,20,3,0,0,22,325,115,3,0,439
202011023,8,0,0,0,8,85,21,0,0,107
202011024,3,0,0,0,0,160,28,0,0,194
202011025,5,0,0,0,9,173,74,0,0,246
202021026,6,0,0,0,9,155,47,0,0,213
202021027,12,0,0,0,12,518,108,4,5,635
202021028,11,0,0,0,9,370,78,0,0,451
202021029,4,0,0,0,8,115,29,0,5,152
202021030,9,6,0,0,16,395,100,3,7,500
202021031,16,0,0,0,16,245,42,0,0,288
202031032,0,0,0,0,0,133,39,0,0,171
202031033,11,0,0,0,11,309,122,0,3,437
203011034,7,0,0,0,7,133,28,0,0,167
203011035,6,5,0,0,14,202,41,0,5,246
