POW_SA2_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
201011001,7,0,0,3,0,18,85,0,3,0,6,89,39,0,3,5,0,48,31,5,0,0,3,35,57,3,11,0,0,71,102,6,21,3,0,134,128,17,15,4,0,161,226,15,20,9,5,267,249,25,15,6,4,301,198,24,12,0,0,237,169,36,20,0,0,227,110,15,15,0,0,143,199,42,17,5,0,256,37,10,4,0,0,50,34,37,9,0,0,85,11,0,0,0,0,14,1679,237,175,31,19,2142,3,0,3,10,0,22,91,0,5,0,0,95,74,0,10,0,0,86,57,4,5,0,0,69,112,3,12,0,4,131,156,3,13,3,0,183,227,4,6,0,0,240,292,5,13,0,0,314,273,6,8,0,0,292,175,15,9,0,0,195,114,10,7,0,0,131,66,5,6,0,0,77,87,9,6,0,0,106,13,5,7,0,0,24,10,9,3,0,0,24,9,0,4,0,0,10,1760,80
201011002,20,0,0,10,4,28,226,0,3,0,0,227,166,0,3,0,0,176,130,12,9,3,5,159,192,3,18,7,0,222,337,14,32,8,5,385,443,35,26,3,5,515,659,61,26,9,0,752,820,52,32,5,8,913,633,50,26,0,7,721,609,67,20,0,3,705,527,46,26,7,0,608,866,89,30,0,5,990,133,50,13,6,0,202,259,173,85,0,0,523,62,5,0,6,8,78,6087,659,355,56,54,7209,18,0,0,7,0,28,384,0,14,8,5,409,380,6,12,6,0,403,419,12,29,7,9,470,561,13,31,4,8,620,1052,22,32,4,4,1116,1355,41,36,7,5,1447,1700,34,33,4,8,1778,1920,24,46,6,14,2009,1344,34,21,4,0,1401,1100,28,23,0,0,1148,727,26,20,0,0,778,895,50,36,4,4,981,103,17,17,0,0,141,140,53,38,3,0,237,71,6,0,4,3,86,12177,357
201011005,0,0,3,5,0,7,11,0,0,0,0,14,13,0,0,0,0,21,18,0,5,0,0,24,27,3,4,0,0,37,41,8,8,0,0,53,59,6,9,6,0,67,89,9,10,7,0,112,100,12,11,0,0,128,121,7,13,0,0,144,129,12,9,0,0,145,139,14,9,0,0,152,238,11,3,0,0,254,51,0,4,0,0,57,39,8,7,0,0,51,7,3,3,0,0,12,1074,100,82,10,10,1284,0,0,0,0,0,5,37,0,5,0,0,37,25,0,0,0,0,34,44,0,0,5,0,54,46,3,8,0,0,64,93,4,11,0,0,108,130,0,6,3,0,140,156,3,7,0,0,169,180,10,10,0,0,201,174,4,10,0,0,186,196,6,3,0,0,206,126,0,3,0,0,135,187,0,7,0,0,199,15,0,5,0,0,17,23,5,0,0,0,28,11,0,0,0,0,16,1457,36
201011006,5,0,3,3,0,17,75,0,0,0,0,79,43,5,3,4,0,52,43,0,8,4,0,55,75,4,9,0,0,89,127,18,7,3,0,152,191,20,20,0,0,232,401,28,41,0,3,471,514,43,38,4,0,600,333,38,20,4,0,392,215,42,15,0,0,276,120,25,10,0,0,159,148,38,15,0,0,205,21,14,7,0,0,38,25,21,3,4,0,57,20,4,3,0,6,31,2355,300,207,23,18,2897,8,0,0,7,0,15,118,0,4,0,0,121,83,3,7,5,0,93,76,8,9,0,0,98,85,8,12,0,0,103,168,8,11,3,0,184,212,11,15,0,0,241,281,13,9,0,0,309,213,15,8,0,0,241,98,13,8,0,0,115,69,6,5,0,0,78,34,0,4,0,0,45,35,4,3,0,0,44,6,3,0,0,0,9,4,0,3,0,0,14,14,0,0,0,0,21,1498,96
201011007,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,4,0,6,0,0,7,3,4,5,0,0,10,12,0,6,0,0,19,10,0,10,4,0,29,26,3,9,0,4,43,36,11,7,0,0,57,24,6,6,3,0,42,21,6,5,0,0,36,13,4,0,0,0,25,13,10,3,0,0,29,0,9,6,0,0,6,7,3,0,0,0,7,0,0,0,0,0,6,178,66,63,11,5,325,0,0,0,0,0,0,8,0,9,4,0,14,3,0,3,0,0,11,11,0,5,5,0,20,6,0,0,7,0,12,17,0,3,0,0,22,9,4,3,5,0,21,15,3,7,0,0,21,20,5,3,0,0,26,14,0,7,0,0,19,10,0,0,5,0,11,6,0,0,0,0,4,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,15
201011008,11,0,3,9,6,25,118,5,3,0,0,123,93,0,5,0,0,104,103,7,8,7,4,127,132,9,15,4,0,164,226,14,13,7,0,262,386,20,24,4,4,440,793,36,30,6,6,875,1134,46,43,0,5,1231,828,52,25,0,3,909,569,50,18,4,3,642,463,41,18,0,0,521,721,64,27,0,0,818,118,19,6,0,0,143,113,66,3,4,0,191,37,0,9,0,0,46,5842,440,248,54,46,6625,15,0,0,9,0,20,141,0,8,3,0,152,168,3,6,0,3,176,172,7,9,3,0,202,238,4,8,9,5,256,349,10,20,0,5,388,419,8,21,0,0,453,527,11,13,6,6,559,545,13,14,0,0,575,346,6,16,4,3,377,272,15,8,0,3,297,166,5,3,0,0,173,217,15,8,0,0,243,31,8,3,0,0,38,32,8,0,0,0,45,24,0,0,0,0,32,3660,108
201011481,4,0,0,4,0,11,32,0,0,0,0,36,33,3,3,0,0,44,25,6,4,4,0,40,38,3,16,4,0,54,70,8,9,0,0,87,77,10,19,0,5,107,137,11,15,6,0,171,163,16,15,0,4,198,108,12,11,5,0,137,56,12,10,0,0,85,47,11,7,0,0,64,95,28,9,0,0,122,18,5,5,0,0,25,4,7,0,0,0,16,4,4,4,0,0,14,914,129,123,23,10,1204,0,0,0,0,0,4,49,0,7,0,0,57,60,4,4,0,0,71,58,6,12,0,0,77,85,3,11,3,0,98,140,0,10,3,3,161,184,4,12,0,0,202,197,5,14,0,0,211,199,14,15,0,3,227,118,7,13,3,0,142,86,0,4,0,0,90,49,0,3,0,0,54,49,7,7,0,0,64,6,0,0,0,0,8,7,0,0,0,0,11,15,0,0,0,0,17,1311,66
201011482,0,0,0,0,0,4,33,0,4,0,0,38,23,0,0,6,0,29,8,3,12,3,0,25,27,4,6,0,0,39,56,7,19,0,0,86,64,6,18,0,0,99,100,18,22,0,0,141,108,16,27,0,0,149,100,25,21,0,5,148,89,17,22,5,0,132,66,19,9,0,0,95,94,12,8,0,0,117,24,17,5,0,0,45,18,16,8,0,0,47,7,0,0,0,0,10,825,168,174,23,6,1203,6,0,0,6,0,8,47,0,4,3,0,52,41,0,10,8,0,58,45,4,4,4,0,61,38,4,9,6,0,53,83,9,19,8,3,124,134,12,11,4,0,160,132,9,13,0,0,155,130,14,18,0,0,162,70,7,6,4,0,91,73,10,3,0,0,93,36,4,4,0,0,47,61,5,4,0,0,69,11,0,0,0,0,14,8,10,3,4,0,18,7,0,0,0,0,5,925,85
201011483,5,0,0,6,0,11,24,0,3,0,0,34,29,0,6,3,0,37,21,6,6,0,0,33,40,3,11,0,0,51,59,6,18,0,0,85,102,9,15,0,3,128,136,18,7,0,0,164,183,19,12,0,0,211,123,26,25,3,0,170,107,12,14,0,0,141,82,5,8,0,0,93,140,15,7,0,0,165,29,5,0,0,0,32,21,11,4,0,0,31,14,0,0,0,0,16,1117,129,128,20,9,1403,3,0,0,6,0,13,55,0,0,4,0,60,53,0,13,0,0,63,53,0,11,0,0,65,68,3,5,3,0,85,173,6,19,7,0,199,148,5,12,4,0,169,175,5,8,0,0,190,145,4,14,0,0,170,97,8,3,0,0,109,80,5,0,3,0,93,62,0,4,0,0,64,66,4,3,0,0,76,11,0,0,0,0,18,10,0,0,0,0,9,7,0,3,0,0,9,1191,49
201011484,0,0,3,3,0,10,103,0,5,0,0,106,70,0,5,0,0,79,54,0,4,0,0,68,57,7,13,4,3,80,110,13,19,4,3,139,122,14,18,0,5,158,180,15,15,0,0,212,188,14,19,0,0,213,96,9,12,0,0,116,68,7,5,0,0,80,57,14,4,0,0,72,72,15,0,0,0,84,8,4,0,0,0,18,11,7,0,0,0,20,16,0,0,0,0,26,1213,117,108,9,16,1474,9,0,0,3,0,10,108,0,0,0,0,115,87,0,0,3,0,91,78,4,5,6,0,87,112,3,10,9,0,130,201,0,16,5,3,225,192,0,11,0,0,205,203,0,10,0,4,215,188,8,4,0,4,198,108,0,0,5,0,114,106,0,3,0,0,117,40,0,0,0,0,49,66,0,0,0,0,65,7,5,0,0,0,12,4,0,4,0,0,9,15,0,0,0,4,27,1534,30
