POW_SA2_CODE_2021,Tot_PINS_Mng,Tot_PINS_Pro,Tot_PINS_TecTW,Tot_PINS_CoPSW,Tot_PINS_ClAW,Tot_PINS_SWks,Tot_PINS_MaOpDv,Tot_PINS_Lab,Tot_PINS_IDNS,Tot_PINS_Tot,Tot_Tot_Mng,Tot_Tot_Pro,Tot_Tot_TecTW,Tot_Tot_CoPSW,Tot_Tot_ClAW,Tot_Tot_SWks,Tot_Tot_MaOpDv,Tot_Tot_Lab,Tot_Tot_IDNS,Tot_Tot_Tot
201011001,0,0,9,0,0,5,4,0,0,22,482,678,765,613,411,424,232,490,46,4135
201011002,17,30,18,20,7,14,6,11,41,167,1822,6655,1475,3198,3269,2144,306,1131,266,20261
201011005,5,3,7,0,3,0,0,4,0,23,309,959,272,371,692,87,31,99,52,2874
201011006,4,5,9,6,4,8,7,7,5,49,483,365,956,580,394,629,592,563,62,4617
201011007,5,0,5,0,0,0,0,0,4,8,75,72,135,38,59,12,44,69,13,520
201011008,0,3,22,3,8,7,4,7,14,79,1324,1271,1990,774,1293,984,1082,1709,184,10619
201011481,3,4,4,4,0,5,0,7,5,31,285,487,463,600,221,235,124,254,46,2712
201011482,0,4,3,0,6,0,0,4,3,15,267,513,353,355,251,182,231,171,38,2365
201011483,3,3,0,7,0,4,3,6,0,27,263,609,467,498,217,197,201,310,34,2793
201011484,0,3,6,10,0,5,0,14,10,46,290,482,393,523,215,562,144,473,53,3148
201021009,11,0,9,4,3,0,0,0,5,29,309,249,304,222,196,165,102,296,34,1882
201021010,6,5,10,0,4,0,0,4,5,36,453,326,267,245,199,144,104,284,21,2051
201021011,9,4,4,0,0,4,0,5,6,36,756,676,535,533,331,290,101,405,61,3694
201021012,0,0,3,3,0,0,0,4,0,15,329,152,174,66,104,31,121,140,18,1138
201031013,0,0,0,0,4,3,4,0,0,13,306,92,98,84,64,47,67,137,17,922
201031014,14,0,0,4,4,0,0,3,5,26,344,174,141,261,121,57,63,135,25,1327
201031015,3,0,0,0,0,0,0,4,0,8,164,91,129,29,66,36,57,90,11,675
201031016,4,0,5,7,0,8,0,9,11,39,324,590,467,618,341,438,196,529,75,3582
201031017,4,0,0,0,0,4,0,4,4,23,248,86,144,56,75,45,93,133,14,891
202011018,20,32,20,17,18,16,7,19,43,191,2287,6899,2066,3418,3383,2012,660,1795,332,22856
202011019,0,0,0,4,3,4,0,3,4,23,227,339,338,398,215,264,189,283,36,2294
202011020,0,6,12,0,3,12,7,3,14,55,737,1099,1195,824,818,546,597,871,111,6809
202011021,0,4,4,0,0,0,0,0,6,19,173,681,247,292,207,74,59,132,30,1902
202011022,5,0,11,14,3,8,3,10,13,67,745,915,1081,981,714,1204,610,836,107,7199
202011023,0,0,0,0,0,0,0,0,3,8,91,222,147,103,79,50,42,71,13,818
202011024,0,5,0,0,0,0,0,0,0,9,187,414,223,195,183,114,54,128,24,1515
202011025,5,0,0,0,8,0,0,4,4,23,432,577,685,378,485,499,285,439,61,3844
202021026,3,0,3,5,0,0,0,7,11,33,296,185,248,72,153,34,138,691,48,1876
202021027,9,5,4,5,0,4,3,4,15,54,614,1210,761,891,532,452,289,1125,103,5971
202021028,12,0,3,3,0,0,0,0,0,23,425,350,252,158,147,93,82,214,31,1747
202021029,8,5,4,3,0,3,0,0,4,28,230,180,215,134,91,108,190,154,25,1333
202021030,10,9,16,17,7,3,7,10,7,78,698,902,616,937,443,425,265,623,71,4974
202021031,3,3,6,4,0,0,0,3,6,21,324,541,325,335,213,236,68,253,40,2341
202031032,0,0,4,0,4,0,7,0,3,24,360,163,322,52,122,47,381,190,29,1671
202031033,25,3,6,0,4,3,5,10,11,72,935,287,192,175,187,128,223,417,47,2594
203011034,0,4,9,5,0,0,0,3,4,27,224,331,265,296,194,157,70,230,27,1802
203011035,8,4,0,0,5,0,0,4,3,26,420,195,196,88,121,75,108,269,29,1494
203011036,12,0,3,3,0,0,0,3,0,23,458,234,251,184,136,70,88,204,18,1654
203021037,8,10,9,5,4,7,0,6,8,44,469,1265,638,1056,493,761,142,467,72,5356
203021039,28,49,31,18,27,25,19,34,77,306,4167,10741,3602,3919,6228,2550,1659,2535,665,36060
203021040,4,10,5,6,0,0,0,4,21,49,640,1425,784,1103,584,717,140,450,80,5930
203021042,5,20,6,0,5,3,0,7,12,62,770,2774,668,848,876,348,192,536,96,7105
203021043,8,7,19,14,5,9,15,11,24,112,782,1012,1370,1501,632,467,1051,973,164,7956
203021044,0,6,0,4,0,0,0,5,0,22,201,297,268,418,148,477,59,223,26,2112
203021045,8,10,10,11,5,0,4,10,15,81,569,766,1105,659,478,476,528,701,100,5383
203021046,6,6,8,4,4,0,4,0,7,36,576,1480,743,742,522,372,125,362,68,4992
203021047,7,13,17,11,4,5,14,10,22,102,1507,2545,1792,1304,1384,842,1326,1175,216,12092
203021485,0,0,5,0,0,0,0,0,3,9,84,267,195,293,78,65,55,121,9,1177
203021486,5,5,10,6,0,10,6,6,17,68,676,964,1251,581,532,683,618,885,100,6297
203021487,9,4,16,10,8,7,5,4,26,83,709,875,1055,1174,627,1553,311,717,111,7139
203021488,0,0,6,0,4,4,3,3,11,38,330,497,546,487,307,417,440,442,78,3542
203031048,5,3,11,0,3,11,3,3,6,44,313,699,474,449,277,394,121,344,46,3117
203031049,5,3,7,5,4,0,3,0,4,27,383,385,397,377,212,211,27,255,36,2284
203031051,5,3,0,3,0,0,0,0,5,17,254,267,282,243,170,160,43,223,38,1676
203031052,0,0,0,9,0,4,0,3,6,23,334,430,327,337,234,128,22,215,34,2057
203031053,10,11,12,16,6,8,0,4,14,78,1109,1637,1056,1189,791,964,196,747,99,7788
203031489,3,4,11,0,0,3,0,0,0,19,284,485,377,402,191,315,50,233,26,2354
203031490,6,5,7,10,5,3,0,3,17,55,644,935,823,959,481,670,118,498,82,5213
204011054,11,4,4,6,0,0,0,9,6,50,548,399,398,410,284,193,163,328,58,2777
204011055,13,0,9,3,0,0,0,9,3,41,573,296,290,241,208,172,95,356,49,2281
204011056,10,5,12,3,6,7,4,5,14,77,507,945,646,636,540,420,264,683,92,4740
204011057,8,12,7,5,0,4,4,3,12,59,805,679,629,737,436,482,283,512,86,4652
204011058,0,0,8,0,0,3,0,0,7,25,418,176,264,218,131,103,77,365,50,1796
204011059,0,0,6,0,6,3,0,3,10,32,314,519,373,497,327,396,197,422,55,3100
204011060,10,0,0,0,0,0,0,0,6,20,520,242,244,525,198,40,215,175,51,2213
204011061,0,0,0,0,0,0,0,0,0,0,3,8,6,0,3,0,8,6,0,38
204011062,5,7,3,0,3,0,3,0,0,24,308,192,162,136,93,77,40,141,22,1163
204021063,5,5,6,8,4,0,0,13,13,59,599,843,743,745,557,430,436,726,106,5182
204021064,7,0,0,0,0,0,0,0,5,18,416,65,94,27,51,15,53,117,21,867
204021065,0,0,4,0,0,0,0,0,4,17,282,197,212,173,109,80,99,356,32,1544
204021066,14,11,13,15,5,9,6,12,20,103,1030,2587,1408,1676,1256,1075,617,1089,160,10898
204021067,18,0,5,0,0,0,3,5,8,36,923,229,348,159,184,140,178,457,53,2658
204031068,0,0,0,6,0,0,0,4,3,15,330,382,196,351,167,163,54,212,24,1888
204031069,11,4,6,4,0,4,0,12,12,51,876,575,638,809,328,454,282,600,98,4658
204031070,3,0,3,0,0,0,0,4,0,13,151,60,80,49,43,55,117,68,15,646
204031071,5,3,0,3,3,3,3,0,5,20,352,317,254,255,198,198,189,281,27,2069
204031072,14,5,0,0,5,6,0,5,5,36,682,336,211,247,183,123,118,315,46,2251
204031073,3,4,0,8,4,7,7,9,14,49,610,1002,662,698,486,372,740,578,85,5226
204031075,3,5,4,0,0,0,0,0,0,21,336,198,186,151,96,74,81,213,26,1347
204031491,9,0,7,4,3,0,3,0,11,31,541,516,859,755,439,207,312,331,87,4052
204031492,13,9,20,16,4,9,9,9,23,105,1235,2327,1900,1324,1395,1189,1008,1331,184,11885
