POW_SA2_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
201011001,0,44,0,45,4,61,0,66,4,410,0,413,0,14,0,14,15,728,0,746,0,165,0,167,7,353,0,355,0,288,0,289,0,111,0,113,0,13,0,13,0,34,0,34,0,31,0,31,0,142,0,142,0,69,0,74,0,79,0,79,5,306,0,313,10,850,0,857,0,75,0,71,0,164,0,164,7,139,3,142,55,4078,9,4135
201011002,0,33,0,33,0,14,0,15,0,313,0,317,0,23,0,23,4,445,5,458,0,183,0,180,31,2153,4,2186,24,1743,5,1772,3,292,0,297,0,187,0,193,0,543,0,545,5,449,0,453,9,1282,3,1292,15,348,0,367,33,2049,0,2081,24,1765,0,1783,84,7040,17,7136,0,157,0,160,9,460,3,469,12,479,9,497,243,19967,52,20261
201011005,0,37,0,37,0,13,0,13,0,22,0,22,0,3,0,3,0,143,0,145,0,3,0,3,0,99,0,99,0,74,0,77,0,23,0,16,0,268,0,269,0,42,0,41,0,3,0,3,7,380,0,381,8,162,0,166,0,95,0,101,19,973,0,992,6,367,0,367,0,16,0,16,0,49,0,44,0,68,3,73,46,2825,6,2874
201011006,6,71,0,78,0,37,0,37,6,516,5,528,0,38,0,38,11,807,6,830,3,207,0,208,8,717,0,731,5,229,0,233,4,298,0,296,0,33,0,33,0,11,0,11,0,27,0,27,0,94,0,99,0,110,0,114,3,125,0,125,0,248,0,253,7,428,6,437,0,43,0,43,3,262,0,266,4,238,5,243,70,4532,18,4617
201011007,0,47,0,47,0,0,0,0,0,15,0,15,0,5,0,5,0,162,0,162,0,4,0,4,0,19,0,19,0,14,0,14,0,29,0,29,0,3,0,3,0,0,0,0,0,42,0,42,0,28,0,28,0,23,0,23,0,5,0,5,0,63,0,63,0,15,0,15,0,10,0,10,0,36,0,36,0,16,0,16,3,516,0,520
201011008,0,184,0,183,0,65,0,68,15,2294,7,2316,5,402,0,406,25,1219,8,1252,0,240,0,242,13,1186,0,1205,6,397,0,407,5,643,4,660,0,110,0,112,0,60,0,60,0,58,0,58,0,248,0,249,5,227,0,233,6,396,0,401,13,813,0,817,7,730,3,743,3,321,0,331,3,391,0,397,8,456,8,475,129,10448,40,10619
201011481,0,18,0,17,0,6,0,6,0,163,0,162,0,13,0,13,0,270,3,273,0,41,0,41,3,308,0,312,3,204,0,207,0,59,0,60,0,12,0,12,0,21,0,21,0,5,0,5,3,113,0,114,0,60,0,56,0,62,0,63,10,359,0,362,0,628,3,631,0,105,0,109,6,139,0,141,8,85,0,91,38,2662,10,2712
201011482,0,25,0,25,0,0,0,0,0,145,0,143,0,19,0,19,6,283,0,288,0,25,0,25,0,200,0,203,5,197,0,203,0,243,0,247,0,60,0,57,0,20,0,19,0,9,0,9,0,174,0,174,0,57,0,57,0,46,0,46,0,310,0,309,3,284,0,288,0,58,0,57,0,125,0,125,0,62,0,61,25,2333,5,2365
201011483,0,8,0,8,6,202,6,206,0,179,0,183,0,4,0,4,0,256,0,261,0,42,0,47,0,189,0,189,0,322,0,322,0,35,0,35,0,10,0,10,0,17,0,17,0,11,0,11,0,87,0,87,0,101,0,97,0,21,0,21,4,506,0,510,4,363,0,364,4,210,0,216,3,120,0,123,0,87,0,87,19,2765,4,2793
201011484,0,12,0,17,0,0,0,0,0,99,0,99,0,9,0,10,0,246,0,248,0,98,0,98,7,539,0,547,5,502,0,508,0,61,0,61,0,15,0,15,0,9,0,9,0,23,0,24,0,63,0,64,0,71,0,71,0,72,0,74,0,465,0,465,6,500,0,513,3,37,0,38,3,166,0,172,6,113,0,110,42,3092,15,3148
201021009,0,281,0,281,0,7,0,7,0,63,0,64,0,23,0,25,3,212,0,219,0,10,0,10,4,133,0,136,0,189,0,191,3,65,0,65,0,6,0,6,0,18,0,18,0,29,0,29,0,61,0,63,0,37,0,37,0,165,0,165,0,140,0,139,5,183,0,189,0,72,0,72,0,66,0,66,0,88,0,94,22,1858,9,1882
201021010,0,403,0,406,0,8,0,8,0,91,0,95,0,3,0,3,0,149,0,150,0,19,0,22,0,184,0,183,0,125,0,124,0,90,0,90,0,16,0,16,0,19,0,19,0,14,0,9,0,107,0,107,0,44,0,44,0,65,0,65,0,176,0,182,0,267,0,270,0,48,0,48,0,123,0,122,4,83,5,91,10,2026,7,2051
201021011,5,324,5,326,0,5,0,5,0,175,0,175,0,12,0,12,0,244,5,252,0,50,0,54,7,358,0,361,9,676,4,690,0,67,0,72,0,32,0,34,0,36,0,36,0,49,0,49,0,229,0,230,0,115,0,116,0,208,0,208,0,236,0,241,0,475,0,473,0,95,0,95,0,123,0,123,0,145,3,147,27,3645,24,3694
201021012,0,321,6,327,0,30,0,30,0,42,0,42,0,18,0,18,4,180,0,183,0,13,0,12,0,32,0,32,4,48,0,54,0,66,0,68,0,8,0,8,0,12,0,12,0,0,0,0,0,64,0,64,0,35,0,35,0,17,0,16,0,107,0,109,0,27,0,31,0,26,0,26,0,36,0,36,0,44,0,47,8,1124,8,1138
201031013,0,293,0,294,0,13,0,13,0,126,0,125,0,9,0,9,0,73,0,73,0,11,0,11,3,48,0,52,0,37,0,37,0,38,0,38,0,0,0,0,0,19,0,19,0,0,0,0,0,11,0,11,0,9,0,9,0,40,0,39,0,55,0,55,0,83,0,80,0,11,0,11,0,13,0,15,0,30,0,34,6,908,0,922
201031014,0,313,5,317,0,3,0,4,0,29,0,29,0,18,0,18,0,63,0,65,0,9,0,9,0,75,0,75,5,61,0,66,0,36,0,41,0,3,0,3,0,3,0,3,0,3,0,3,0,26,0,26,0,10,0,10,8,291,3,299,0,93,0,92,3,133,0,135,0,31,0,31,0,46,0,46,0,44,7,52,20,1299,10,1327
201031015,0,151,0,152,0,28,0,28,0,22,0,22,0,24,0,24,0,91,0,91,0,11,0,11,4,53,0,54,0,27,0,27,0,23,0,28,0,0,0,4,0,11,0,11,0,0,0,0,0,37,0,37,0,22,0,15,0,33,0,34,0,53,0,53,0,18,0,18,0,17,0,17,0,25,0,25,0,34,0,34,4,669,3,675
