POW_SA2_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
201011001,19,58,23,0,101,29,32,0,0,64,18,42,4,0,61,3,5,0,0,8,5,30,0,0,41,9,4,0,0,9,10,7,0,0,14,11,7,0,0,15,0,0,0,0,3,97,185,31,0,319,13,7,0,0,22,70,4,0,0,77,74,18,0,0,92,28,0,0,0,30,5,3,0,0,3,5,0,0,0,5,23,0,0,0,23,24,6,0,0,26,3,0,0,0,3,252,39,4,0,287,35,68,21,0,123,101,38,0,0,140,91,62,4,0,152,32,8,0,0,35,11,36,0,0,51,15,4,0,0,18,37,8,0,0,43,34,14,0,0,46,3,0,0,0,7,348,224,38,0,610
201011002,24,204,70,0,295,114,208,51,0,376,28,72,0,0,101,7,27,5,0,32,23,62,3,0,89,12,52,14,0,78,6,3,0,0,13,3,5,0,0,10,7,10,0,0,14,237,636,150,9,1018,34,55,4,0,94,263,84,13,3,359,79,31,0,0,109,62,14,0,0,76,20,8,0,0,29,26,5,3,0,33,17,0,0,0,19,13,13,0,0,24,5,0,0,0,6,507,206,24,9,741,56,258,70,0,384,376,293,68,3,737,109,100,0,0,208,67,39,5,0,115,43,66,6,0,117,37,56,14,0,113,25,3,0,0,29,18,12,0,0,34,9,10,3,3,24,736,837,165,9,1756
201011005,10,17,0,0,31,25,13,0,0,35,20,25,0,0,42,0,4,0,0,7,4,11,0,0,16,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,3,0,0,4,4,58,69,0,3,138,23,5,0,0,24,47,5,0,0,52,25,8,0,0,31,13,0,0,0,15,11,0,0,0,15,4,0,0,0,3,4,0,0,0,4,12,5,0,0,11,3,0,0,0,3,128,28,0,0,161,31,25,0,0,56,72,10,0,0,85,43,30,0,0,71,14,5,0,0,17,15,11,0,0,24,4,0,0,0,3,5,0,0,0,6,11,8,0,0,14,8,0,0,4,9,193,94,0,5,293
201011006,15,106,29,0,153,9,18,5,0,27,36,49,0,0,89,5,0,0,0,5,11,34,9,0,50,4,13,6,0,18,11,14,3,0,29,3,13,3,0,20,0,0,3,0,3,95,248,50,0,394,12,17,0,0,27,27,3,0,0,34,86,24,0,0,108,32,3,0,0,37,10,5,0,0,14,10,5,0,0,12,19,6,0,0,25,28,9,0,0,33,0,0,0,0,3,222,70,9,0,297,20,125,27,0,178,41,22,4,0,65,123,78,0,0,203,34,5,0,0,40,24,37,11,0,65,13,16,6,0,26,26,24,5,0,57,34,20,3,0,54,4,0,3,0,5,317,316,58,0,691
201011007,10,12,0,0,23,3,0,0,0,3,10,20,0,0,20,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,8,3,0,0,10,6,3,0,0,11,0,0,0,0,3,30,43,4,0,83,13,3,0,0,13,21,0,0,0,21,34,6,0,0,38,10,0,0,0,10,7,0,0,0,7,4,0,0,0,4,10,0,0,0,10,12,0,0,0,10,0,0,0,0,0,97,12,0,0,107,19,16,0,0,32,25,0,0,0,25,36,19,0,0,60,8,0,0,0,8,12,3,0,0,15,4,0,0,0,4,12,3,0,0,23,17,5,0,0,21,3,0,0,0,0,129,55,4,0,186
201011008,18,154,61,0,233,13,31,9,0,47,28,79,4,0,112,3,3,0,0,10,12,36,14,0,68,4,9,5,0,18,15,22,0,0,37,11,14,0,0,23,0,7,0,0,9,101,352,98,0,554,26,26,3,0,55,45,7,3,0,51,83,25,0,0,102,35,4,0,0,42,18,3,0,0,31,10,3,0,0,13,30,8,0,0,35,44,15,0,0,60,6,0,0,0,8,293,82,11,0,386,41,175,66,0,285,55,37,8,0,98,106,100,9,0,220,39,8,0,0,46,40,47,15,0,96,11,12,5,0,33,42,28,4,0,70,59,23,0,0,85,5,7,0,0,13,399,433,108,0,940
201011481,18,41,15,0,74,16,19,0,0,31,12,30,0,0,44,0,0,0,0,3,0,11,0,0,17,3,0,0,0,3,8,4,0,0,9,7,0,0,0,7,6,0,0,0,6,67,109,19,0,193,25,5,0,0,31,49,3,0,0,54,48,19,0,0,70,23,0,0,0,28,9,5,0,0,10,3,0,0,0,3,7,0,0,0,7,12,3,0,0,15,5,0,0,0,5,197,31,0,0,231,43,48,15,0,104,67,21,0,0,81,69,50,0,0,117,30,0,0,0,28,10,19,0,0,28,5,0,0,0,10,15,4,0,0,18,19,4,0,0,21,7,0,0,0,6,259,141,19,0,419
201011482,21,38,4,0,60,39,40,0,0,73,21,27,0,0,49,4,7,0,0,11,12,11,0,0,27,3,0,0,0,5,10,0,0,0,14,0,9,0,0,11,0,0,0,0,3,114,132,6,0,249,21,7,0,0,26,74,17,0,0,82,74,11,0,0,88,27,0,0,0,26,10,0,0,0,13,3,0,0,0,3,8,0,0,0,12,20,10,0,0,29,0,0,0,0,4,232,53,0,0,288,42,43,4,0,83,109,53,0,0,162,91,42,0,0,134,27,6,0,0,36,18,19,0,0,35,8,0,0,0,10,20,4,0,0,28,23,16,0,0,39,4,0,0,0,4,344,178,6,0,537
201011483,4,40,13,0,54,20,5,0,0,27,16,26,0,0,37,4,0,5,0,7,0,8,0,0,12,6,4,0,0,10,10,5,0,0,12,7,5,0,0,15,0,0,0,0,0,59,98,15,0,176,16,6,0,0,27,56,7,0,0,62,46,19,0,0,63,31,7,0,0,36,17,0,0,0,15,4,0,0,0,4,9,0,0,0,9,13,4,0,0,20,0,0,0,0,0,190,43,3,0,234,20,49,13,0,80,66,16,5,0,86,59,43,0,0,104,37,8,5,0,41,14,13,0,0,27,13,4,0,0,16,13,5,0,0,17,18,8,0,0,28,0,0,0,0,3,247,148,22,0,410
201011484,5,30,11,0,51,10,8,0,0,23,11,29,0,0,46,0,0,0,0,3,3,10,0,0,12,0,7,0,0,7,4,3,0,0,6,5,6,0,0,7,0,0,0,0,0,46,85,15,0,152,9,11,0,0,21,27,0,0,0,27,40,11,0,0,48,15,0,0,0,19,6,0,0,0,4,3,4,0,0,8,9,0,0,0,12,27,8,0,0,33,0,0,0,0,0,136,33,0,0,179,16,42,11,0,72,38,8,0,0,50,50,41,0,0,92,22,0,0,0,26,8,11,0,0,16,3,7,0,0,12,10,4,0,0,17,29,11,0,0,41,0,0,0,0,0,188,122,20,3,328
