POW_SA2_CODE_2021,M_Tot_H_0,M_Tot_H_1_19,M_Tot_H_20_29,M_Tot_H_30_34,M_Tot_H_35_39,M_Tot_H_40_44,M_Tot_H_45_49,M_Tot_H_50ov,M_Tot_H_NS,M_Tot_H_Tot,F_AgFF_H_0,F_AgFF_H_1_19,F_AgFF_H_20_29,F_AgFF_H_30_34,F_AgFF_H_35_39,F_AgFF_H_40_44,F_AgFF_H_45_49,F_AgFF_H_50ov,F_AgFF_H_NS,F_AgFF_H_Tot,F_Min_H_0,F_Min_H_1_19,F_Min_H_20_29,F_Min_H_30_34,F_Min_H_35_39,F_Min_H_40_44,F_Min_H_45_49,F_Min_H_50ov,F_Min_H_NS,F_Min_H_Tot,F_Mnf_H_0,F_Mnf_H_1_19,F_Mnf_H_20_29,F_Mnf_H_30_34,F_Mnf_H_35_39,F_Mnf_H_40_44,F_Mnf_H_45_49,F_Mnf_H_50ov,F_Mnf_H_NS,F_Mnf_H_Tot,F_EGWWS_H_0,F_EGWWS_H_1_19,F_EGWWS_H_20_29,F_EGWWS_H_30_34,F_EGWWS_H_35_39,F_EGWWS_H_40_44,F_EGWWS_H_45_49,F_EGWWS_H_50ov,F_EGWWS_H_NS,F_EGWWS_H_Tot,F_Const_H_0,F_Const_H_1_19,F_Const_H_20_29,F_Const_H_30_34,F_Const_H_35_39,F_Const_H_40_44,F_Const_H_45_49,F_Const_H_50ov,F_Const_H_NS,F_Const_H_Tot,F_WST_H_0,F_WST_H_1_19,F_WST_H_20_29,F_WST_H_30_34,F_WST_H_35_39,F_WST_H_40_44,F_WST_H_45_49,F_WST_H_50ov,F_WST_H_NS,F_WST_H_Tot,F_RetT_H_0,F_RetT_H_1_19,F_RetT_H_20_29,F_RetT_H_30_34,F_RetT_H_35_39,F_RetT_H_40_44,F_RetT_H_45_49,F_RetT_H_50ov,F_RetT_H_NS,F_RetT_H_Tot,F_AcFd_H_0,F_AcFd_H_1_19,F_AcFd_H_20_29,F_AcFd_H_30_34,F_AcFd_H_35_39,F_AcFd_H_40_44,F_AcFd_H_45_49,F_AcFd_H_50ov,F_AcFd_H_NS,F_AcFd_H_Tot,F_TPW_H_0,F_TPW_H_1_19,F_TPW_H_20_29,F_TPW_H_30_34,F_TPW_H_35_39,F_TPW_H_40_44,F_TPW_H_45_49,F_TPW_H_50ov,F_TPW_H_NS,F_TPW_H_Tot,F_IMT_H_0,F_IMT_H_1_19,F_IMT_H_20_29,F_IMT_H_30_34,F_IMT_H_35_39,F_IMT_H_40_44,F_IMT_H_45_49,F_IMT_H_50ov,F_IMT_H_NS,F_IMT_H_Tot,F_FinIns_H_0,F_FinIns_H_1_19,F_FinIns_H_20_29,F_FinIns_H_30_34,F_FinIns_H_35_39,F_FinIns_H_40_44,F_FinIns_H_45_49,F_FinIns_H_50ov,F_FinIns_H_NS,F_FinIns_H_Tot,F_RHRE_H_0,F_RHRE_H_1_19,F_RHRE_H_20_29,F_RHRE_H_30_34,F_RHRE_H_35_39,F_RHRE_H_40_44,F_RHRE_H_45_49,F_RHRE_H_50ov,F_RHRE_H_NS,F_RHRE_H_Tot,F_ProSTS_H_0,F_ProSTS_H_1_19,F_ProSTS_H_20_29,F_ProSTS_H_30_34,F_ProSTS_H_35_39,F_ProSTS_H_40_44,F_ProSTS_H_45_49,F_ProSTS_H_50ov,F_ProSTS_H_NS,F_ProSTS_H_Tot,F_AdSup_H_0,F_AdSup_H_1_19,F_AdSup_H_20_29,F_AdSup_H_30_34,F_AdSup_H_35_39,F_AdSup_H_40_44,F_AdSup_H_45_49,F_AdSup_H_50ov,F_AdSup_H_NS,F_AdSup_H_Tot,F_PubAS_H_0,F_PubAS_H_1_19,F_PubAS_H_20_29,F_PubAS_H_30_34,F_PubAS_H_35_39,F_PubAS_H_40_44,F_PubAS_H_45_49,F_PubAS_H_50ov,F_PubAS_H_NS,F_PubAS_H_Tot,F_EdTrn_H_0,F_EdTrn_H_1_19,F_EdTrn_H_20_29,F_EdTrn_H_30_34,F_EdTrn_H_35_39,F_EdTrn_H_40_44,F_EdTrn_H_45_49,F_EdTrn_H_50ov,F_EdTrn_H_NS,F_EdTrn_H_Tot,F_HltHC_SA_H_0,F_HltHC_SA_H_1_19,F_HltHC_SA_H_20_29,F_HltHC_SA_H_30_34,F_HltHC_SA_H_35_39,F_HltHC_SA_H_40_44,F_HltHC_SA_H_45_49,F_HltHC_SA_H_50ov,F_HltHC_SA_H_NS,F_HltHC_SA_H_Tot,F_ArtsR_H_0,F_ArtsR_H_1_19,F_ArtsR_H_20_29,F_ArtsR_H_30_34,F_ArtsR_H_35_39,F_ArtsR_H_40_44,F_ArtsR_H_45_49,F_ArtsR_H_50ov,F_ArtsR_H_NS,F_ArtsR_H_Tot,F_OthSvs_H_0,F_OthSvs_H_1_19,F_OthSvs_H_20_29,F_OthSvs_H_30_34,F_OthSvs_H_35_39,F_OthSvs_H_40_44,F_OthSvs_H_45_49,F_OthSvs_H_50ov,F_OthSvs_H_NS,F_OthSvs_H_Tot
209041433,48,176,207,96,459,586,199,315,64,2154,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13,6,7,18,21,0,0,0,72,0,0,0,0,6,0,0,0,0,6,3,13,17,12,17,14,3,4,4,91,0,6,8,0,17,5,4,4,0,44,5,71,41,20,26,13,0,8,4,191,10,31,16,0,10,3,0,0,0,84,4,4,12,9,13,37,24,12,4,118,0,0,0,0,5,0,0,0,0,9,0,0,0,3,0,8,0,0,0,13,0,0,0,0,5,0,3,0,0,11,0,7,0,3,11,6,0,4,0,20,3,10,14,6,10,7,0,0,0,50,0,0,4,0,6,3,0,0,0,17,21,61,48,29,57,48,36,36,4,355,8,48,41,29,71,13,3,7,0,225,8,16,11,8,14,0,0,0,0,52,3,8,8,6,4,4,4,0,0,39
209041435,19,46,37,34,75,93,17,55,11,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,9,9,5,3,8,0,6,0,31,0,0,0,0,0,0,0,0,0,0,0,20,13,4,5,3,0,0,0,47,0,4,4,0,0,0,0,0,4,18,0,3,3,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,7,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,11,0,4,5,0,4,0,27,0,12,6,0,3,8,0,0,0,32,0,4,0,0,0,0,0,0,0,5,5,21,19,9,48,14,3,10,0,126,4,22,12,12,34,5,0,0,0,93,0,6,3,0,3,4,0,0,0,11,3,8,5,0,0,0,0,0,0,19
209041436,44,194,134,81,316,320,78,142,36,1342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,9,7,8,6,6,0,7,0,38,0,0,0,0,5,0,0,0,0,8,14,100,49,22,36,16,4,5,3,249,5,47,16,3,4,0,0,6,0,81,0,3,3,0,12,3,0,0,0,20,3,5,5,6,8,0,0,0,0,27,0,5,0,0,7,9,0,4,0,19,0,10,0,0,12,4,0,6,0,27,0,6,8,3,3,7,0,3,0,43,0,7,12,6,5,0,0,4,0,29,21,77,67,45,107,98,10,26,5,459,12,59,63,43,69,38,19,39,0,344,23,101,145,97,144,52,10,23,9,603,0,3,0,0,0,0,0,0,0,8,14,21,8,5,3,4,0,5,0,61
209041437,30,147,168,84,208,307,95,188,20,1242,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,3,5,6,0,18,8,8,5,0,42,0,0,3,0,0,0,0,0,0,8,0,16,11,7,20,8,3,0,0,60,0,0,5,0,0,0,0,0,0,11,6,11,3,3,0,0,4,0,0,36,0,43,11,6,7,6,0,0,0,78,0,4,3,4,0,5,0,4,0,24,0,6,0,0,4,0,0,0,0,7,0,0,0,0,9,7,0,5,0,25,0,0,6,0,4,0,0,0,0,13,4,14,9,0,6,10,0,4,0,50,0,12,9,3,3,3,0,0,0,37,0,4,0,3,10,0,0,0,0,19,8,22,31,20,54,20,14,26,0,194,0,7,23,14,47,17,4,14,3,133,0,0,0,0,0,0,0,0,0,0,5,7,0,3,0,0,0,0,0,25
209041527,38,123,99,56,219,273,84,152,28,1058,3,5,11,17,58,43,15,6,7,171,0,0,0,0,0,0,0,0,0,0,0,24,3,0,8,3,0,0,0,37,0,0,0,0,0,0,0,0,0,0,5,15,12,3,0,9,0,3,0,47,0,0,0,0,0,4,0,0,0,6,7,57,35,12,21,15,4,4,0,155,5,43,11,6,6,4,3,3,0,82,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,5,0,6,3,0,6,3,0,0,0,26,3,5,5,0,5,6,0,4,0,27,3,21,12,3,9,12,5,3,0,72,4,16,13,7,13,15,7,6,0,69,0,8,6,0,5,5,3,0,3,25,24,74,75,55,94,71,37,57,3,491,17,49,38,12,56,21,4,9,0,205,0,4,0,0,0,0,0,0,0,12,11,20,19,11,9,0,0,3,5,69
209041528,13,91,47,28,73,102,28,53,10,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,3,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,3,0,17,7,87,18,10,4,3,4,0,0,131,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,5,0,0,0,10,0,0,0,0,4,0,0,0,0,7,6,7,5,0,8,4,0,0,0,35,0,13,8,0,0,0,0,0,0,24,0,4,0,0,0,0,0,0,0,8,5,25,20,7,26,23,10,15,0,119,9,26,26,19,24,9,3,4,0,126,0,7,7,3,4,5,0,0,0,33,0,19,5,0,0,0,0,0,0,27
209041529,22,88,87,48,97,97,29,65,18,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,61,44,27,19,7,4,7,4,184,3,6,8,0,3,3,0,0,0,29,0,0,0,0,0,0,0,0,0,10,0,3,3,5,8,0,4,0,0,19,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,0,6,5,4,0,0,25,0,9,7,0,0,3,0,0,0,17,0,6,0,0,0,0,0,0,0,8,10,42,28,27,44,33,11,20,0,220,5,53,39,32,39,14,6,10,0,196,0,3,3,0,0,0,0,0,0,3,8,8,7,5,3,3,4,0,0,34
209041530,34,155,174,112,388,439,105,257,46,1718,0,3,0,3,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,3,3,16,5,0,5,0,42,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,3,0,0,0,24,5,23,30,21,45,34,3,9,0,173,9,16,20,5,20,14,7,0,0,88,4,6,3,3,6,12,0,0,0,29,3,12,18,4,15,11,3,5,0,62,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,0,0,0,18,0,0,0,3,4,3,0,0,0,16,3,3,11,0,8,0,0,0,0,30,0,9,15,5,7,0,0,0,0,43,3,7,5,3,6,9,0,0,0,38,15,33,31,36,62,31,12,16,0,244,9,24,36,26,55,35,0,4,0,199,0,0,0,0,0,0,0,0,0,0,0,5,4,3,3,0,0,0,0,20
209041531,13,83,63,36,71,88,18,60,10,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,5,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,55,26,11,27,17,0,0,0,144,0,12,7,3,4,3,0,0,0,29,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,4,0,0,0,3,0,3,3,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,7,3,0,4,0,8,4,0,5,0,18,0,6,0,3,10,6,0,0,0,24,0,0,0,0,0,0,0,0,0,9,13,28,22,14,30,28,22,19,7,181,9,35,35,16,36,7,0,5,0,149,0,0,0,0,0,0,0,0,0,5,3,10,4,0,3,6,0,0,0,26
209041532,25,96,54,38,121,164,55,73,9,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,3,3,0,0,0,6,0,8,5,0,0,0,0,4,0,17,0,0,0,0,4,0,0,0,0,4,0,20,14,6,20,3,0,4,3,78,9,50,24,0,0,0,3,0,0,96,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,7,5,4,8,0,0,0,0,26,0,4,7,5,3,0,0,0,0,22,16,0,3,3,7,10,3,9,0,62,20,42,30,27,65,41,16,20,0,262,5,20,21,14,26,9,3,4,0,100,6,8,3,0,13,0,0,0,0,27,6,3,4,0,0,0,0,0,0,21
