POW_SA2_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
201011001,51,0,6,0,0,56,143,0,4,0,0,146,176,12,14,0,0,195,141,18,10,0,0,175,133,23,10,0,0,168,132,33,16,0,0,183,122,34,15,0,5,172,131,36,21,0,0,185,103,22,4,4,0,135,59,9,0,0,0,75,15,5,0,3,0,22,0,7,4,5,0,9,0,4,0,0,0,4,1205,197,96,13,8,1519,116,0,0,0,6,117,54,0,3,0,0,56,47,0,12,0,0,57,21,4,8,0,0,29,26,4,10,0,0,41,17,3,7,4,0,24,26,0,9,0,0,38,15,7,8,0,0,36,16,5,3,0,0,26,16,3,3,0,0,31,19,6,3,3,0,34,3,3,3,4,0,16,0,0,0,0,0,5,379,37,75,16,3,507,77,0,4,8,0,86,17,0,0,0,8,29,1679,237,175,31,19,2142,16,0,0,0,0,16,83,0,3,0,0,83,108,0
201011002,59,0,0,0,0,59,301,0,3,0,0,310,524,12,14,5,0,556,548,43,19,0,0,610,508,57,19,0,0,592,455,68,38,3,0,557,462,73,36,3,0,576,443,78,25,4,0,555,351,88,44,0,4,484,256,56,18,3,4,338,78,32,15,0,4,133,13,16,8,0,0,35,0,0,0,0,0,8,4007,525,236,25,21,4807,328,0,0,0,0,329,336,0,11,0,0,349,190,6,9,0,3,204,140,10,7,0,0,161,123,8,6,0,0,141,94,8,5,0,0,107,75,15,8,0,0,104,72,15,10,0,0,97,69,11,13,5,0,94,119,12,15,0,0,149,85,15,13,3,0,108,27,11,0,3,0,48,14,3,5,4,0,27,1675,112,103,20,3,1921,299,16,8,0,6,347,97,6,6,8,21,134,6087,659,355,56,54,7209,77,0,0,0,0,80,455,0,5,0,6,464,736,9
201011005,6,0,0,0,0,6,58,0,0,0,0,58,114,0,0,0,0,111,125,15,3,0,0,140,122,7,4,0,0,135,108,6,4,0,0,118,91,10,5,0,0,119,73,9,9,0,0,96,61,9,7,6,0,83,35,8,8,0,0,49,21,4,3,0,0,30,0,0,0,0,0,4,0,0,0,0,0,0,820,70,49,3,0,948,18,0,0,0,0,18,46,0,0,0,0,46,25,0,0,0,0,30,30,0,0,0,0,29,13,0,3,0,0,14,20,0,0,0,0,22,8,3,4,0,0,12,5,6,4,0,0,13,9,4,0,0,0,19,7,5,3,0,0,17,7,5,3,0,0,19,0,3,9,0,0,9,0,0,0,0,0,0,196,19,34,6,0,251,48,3,4,0,0,55,15,6,3,4,4,23,1074,100,82,10,10,1284,0,0,0,0,0,0,43,0,0,0,0,43,89,0
201011006,67,0,0,0,0,67,215,5,0,0,0,227,238,21,19,0,0,267,231,27,9,0,6,270,197,40,21,4,0,254,166,26,15,0,0,212,186,39,15,0,3,243,183,35,17,0,0,239,124,30,26,0,0,180,106,17,19,0,0,151,23,12,3,0,0,40,5,8,0,0,0,12,3,0,0,0,0,3,1739,258,144,6,11,2157,114,0,0,0,0,114,78,0,0,0,0,85,46,0,5,0,0,50,45,4,6,0,0,51,23,0,7,0,0,32,18,0,3,0,0,20,21,7,7,0,0,35,25,0,3,0,0,34,33,10,0,0,0,39,55,5,7,0,0,72,23,3,3,4,0,38,14,9,8,4,0,26,3,0,0,3,0,10,496,34,54,15,3,602,85,5,5,0,0,91,29,5,0,0,3,43,2355,300,207,23,18,2897,21,0,0,0,0,21,78,0,0,0,0,82,104,0
201011007,6,0,0,0,0,6,24,0,0,0,0,24,30,6,5,0,0,38,22,8,6,0,0,33,10,11,7,0,0,22,11,14,3,0,0,29,10,7,4,0,0,25,11,5,9,0,0,25,7,6,3,0,0,17,3,0,0,0,0,11,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,136,54,40,7,0,236,0,0,0,0,0,0,11,0,0,0,0,11,9,0,0,0,0,9,0,0,5,0,0,3,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,4,3,3,3,0,0,5,0,0,4,0,0,4,3,0,4,0,0,9,0,0,4,0,0,9,0,0,0,0,0,3,0,0,0,3,0,5,32,11,22,3,0,65,6,0,3,0,0,13,4,0,0,0,0,6,178,66,63,11,5,325,3,0,0,0,0,3,0,0,0,0,0,0,6,0
201011008,135,0,0,0,0,136,409,0,0,0,0,413,502,16,16,0,0,541,546,35,13,0,0,587,479,65,16,0,3,563,528,43,14,0,0,598,557,56,18,0,0,635,501,56,15,9,3,585,463,53,13,5,3,539,284,37,13,3,3,347,91,12,12,0,0,120,18,7,4,0,0,22,6,0,0,0,0,7,4516,378,153,27,27,5099,194,0,0,0,0,198,169,0,4,0,0,170,126,0,4,0,0,134,68,0,4,0,0,74,62,7,5,0,0,74,42,5,6,0,3,48,60,3,7,0,0,77,61,3,11,0,0,79,68,8,9,0,4,92,70,3,13,3,6,92,63,8,9,0,4,80,24,7,5,6,0,33,6,4,0,0,0,19,1016,50,80,17,11,1175,235,6,9,4,0,262,70,5,5,3,7,98,5842,440,248,54,46,6625,31,0,0,0,0,31,171,0,0,0,0,170,231,0
201011481,31,0,0,0,0,31,69,0,4,0,0,68,95,0,0,0,0,95,80,11,7,0,0,96,80,11,10,0,3,100,53,20,4,0,0,74,67,15,3,4,0,90,54,17,6,0,0,79,38,11,7,7,0,65,25,14,6,0,0,48,10,5,4,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,590,106,53,13,0,764,53,0,0,0,0,53,57,0,0,0,0,59,26,0,3,0,0,31,26,3,7,0,0,33,16,3,0,0,0,27,9,0,0,0,0,14,9,3,3,0,0,21,14,6,7,0,0,24,20,0,6,0,0,37,18,0,11,0,0,25,10,4,7,3,0,22,5,0,3,4,0,13,0,0,0,0,0,3,268,21,48,9,4,350,54,4,13,0,0,65,5,0,6,0,5,24,914,129,123,23,10,1204,11,0,0,0,0,11,36,0,0,0,0,36,59,0
201011482,22,0,0,0,0,22,58,0,4,0,0,65,53,0,6,0,0,54,68,16,12,0,0,87,55,13,22,0,0,89,67,16,5,0,0,87,66,21,18,0,0,106,47,23,3,4,0,81,69,14,10,0,4,93,51,8,11,5,0,79,13,10,8,0,0,21,4,6,0,0,0,9,0,0,5,0,0,3,568,122,102,9,3,805,43,0,0,5,0,48,27,0,0,0,0,26,19,0,12,0,0,25,23,3,4,0,0,29,11,0,4,0,0,17,7,6,0,0,0,16,10,3,4,0,0,24,15,0,4,0,0,19,14,9,10,0,0,38,12,7,15,0,0,40,0,10,6,0,0,16,7,4,0,6,0,10,4,3,3,0,0,8,197,45,69,15,0,321,39,3,6,0,0,46,20,4,0,0,0,26,825,168,174,23,6,1203,0,0,0,0,0,0,38,0,0,0,0,39,46,0
201011483,28,0,0,0,0,28,68,0,0,0,0,68,96,4,13,0,0,115,112,14,4,0,0,131,96,21,6,0,0,127,81,12,10,4,0,117,87,22,13,0,0,116,70,8,5,0,0,93,44,12,7,0,0,65,43,8,6,0,0,57,11,5,0,0,0,9,0,0,6,0,0,8,0,0,0,0,0,5,740,100,74,11,3,929,40,0,4,0,0,46,61,0,4,0,0,61,43,0,3,0,0,47,18,0,3,0,0,23,25,3,3,0,0,27,17,3,4,0,0,22,20,0,3,0,0,30,13,6,0,0,0,16,22,10,6,0,0,33,21,4,11,0,0,41,11,3,3,0,0,24,6,0,0,0,0,15,0,6,0,0,0,6,297,32,43,7,3,379,61,0,6,0,0,66,21,0,0,0,3,23,1117,129,128,20,9,1403,14,0,0,0,0,14,32,0,3,0,0,38,50,0
201011484,51,0,0,0,0,51,67,0,0,0,0,68,86,9,3,0,0,102,72,10,6,0,0,89,72,12,5,3,0,90,58,10,5,0,0,82,58,12,7,0,0,77,72,16,9,0,0,94,56,12,3,0,0,69,42,12,4,0,0,57,13,5,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,639,99,48,5,6,803,162,0,0,0,5,167,85,0,4,0,0,84,55,0,6,0,0,66,32,0,0,0,0,35,15,3,5,0,0,22,18,0,3,0,0,26,24,0,8,0,0,32,16,4,5,0,0,23,24,3,6,0,0,33,13,0,4,3,0,22,24,0,4,0,0,27,19,0,6,0,0,22,0,0,0,0,0,6,501,13,51,6,6,576,52,0,8,0,0,57,32,0,4,0,5,35,1213,117,108,9,16,1474,20,0,0,0,0,20,65,0,0,0,0,65,82,0
