POW_SA2_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
201011001,44,85,102,56,51,14,25,33,0,399,59,90,86,22,21,12,19,22,0,327,45,56,34,10,10,12,9,13,0,191,88,81,51,3,15,20,18,36,0,316,24,17,10,3,0,3,0,6,0,58,38,33,9,0,5,10,0,0,3,101,0,0,9,0,0,5,4,0,0,21,446,581,744,558,361,419,230,480,23,3839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,6,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011002,144,444,140,132,157,92,9,22,15,1152,155,438,67,88,112,54,9,8,0,927,116,343,47,37,57,32,8,6,0,646,186,555,61,24,60,54,3,10,3,957,47,123,3,7,21,19,0,5,0,217,116,320,13,8,26,39,0,0,4,518,16,15,12,14,4,12,0,5,0,92,1387,3425,1224,2112,1883,2050,233,902,90,13313,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,5,9,11,0,0,0,3,0,0,0,0,13,22,0,0,0,0,0,0,0,0,6,15,0,0,5,0,0,5,0,0,8,19,0,0,0,0,0,0,0,5,4,20,0,9,0,0,0,0,0,0,11,23,0,0,0,0,0,0,0,0,9,14,3,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,0,0,5,7
201011005,16,68,26,18,27,0,7,3,4,167,18,80,23,16,11,0,0,5,0,156,14,52,11,8,18,5,3,0,0,107,35,71,19,0,8,0,4,0,4,141,15,5,5,0,0,0,0,0,0,27,11,9,0,0,0,0,0,0,0,30,5,0,7,0,4,0,0,4,0,15,173,420,219,237,246,87,31,82,21,1512,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
201011006,63,53,121,30,49,36,88,54,8,487,53,32,79,12,23,15,59,28,0,322,44,28,37,4,8,7,37,7,0,170,62,30,51,7,17,12,22,9,8,205,17,5,3,4,3,0,4,0,0,43,26,17,12,0,0,5,0,7,0,63,5,3,6,4,4,5,4,7,4,37,471,296,950,486,379,622,591,554,43,4391,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,5,8,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
201011007,8,10,18,3,7,0,8,7,0,50,0,3,15,0,12,0,6,3,0,43,4,3,4,0,0,0,3,4,0,22,10,4,7,0,4,0,0,3,0,32,7,4,3,0,0,0,0,0,0,11,3,0,0,0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,4,72,46,130,29,55,12,44,70,5,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011008,156,140,266,35,143,51,154,149,12,1118,137,149,157,21,72,33,87,116,18,792,111,138,97,9,43,26,74,76,8,592,248,199,180,11,56,29,65,96,3,886,72,30,30,0,9,0,4,5,0,155,108,33,24,0,18,6,10,10,4,208,0,5,18,4,10,7,4,3,5,53,1202,1008,1904,607,977,977,990,1634,108,9410,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,6,6,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,4,11,0,0,4,0,0,0,5,0,5,13,0,0,3,0,0,0,0,5,9,15,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
201011481,37,66,57,49,23,3,11,4,0,247,15,53,32,21,11,3,3,3,0,142,20,30,21,5,10,0,9,7,0,100,51,43,32,0,9,3,14,6,0,153,12,3,3,0,0,0,0,0,0,31,9,3,0,3,0,0,5,0,5,26,3,0,4,3,0,5,0,4,0,20,263,402,451,527,193,232,119,233,22,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
201011482,23,51,51,12,14,5,33,8,3,201,32,38,27,8,9,9,45,7,0,185,15,25,25,3,4,8,14,8,0,106,29,40,14,3,8,8,16,4,0,113,17,19,0,4,0,4,11,0,0,50,24,21,0,0,3,0,8,0,0,62,0,0,4,0,6,0,0,4,0,9,245,369,349,269,215,164,220,167,28,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011483,35,61,56,28,22,3,16,18,0,240,34,45,38,15,19,4,17,3,0,182,19,50,20,10,11,0,18,0,0,122,36,71,37,10,0,3,39,4,0,200,9,10,8,0,4,0,4,0,0,45,13,14,9,0,0,0,3,0,0,41,3,3,0,3,0,4,3,0,0,22,244,432,454,440,181,196,193,300,14,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
201011484,27,60,41,23,16,11,11,8,0,195,24,67,18,16,14,6,4,6,0,164,11,31,13,9,4,8,4,6,0,87,23,55,17,4,0,3,0,0,0,98,9,3,0,0,0,0,0,0,0,23,4,13,0,0,0,4,4,3,0,25,0,0,3,7,0,5,0,5,3,29,269,362,386,398,190,561,140,455,21,2782,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
