POW_SA2_CODE_2021,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
201011001,0,4,0,0,0,0,5,0,0,6,0,6,0,0,10,0,5,4,0,7,0,11,0,0,11,0,6,0,0,3,0,5,0,0,5,5,4,0,0,10,0,0,0,0,4,0,9,0,0,8,0,3,0,0,3,0,0,0,0,5,0,0,0,0,0,11,46,8,0,64,65,252,21,9,349,231,152,21,4,410,307,143,23,4,478,261,146,17,5,424,230,171,18,10,424,271,145,12,4,427,252,133,5,6,397,284,133,13,3,437,204,111,13,0,325,112,106,22,3,244,28,57,9,0,95,9,22,4,0,38,4,6,0,0,12,2260,1568,190,40,4049,0,5,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
201011002,3,11,8,0,21,11,21,4,4,28,9,18,0,0,24,6,24,4,0,35,4,7,9,0,19,8,14,4,0,21,0,12,3,0,18,10,9,4,0,24,8,10,0,0,16,4,7,5,0,21,0,5,0,0,10,0,7,0,0,3,0,0,0,4,7,66,143,40,14,265,139,850,141,26,1152,760,1026,127,40,1958,1303,727,162,37,2233,1189,781,206,30,2204,1108,909,123,23,2160,1118,797,73,14,1999,1248,741,57,23,2068,1203,698,74,19,2003,1016,650,104,10,1781,696,675,109,9,1491,235,301,53,6,597,51,103,14,10,178,10,42,10,6,71,10084,8295,1259,251,19884,3,3,0,3,10,0,0,0,0,8,7,0,0,0,7,0,0,0,0,6,4,5,0,0,6,5,9,0,0,16,11,9,0,0,15,9,8,0,4,15,3,4,0,0,9,0,7,0,0,9,3,5,0,0,6,0,0,0,0,0
201011005,0,4,0,0,4,0,4,0,0,5,0,0,0,0,0,5,0,0,0,5,0,6,3,0,7,3,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,8,0,36,6,65,3,4,78,103,84,15,0,204,203,85,17,6,313,222,97,26,6,350,225,95,19,8,349,216,89,16,0,320,229,82,8,8,322,199,70,17,6,288,170,89,21,6,282,97,63,17,5,175,40,49,3,3,97,4,12,5,0,25,0,3,0,0,8,1711,896,166,48,2819,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011006,0,4,3,0,6,0,8,0,0,8,0,4,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,3,0,0,0,4,0,4,0,0,6,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,15,33,5,0,56,80,281,21,4,390,306,194,20,9,523,373,133,25,13,545,332,137,30,6,505,321,110,16,8,447,274,93,10,6,385,310,115,9,8,445,314,92,13,3,423,236,94,12,3,348,186,126,21,0,334,45,68,3,0,119,15,37,3,0,58,3,12,3,0,14,2804,1475,192,62,4528,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,0,0,0,0,5,9,0,0,0,13,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,0,0,23,24,18,3,0,45,42,16,3,0,57,45,19,6,0,64,32,25,3,0,58,36,17,0,0,60,31,17,3,0,45,34,24,0,0,62,22,17,0,0,42,17,13,0,0,35,7,6,0,3,17,0,5,0,0,7,0,7,0,0,7,298,185,22,6,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011008,0,4,0,0,13,6,8,3,0,22,4,5,0,0,7,8,10,0,0,18,5,11,0,0,11,7,7,0,0,13,5,7,0,0,11,3,3,7,0,9,11,11,5,0,25,0,3,3,0,14,0,0,0,3,7,0,0,0,0,0,0,0,0,0,3,49,71,22,4,151,171,434,53,14,668,581,378,50,16,1025,767,289,43,17,1115,734,215,54,19,1023,714,270,47,16,1040,801,238,24,10,1073,859,249,32,21,1160,798,252,39,9,1090,694,269,69,15,1043,450,220,47,9,724,133,128,27,10,297,34,58,10,3,101,6,23,6,0,33,6736,3017,493,147,10398,0,3,0,0,3,0,0,0,0,5,3,0,0,0,3,4,0,0,0,7,5,3,0,0,4,11,0,0,0,11,8,5,0,0,8,5,0,0,0,7,3,4,0,0,6,6,4,0,0,12,3,0,0,0,3,0,0,0,0,0
201011481,0,4,4,0,5,0,4,4,0,4,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,6,24,6,0,37,40,133,22,3,190,107,152,20,3,282,157,91,25,0,272,164,104,26,5,300,166,100,13,0,282,112,97,11,4,222,146,102,11,4,260,146,95,7,5,260,105,113,18,8,248,90,107,13,0,211,26,53,4,0,84,10,31,4,0,42,0,9,0,3,16,1272,1186,162,39,2659,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
201011482,0,0,0,0,3,0,0,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,3,0,4,0,0,4,0,4,0,0,4,0,0,0,0,5,9,21,7,5,32,22,120,11,0,152,103,66,11,8,189,104,72,7,5,186,134,85,15,3,238,125,71,13,3,215,140,86,0,0,232,161,82,3,3,255,146,84,9,3,239,137,102,15,8,260,110,80,15,4,204,31,46,7,0,86,15,25,0,0,36,3,14,0,0,18,1219,939,121,37,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201011483,0,3,0,0,3,4,3,3,0,12,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,24,8,4,42,34,99,22,0,156,97,150,20,3,268,168,107,24,9,303,178,98,15,0,290,175,112,14,3,299,191,101,11,5,305,184,110,12,7,312,152,81,5,4,248,111,91,12,5,219,91,84,21,0,196,17,53,7,0,78,8,13,0,5,30,4,8,0,0,13,1418,1098,171,43,2728,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
201011484,0,18,0,0,16,0,12,0,0,19,4,12,0,0,15,0,6,0,0,8,0,4,0,0,4,0,3,0,0,5,3,3,0,0,7,6,3,0,0,10,0,3,0,0,9,0,3,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,19,83,10,3,107,67,335,24,5,430,132,171,17,5,324,180,134,21,15,346,140,106,14,4,268,146,97,8,7,249,132,115,4,7,255,151,101,11,0,257,157,116,9,6,283,122,132,21,4,278,92,79,17,0,188,34,45,9,0,87,10,24,0,0,35,0,5,0,0,6,1358,1454,145,58,3022,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
