POW_SA2_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
201011001,19,33,85,89,192,107,21,33,5,584,17,31,67,61,185,138,32,55,7,594,21,12,44,42,114,126,31,52,3,437,12,19,16,34,77,96,39,61,0,353,10,6,13,17,47,71,21,51,0,216,10,12,13,20,37,90,57,117,0,359,6,0,6,6,13,15,11,28,3,72,0,5,4,5,19,22,9,48,0,108,0,0,5,4,3,3,0,0,8,22,193,692,539,387,823,752,236,474,48,4135
201011002,132,262,500,402,691,362,67,87,26,2531,136,184,418,463,915,569,102,107,23,2918,98,64,232,307,681,484,121,126,12,2120,111,35,139,250,538,480,124,164,14,1854,72,33,73,118,365,416,117,178,14,1382,92,48,63,100,414,612,224,405,15,1971,9,10,14,19,57,91,48,87,0,346,28,39,32,42,94,176,61,279,4,756,9,27,19,11,19,16,3,5,49,167,1309,3229,2992,2263,4259,3482,944,1523,274,20261
201011005,14,41,43,52,83,30,8,7,0,282,13,14,44,42,83,79,9,24,7,323,18,9,34,38,98,91,17,25,3,330,17,15,16,28,114,95,32,26,5,351,8,0,11,17,73,92,39,35,3,290,27,3,17,9,97,131,89,77,0,453,6,3,0,0,0,16,11,26,0,74,8,0,5,5,6,19,13,30,0,80,0,3,5,3,4,6,0,3,5,23,173,349,319,250,626,599,236,275,51,2874
201011006,18,41,77,87,286,181,39,47,4,782,23,34,45,62,226,294,67,79,15,840,19,7,26,21,107,186,56,79,8,508,10,5,11,14,50,123,50,85,5,351,11,5,3,4,36,49,29,66,0,205,9,11,3,5,40,67,36,87,6,256,0,0,0,3,5,10,3,20,0,41,3,0,0,9,6,10,9,39,0,69,3,5,0,4,5,9,0,8,6,49,195,664,516,333,935,1036,306,559,69,4617
201011007,3,0,6,8,16,13,4,10,0,64,3,10,8,5,21,25,3,10,0,81,5,6,0,0,13,15,10,11,0,60,5,4,3,0,10,19,4,9,0,50,0,0,0,4,0,5,7,11,0,28,0,0,0,0,4,7,3,11,0,34,0,0,0,6,4,0,0,3,0,15,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,3,8,21,102,54,37,79,108,37,75,6,520
201011008,53,92,187,145,480,322,49,78,19,1430,63,69,105,127,569,566,141,152,19,1817,43,30,55,71,341,412,136,191,6,1287,41,30,39,49,205,313,90,173,5,941,28,10,20,26,133,214,99,155,3,699,43,17,28,26,159,297,167,320,10,1060,11,0,4,5,16,48,28,69,0,181,12,7,10,3,20,51,32,106,3,235,0,9,4,0,16,17,0,3,24,79,516,1384,1052,676,2274,2445,776,1333,156,10619
201011481,20,31,73,77,101,52,14,13,3,383,19,30,51,60,100,100,24,34,4,427,10,20,20,30,77,67,14,30,5,280,8,7,6,17,51,40,8,35,5,179,5,5,10,8,33,24,15,20,0,119,9,4,6,3,27,57,24,54,0,194,4,0,0,0,0,11,3,16,0,33,0,5,0,0,3,5,0,10,0,28,0,5,9,0,0,6,0,4,6,31,166,506,425,290,481,435,124,246,43,2712
201011482,12,29,41,43,89,51,8,21,11,296,9,25,41,37,89,75,14,21,3,310,9,14,20,19,52,81,20,14,6,235,9,10,11,18,59,71,16,38,5,225,5,3,9,7,28,39,20,23,0,135,16,10,4,9,31,55,26,44,4,188,3,7,0,0,7,11,11,14,0,58,0,5,3,6,5,15,12,19,0,62,0,0,0,0,3,4,0,0,5,15,124,440,302,221,424,451,136,228,43,2365
201011483,17,36,53,68,103,49,3,19,3,352,17,38,46,43,104,84,21,28,3,376,0,12,26,23,76,79,22,43,3,280,7,13,8,20,53,58,17,52,0,229,5,7,8,4,25,46,24,45,0,163,14,3,0,3,43,56,23,99,0,244,5,0,3,0,6,10,5,19,0,51,0,0,5,0,3,8,3,19,0,46,3,0,0,0,0,0,4,5,9,27,181,510,369,254,494,453,136,350,51,2793
201011484,19,36,52,73,137,78,14,16,9,425,20,22,51,47,128,87,21,32,6,418,14,7,14,28,66,59,17,28,3,232,10,6,22,13,46,52,25,27,0,197,3,0,6,12,21,36,10,38,0,122,6,0,9,3,34,41,20,39,0,154,0,3,0,5,5,3,0,14,0,28,3,5,0,0,8,0,0,10,0,29,0,7,3,5,8,6,0,0,20,46,154,753,459,327,592,433,125,234,59,3148
