POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
201011001,9,34,24,12,34,24,10,22,0,164,5,22,9,4,35,24,5,16,26,142,193,692,539,387,823,752,236,474,48,4135
201011002,30,91,88,34,93,79,21,25,9,469,27,66,39,33,79,67,11,32,139,497,1309,3229,2992,2263,4259,3482,944,1523,274,20261
201011005,5,11,0,3,12,7,0,4,0,44,7,12,3,4,9,9,6,6,24,73,173,349,319,250,626,599,236,275,51,2874
201011006,11,26,32,8,53,63,24,47,0,266,8,19,27,14,46,53,22,35,22,243,195,664,516,333,935,1036,306,559,69,4617
201011007,6,8,0,0,6,0,0,3,0,36,0,0,0,0,0,3,0,0,7,16,21,102,54,37,79,108,37,75,6,520
201011008,24,62,41,26,93,86,21,50,0,397,24,47,21,13,102,106,28,66,62,475,516,1384,1052,676,2274,2445,776,1333,156,10619
201011481,10,25,8,16,28,29,7,17,3,141,3,12,0,5,18,19,8,6,16,91,166,506,425,290,481,435,124,246,43,2712
201011482,5,19,24,18,24,12,7,13,6,125,0,9,8,7,4,8,0,3,12,61,124,440,302,221,424,451,136,228,43,2365
201011483,15,18,14,13,29,14,6,18,0,123,0,15,5,6,12,12,3,3,20,87,181,510,369,254,494,453,136,350,51,2793
201011484,9,24,28,21,48,28,3,9,3,172,8,19,8,13,13,15,0,5,31,110,154,753,459,327,592,433,125,234,59,3148
201021009,0,8,9,5,7,13,12,10,0,66,4,10,15,4,7,30,0,7,12,94,107,373,246,163,274,374,83,230,43,1882
201021010,21,15,21,12,18,11,7,11,0,122,3,18,6,3,16,10,4,12,13,91,119,345,282,205,316,329,89,327,40,2051
201021011,6,32,19,11,16,13,5,11,0,123,5,31,16,8,19,22,5,16,26,147,264,839,577,356,470,536,180,410,60,3694
201021012,0,12,3,0,4,4,0,6,0,36,3,12,4,4,3,0,5,14,6,47,61,187,136,69,107,191,73,279,27,1138
201031013,0,5,0,0,0,5,0,3,0,15,0,0,3,0,5,5,3,3,15,34,35,131,113,92,118,163,51,188,25,922
201031014,0,8,5,0,6,4,4,10,0,46,0,8,0,0,4,8,5,4,14,52,60,181,119,110,195,314,75,227,37,1327
201031015,0,6,7,0,5,3,0,3,0,25,4,0,0,0,8,8,0,4,4,34,29,114,66,50,105,140,46,124,13,675
