POW_SA2_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
201011001,9,20,23,13,8,9,0,5,0,94,4,16,7,6,4,3,6,4,0,43,0,6,0,0,0,0,0,0,0,9,193,692,539,387,823,752,236,474,48,4135
201011002,53,148,103,63,96,78,18,46,6,612,17,54,43,13,22,15,11,9,5,183,12,30,10,3,12,0,0,0,5,78,1309,3229,2992,2263,4259,3482,944,1523,274,20261
201011005,3,29,5,12,12,11,3,17,3,94,5,9,9,4,0,0,0,0,4,30,0,0,0,3,0,0,0,0,0,8,173,349,319,250,626,599,236,275,51,2874
201011006,3,37,12,17,17,17,3,11,0,122,3,27,3,7,0,6,0,7,0,57,3,9,3,0,0,0,0,0,0,14,195,664,516,333,935,1036,306,559,69,4617
201011007,0,8,0,0,0,5,0,0,3,20,5,4,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0,4,21,102,54,37,79,108,37,75,6,520
201011008,32,64,48,19,53,45,14,29,8,310,10,32,20,3,9,10,0,6,3,101,6,19,0,0,5,3,0,3,0,34,516,1384,1052,676,2274,2445,776,1333,156,10619
201011481,6,25,27,9,5,5,7,10,0,88,4,15,8,7,0,0,0,0,0,38,0,6,4,4,0,0,0,0,3,16,166,506,425,290,481,435,124,246,43,2712
201011482,7,25,15,6,11,10,3,9,0,88,0,17,7,3,4,4,0,5,0,38,0,8,5,3,0,3,0,0,3,17,124,440,302,221,424,451,136,228,43,2365
201011483,8,31,13,11,8,4,4,6,0,81,0,12,3,0,10,0,0,3,5,28,0,4,0,0,0,0,0,0,5,16,181,510,369,254,494,453,136,350,51,2793
201011484,9,29,15,7,15,6,0,10,0,99,0,14,7,3,4,0,0,0,0,34,0,0,3,0,4,0,0,0,0,12,154,753,459,327,592,433,125,234,59,3148
201021009,6,17,13,11,9,8,4,16,4,79,0,17,10,0,0,5,0,0,0,37,0,3,14,5,0,3,0,4,0,32,107,373,246,163,274,374,83,230,43,1882
201021010,5,25,11,15,9,9,4,20,0,95,0,22,7,4,3,8,0,9,0,54,0,9,7,6,4,4,3,13,7,50,119,345,282,205,316,329,89,327,40,2051
201021011,15,69,41,11,12,31,8,17,0,209,5,47,15,10,6,12,0,16,0,115,5,15,17,6,4,5,5,9,4,73,264,839,577,356,470,536,180,410,60,3694
201021012,3,14,8,10,8,3,0,7,0,52,0,8,6,0,0,3,0,13,4,38,0,6,14,3,0,4,3,9,4,44,61,187,136,69,107,191,73,279,27,1138
201031013,8,17,3,6,3,11,0,20,0,61,4,4,10,3,4,5,3,4,4,41,0,10,8,8,0,0,0,3,0,35,35,131,113,92,118,163,51,188,25,922
201031014,4,22,9,6,3,18,0,12,5,83,0,8,10,6,4,3,0,15,3,47,0,11,0,0,0,4,0,0,0,23,60,181,119,110,195,314,75,227,37,1327
201031015,5,15,3,10,0,6,0,5,0,43,0,5,0,0,0,0,0,8,0,16,0,4,7,0,0,4,0,8,0,26,29,114,66,50,105,140,46,124,13,675
201031016,18,42,22,25,23,12,13,14,0,163,3,24,5,3,0,4,3,11,0,58,0,8,0,0,0,4,0,0,4,28,230,660,462,404,762,544,152,287,85,3582
