POW_SA2_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
201011001,25,3,8,18,32,21,16,0,0,130,4,0,0,0,0,0,4,0,0,10,6,0,0,0,3,4,0,0,0,20,0,0,7,0,3,5,5,0,0,15,89,9,39,51,97,89,115,0,7,498
201011002,258,46,68,141,288,239,178,3,9,1229,3,0,0,0,7,0,0,0,0,16,13,0,0,4,15,11,17,0,0,57,15,0,7,12,15,16,15,0,6,82,654,105,166,282,563,505,483,9,33,2798
201011005,23,0,6,8,7,7,4,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,3,13,147,25,35,54,81,65,52,0,8,472
201011006,15,3,0,17,19,42,48,0,0,137,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8,3,5,0,0,25,5,0,5,4,6,3,12,0,0,37,120,15,20,43,87,88,149,4,3,526
201011007,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,4,4,9,0,7,0,0,43
201011008,30,3,5,17,18,40,23,0,0,134,4,0,0,4,0,12,17,0,0,43,7,4,3,4,8,19,20,0,0,69,22,6,4,3,7,17,7,0,0,63,319,41,72,124,195,232,242,0,13,1246
201011481,34,0,0,10,29,25,44,0,4,143,8,0,3,0,3,3,0,0,0,17,6,0,0,0,9,0,4,0,0,21,0,0,0,0,3,0,4,0,0,11,99,10,11,22,72,56,87,0,7,370
201011482,14,7,3,0,3,4,5,0,0,41,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,7,64,9,21,14,45,46,55,0,4,256
201011483,18,0,0,5,13,15,45,0,0,105,8,0,3,6,5,4,0,0,0,29,8,0,0,7,8,0,0,0,0,19,0,0,3,0,0,3,0,0,0,9,86,17,22,40,72,63,110,3,6,419
201011484,11,3,8,9,19,25,15,0,4,87,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,9,3,0,0,0,0,0,3,0,3,15,70,8,24,29,57,55,69,0,6,313
