POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
201011001,8,0,0,0,0,11,20,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,15,7,0,5,0,0,14,0,0,0,0,0,0,6,0,0,0,0,0,61,3,3,0,0,73,3,0,0,0,0,4,8,0,0,0,0,9,49,4,3,0,5,60,17,0,0,0,0,19,3433,319,287,64,29,4135
201011002,30,0,0,0,0,36,137,0,0,3,0,140,13,0,0,0,0,10,18,0,3,0,0,21,54,4,7,0,0,60,64,0,5,0,0,70,15,3,0,0,0,12,44,4,3,0,0,47,516,26,23,4,0,560,54,5,0,0,0,67,54,6,3,0,0,72,291,23,14,4,0,338,101,5,6,0,0,120,18258,1018,741,125,119,20261
201011005,16,0,0,0,0,16,9,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,3,6,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,89,8,9,3,0,112,14,0,0,0,0,13,11,0,0,0,0,11,62,4,0,0,0,66,4,0,3,0,0,10,2534,138,161,29,15,2874
201011006,5,0,0,0,0,6,32,0,0,0,0,32,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6,83,9,5,0,0,93,0,0,0,0,0,0,3,4,0,0,0,4,50,0,4,0,0,61,25,0,0,4,4,36,3854,394,297,47,24,4617
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,299,83,107,34,5,520
201011008,10,0,0,0,0,14,81,0,0,0,0,86,5,0,0,0,0,5,7,0,0,0,0,6,22,0,0,0,0,29,31,5,0,0,0,39,8,3,0,0,0,11,11,0,0,0,0,12,212,9,12,0,0,233,19,0,0,0,0,23,22,0,3,0,0,28,127,5,10,0,0,138,72,4,0,0,4,84,9506,554,386,99,77,10619
201011481,4,0,0,0,0,3,32,0,0,0,0,37,0,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,5,0,0,0,0,7,3,0,0,0,0,3,4,0,0,0,0,4,52,3,16,0,0,63,7,0,4,0,0,6,7,0,0,0,0,14,38,4,6,0,0,51,15,3,0,0,0,17,2221,193,231,39,23,2712
201011482,3,0,0,0,0,3,6,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,7,38,8,4,0,0,53,6,0,0,0,0,5,0,0,0,0,0,0,20,0,8,0,0,31,11,3,0,0,0,14,1746,249,288,59,15,2365
201011483,4,4,0,0,0,6,27,0,0,0,0,26,0,0,0,0,0,0,8,0,0,0,0,8,7,0,0,0,0,9,12,0,0,0,0,12,6,0,0,0,0,7,7,0,6,0,0,13,55,5,15,3,0,76,6,0,0,0,0,7,4,0,0,0,0,4,30,0,5,3,0,39,20,0,0,0,0,20,2309,176,234,46,20,2793
201011484,4,4,0,0,0,10,22,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,5,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,33,0,4,0,0,37,6,0,0,0,0,4,3,0,0,0,0,3,35,4,4,4,0,45,23,3,0,0,0,28,2747,152,179,36,32,3148
