POW_SA2_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
201011001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,24,3,4,0,4,0,0,0,24,17,68,160,139,91,28,4,509,135,83,73,58,58,16,0,425,5,3,5,4,4,0,0,21,772,921,865,843,581,136,9,4135
201011002,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,29,19,9,0,0,0,0,72,27,28,7,6,3,0,0,75,107,548,815,789,485,122,18,2871,708,666,537,419,403,125,16,2875,22,24,3,9,18,7,10,106,3181,4511,4236,4143,3323,795,78,20261
201011005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,50,213,302,269,191,60,4,1085,48,98,71,66,50,18,0,360,5,3,7,0,0,0,0,12,295,672,688,621,463,125,8,2874
201011006,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,14,3,0,0,5,0,0,25,14,3,0,0,5,0,0,27,3,45,44,56,47,18,0,219,174,87,44,49,56,13,4,427,4,3,4,0,4,0,0,21,936,1061,841,886,700,179,14,4617
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,29,33,20,12,4,116,11,5,7,4,4,6,0,41,0,0,0,0,0,0,0,3,63,121,120,111,70,29,4,520
201011008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,8,4,0,0,0,28,7,13,12,4,0,0,0,28,26,171,299,267,143,50,0,956,283,169,151,181,163,52,6,1001,9,10,8,8,20,12,0,61,1729,2179,2146,2293,1824,404,34,10619
201011481,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,4,5,5,0,0,0,0,15,3,6,5,8,0,0,0,17,9,59,81,90,55,34,5,330,93,68,51,39,60,13,0,327,0,0,3,3,3,3,0,18,483,585,503,528,469,131,16,2712
201011482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,5,0,0,0,15,6,4,0,5,0,0,0,14,11,69,107,130,104,51,15,486,55,41,49,42,45,18,0,245,7,0,0,0,0,0,0,13,349,431,454,507,480,130,17,2365
201011483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,8,9,5,0,0,0,0,0,13,4,56,93,88,57,20,9,333,77,83,60,53,58,16,0,350,0,3,0,4,0,0,3,15,445,604,616,564,432,110,16,2793
201011484,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,29,5,5,11,5,0,0,0,31,6,43,66,45,39,15,5,212,186,88,51,51,66,20,4,465,10,8,0,0,0,0,0,22,797,642,520,566,480,127,12,3148
