POW_SA2_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
201011001,0,0,0,32,5,37,0,0,0,6,0,6,0,0,0,5,0,5,37,5,45,9,0,9,0,0,0,0,0,0,6,0,6,5,0,5,35,5,41,61,5,66,38,13,50,112,69,187,6,4,8,3,0,3,8,0,8,0,0,0,20,6,26,0,0,0,0,0,0,0,0,0,11,6,16,9,0,8,12,0,15,32,7,43,30,4,37,17,6,23,304,115,413,0,0,0,3,0,3,0,0,0,3,0,3,9,5,10,9,5,14,18,5,23,214,89,300,25,6,27,335,61,397,592,155,746,0,0,0,103,30,132,18,3,19,0,0,3,7,3,10,0,0,3,5,0,7,129,42,167,6,5,10,3,3,9,6,13,18,74,118,194,50,79,126,0,3,3,136,221,355,0,0,0,10,16,30,125,131,261,137,150,289,6,0,6,29,8,34,19,0,21,0,0,0,0,0,0,0,0
201011002,4,0,4,14,7,22,0,0,0,0,0,0,3,0,3,0,6,6,19,13,33,4,0,4,0,0,0,0,0,0,6,4,7,0,0,0,5,0,6,14,4,15,9,5,12,82,115,202,4,0,4,0,5,5,10,0,13,0,0,0,7,4,11,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,10,0,10,17,5,22,5,11,16,7,5,6,164,150,317,0,0,0,11,0,11,0,0,0,0,0,5,3,4,11,20,5,23,12,0,14,162,43,204,14,0,14,186,33,226,375,85,458,0,0,0,73,19,93,24,12,36,21,9,26,4,4,3,4,14,15,0,0,0,126,55,180,19,39,53,97,42,139,6,0,11,224,300,523,457,997,1460,0,0,0,804,1379,2186,0,0,3,50,81,128,728,906,1641,782,987,1772,0,0,0,17,5,18,10,0,13,0,0,0,0,0,0,0,0
201011005,0,0,0,9,12,23,0,0,0,0,0,0,0,0,0,9,0,7,24,10,37,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,4,0,4,4,3,13,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,15,10,22,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,4,0,4,28,3,29,11,3,12,90,4,99,126,15,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,9,9,29,24,52,16,21,31,0,0,0,43,58,99,0,0,0,11,8,18,18,43,57,28,51,77,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
201011006,4,0,4,30,18,46,0,0,0,10,0,3,0,0,0,21,0,21,65,18,78,7,3,8,0,0,0,0,0,0,10,0,10,12,3,14,5,0,5,36,3,37,48,12,56,67,42,112,0,0,0,4,5,5,10,0,10,0,0,0,0,4,4,0,0,0,7,6,7,9,0,9,15,0,20,45,9,54,29,7,37,123,26,149,17,11,27,28,7,34,402,124,528,0,0,0,4,0,4,0,0,0,3,0,3,18,3,24,29,3,38,50,3,47,131,27,162,82,9,96,477,49,520,737,88,830,5,0,4,55,22,82,46,12,59,13,3,19,23,8,32,4,0,8,5,0,9,154,47,208,21,16,41,31,12,46,16,23,32,84,96,181,197,233,431,0,0,0,354,374,731,0,0,0,7,6,10,96,125,218,100,128,233,12,0,15,213,35,247,3,0,3,0,0,0,0,0,0,0,0
201011007,0,0,0,17,15,32,0,0,0,0,0,3,0,0,0,6,4,7,24,24,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,5,5,7,0,7,27,4,36,15,0,13,88,15,102,133,22,162,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,11,15,0,0,0,5,9,19,0,0,0,0,0,0,0,8,14,0,8,14,0,0,0,11,9,23,0,0,0,0,0,0,0,0,0,0,0
201011008,0,0,0,72,33,105,0,0,0,16,7,23,0,0,0,44,13,57,132,49,183,3,0,3,3,0,3,0,0,0,5,0,5,5,7,16,24,14,41,46,15,68,128,33,159,556,296,852,15,0,21,59,23,75,134,10,144,3,0,3,17,6,24,0,0,0,7,0,9,85,38,126,62,3,67,60,7,75,80,9,88,473,54,527,114,18,132,13,3,19,1810,507,2316,0,0,0,114,35,146,4,0,4,116,78,191,54,7,56,284,118,406,69,12,78,315,48,360,118,15,132,604,67,678,1106,144,1252,8,4,14,53,23,72,52,10,63,21,0,21,43,17,52,9,5,12,0,0,4,182,59,242,22,4,27,154,55,206,14,4,23,123,160,293,211,440,653,0,0,0,538,669,1205,0,0,0,0,3,0,171,236,403,172,236,407,34,10,39,282,32,310,16,3,16,6,0,6,14,3,16,0,0
201011481,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,6,0,10,14,3,17,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,6,7,0,16,8,29,35,0,0,0,8,6,14,13,0,8,0,0,0,0,3,5,0,0,0,0,0,0,5,4,10,6,0,6,11,0,14,4,3,4,37,3,39,3,0,3,7,0,6,109,55,162,0,0,0,7,4,8,0,0,0,0,0,3,0,0,0,9,3,13,9,0,10,36,9,49,31,0,30,161,19,181,243,32,273,0,0,0,8,0,10,4,0,8,11,0,17,8,6,14,3,0,3,0,0,0,28,11,41,5,0,4,26,12,36,12,18,25,68,91,161,42,40,86,4,0,3,152,162,312,0,0,0,4,24,27,90,83,171,97,105,207,0,0,0,18,0,19,30,0,29,0,0,0,0,0,0,0,0
201011482,0,0,0,10,8,21,0,0,0,3,0,3,0,0,0,6,0,3,16,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,8,10,17,5,0,4,0,5,5,4,0,6,0,0,0,4,0,6,0,0,0,0,0,3,0,0,0,68,11,78,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,106,37,143,0,0,0,0,0,0,0,0,0,8,0,8,5,0,5,19,0,19,8,5,12,56,12,69,13,0,17,157,34,192,239,50,288,0,0,0,3,0,4,10,4,13,0,0,0,0,0,4,0,0,5,0,0,0,13,12,25,0,6,4,0,0,0,10,8,14,39,31,73,37,76,109,0,0,0,91,118,203,0,0,0,12,19,30,76,94,169,85,118,203,4,0,4,118,17,140,60,18,76,0,0,0,0,0,0,0,0
201011483,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0,8,4,0,8,0,0,0,0,0,0,160,19,178,0,0,0,20,0,20,191,18,206,13,0,13,26,24,54,8,0,10,3,13,21,16,3,16,0,0,0,0,0,7,0,0,0,0,0,0,0,3,5,5,0,5,9,0,5,12,0,12,6,0,4,0,0,5,28,0,34,131,51,183,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,9,0,14,33,11,44,10,0,11,168,21,188,227,34,261,0,0,0,5,4,10,0,0,0,11,0,8,0,4,3,15,3,22,0,3,3,28,13,47,0,0,3,4,0,4,3,9,14,46,59,101,32,30,62,0,0,0,86,104,189,0,0,0,38,72,108,103,113,215,140,183,322,0,0,0,16,5,18,0,0,0,0,0,0,0,0,0,0,0
201011484,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,7,0,6,9,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,12,15,22,35,0,0,0,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,7,4,0,4,6,0,8,4,4,5,4,0,4,4,4,3,59,41,99,0,0,0,0,3,3,0,0,0,0,0,0,5,3,4,5,3,10,7,0,7,28,7,31,11,0,11,182,16,200,231,19,248,0,0,0,48,4,52,6,0,3,0,0,0,14,22,34,5,4,4,0,0,0,65,32,98,3,3,4,52,10,61,26,24,45,141,178,315,40,68,115,3,0,3,260,287,547,0,0,0,16,17,37,224,251,470,241,269,508,0,0,0,36,6,45,0,0,0,0,0,0,0,0,0,0,0
