POW_SA2_CODE_2021,Mng_NNI_A_15_19,Mng_NNI_A_20_24,Mng_NNI_A_25_34,Mng_NNI_A_35_44,Mng_NNI_A_45_54,Mng_NNI_A_55_64,Mng_NNI_A_65_74,Mng_NNI_A_75ov,Mng_NNI_Tot,Mng_1_149_A_15_19,Mng_1_149_A_20_24,Mng_1_149_A_25_34,Mng_1_149_A_35_44,Mng_1_149_A_45_54,Mng_1_149_A_55_64,Mng_1_149_A_65_74,Mng_1_149_A_75ov,Mng_1_149_Tot,Mng_150_299_A_15_19,Mng_150_299_A_20_24,Mng_150_299_A_25_34,Mng_150_299_A_35_44,Mng_150_299_A_45_54,Mng_150_299_A_55_64,Mng_150_299_A_65_74,Mng_150_299_A_75ov,Mng_150_299_Tot,Mng_300_399_A_15_19,Mng_300_399_A_20_24,Mng_300_399_A_25_34,Mng_300_399_A_35_44,Mng_300_399_A_45_54,Mng_300_399_A_55_64,Mng_300_399_A_65_74,Mng_300_399_A_75ov,Mng_300_399_Tot,Mng_400_499_A_15_19,Mng_400_499_A_20_24,Mng_400_499_A_25_34,Mng_400_499_A_35_44,Mng_400_499_A_45_54,Mng_400_499_A_55_64,Mng_400_499_A_65_74,Mng_400_499_A_75ov,Mng_400_499_Tot,Mng_500_649_A_15_19,Mng_500_649_A_20_24,Mng_500_649_A_25_34,Mng_500_649_A_35_44,Mng_500_649_A_45_54,Mng_500_649_A_55_64,Mng_500_649_A_65_74,Mng_500_649_A_75ov,Mng_500_649_Tot,Mng_650_799_A_15_19,Mng_650_799_A_20_24,Mng_650_799_A_25_34,Mng_650_799_A_35_44,Mng_650_799_A_45_54,Mng_650_799_A_55_64,Mng_650_799_A_65_74,Mng_650_799_A_75ov,Mng_650_799_Tot,Mng_800_999_A_15_19,Mng_800_999_A_20_24,Mng_800_999_A_25_34,Mng_800_999_A_35_44,Mng_800_999_A_45_54,Mng_800_999_A_55_64,Mng_800_999_A_65_74,Mng_800_999_A_75ov,Mng_800_999_Tot,Mng_1000_1249_A_15_19,Mng_1000_1249_A_20_24,Mng_1000_1249_A_25_34,Mng_1000_1249_A_35_44,Mng_1000_1249_A_45_54,Mng_1000_1249_A_55_64,Mng_1000_1249_A_65_74,Mng_1000_1249_A_75ov,Mng_1000_1249_Tot,Mng_1250_1499_A_15_19,Mng_1250_1499_A_20_24,Mng_1250_1499_A_25_34,Mng_1250_1499_A_35_44,Mng_1250_1499_A_45_54,Mng_1250_1499_A_55_64,Mng_1250_1499_A_65_74,Mng_1250_1499_A_75ov,Mng_1250_1499_Tot,Mng_1500_1749_A_15_19,Mng_1500_1749_A_20_24,Mng_1500_1749_A_25_34,Mng_1500_1749_A_35_44,Mng_1500_1749_A_45_54,Mng_1500_1749_A_55_64,Mng_1500_1749_A_65_74,Mng_1500_1749_A_75ov,Mng_1500_1749_Tot,Mng_1750_1999_A_15_19,Mng_1750_1999_A_20_24,Mng_1750_1999_A_25_34,Mng_1750_1999_A_35_44,Mng_1750_1999_A_45_54,Mng_1750_1999_A_55_64,Mng_1750_1999_A_65_74,Mng_1750_1999_A_75ov,Mng_1750_1999_Tot,Mng_2000_2999_A_15_19,Mng_2000_2999_A_20_24,Mng_2000_2999_A_25_34,Mng_2000_2999_A_35_44,Mng_2000_2999_A_45_54,Mng_2000_2999_A_55_64,Mng_2000_2999_A_65_74,Mng_2000_2999_A_75ov,Mng_2000_2999_Tot,Mng_3000_3499_A_15_19,Mng_3000_3499_A_20_24,Mng_3000_3499_A_25_34,Mng_3000_3499_A_35_44,Mng_3000_3499_A_45_54,Mng_3000_3499_A_55_64,Mng_3000_3499_A_65_74,Mng_3000_3499_A_75ov,Mng_3000_3499_Tot,Mng_3500mo_A_15_19,Mng_3500mo_A_20_24,Mng_3500mo_A_25_34,Mng_3500mo_A_35_44,Mng_3500mo_A_45_54,Mng_3500mo_A_55_64,Mng_3500mo_A_65_74,Mng_3500mo_A_75ov,Mng_3500mo_Tot,Mng_PINS_A_15_19,Mng_PINS_A_20_24,Mng_PINS_A_25_34,Mng_PINS_A_35_44,Mng_PINS_A_45_54,Mng_PINS_A_55_64,Mng_PINS_A_65_74,Mng_PINS_A_75ov,Mng_PINS_Tot,Mng_Tot_A_15_19,Mng_Tot_A_20_24,Mng_Tot_A_25_34,Mng_Tot_A_35_44,Mng_Tot_A_45_54,Mng_Tot_A_55_64,Mng_Tot_A_65_74,Mng_Tot_A_75ov,Mng_Tot_Tot,Pro_NNI_A_15_19,Pro_NNI_A_20_24,Pro_NNI_A_25_34,Pro_NNI_A_35_44,Pro_NNI_A_45_54,Pro_NNI_A_55_64,Pro_NNI_A_65_74,Pro_NNI_A_75ov,Pro_NNI_Tot,Pro_1_149_A_15_19,Pro_1_149_A_20_24,Pro_1_149_A_25_34,Pro_1_149_A_35_44,Pro_1_149_A_45_54,Pro_1_149_A_55_64,Pro_1_149_A_65_74,Pro_1_149_A_75ov,Pro_1_149_Tot,Pro_150_299_A_15_19,Pro_150_299_A_20_24,Pro_150_299_A_25_34,Pro_150_299_A_35_44,Pro_150_299_A_45_54,Pro_150_299_A_55_64,Pro_150_299_A_65_74,Pro_150_299_A_75ov,Pro_150_299_Tot,Pro_300_399_A_15_19,Pro_300_399_A_20_24,Pro_300_399_A_25_34,Pro_300_399_A_35_44,Pro_300_399_A_45_54,Pro_300_399_A_55_64,Pro_300_399_A_65_74,Pro_300_399_A_75ov,Pro_300_399_Tot,Pro_400_499_A_15_19,Pro_400_499_A_20_24,Pro_400_499_A_25_34,Pro_400_499_A_35_44,Pro_400_499_A_45_54,Pro_400_499_A_55_64,Pro_400_499_A_65_74,Pro_400_499_A_75ov,Pro_400_499_Tot,Pro_500_649_A_15_19,Pro_500_649_A_20_24
201011001,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,4,3,0,0,0,0,9,0,0,3,3,3,3,0,0,21,0,7,13,9,4,6,0,0,40,0,4,17,12,18,8,4,0,58,0,5,7,11,17,6,0,0,45,0,0,7,18,18,11,4,0,61,0,0,14,11,13,9,0,0,50,0,0,16,22,29,28,8,0,105,0,0,4,10,6,6,0,0,28,0,0,3,8,17,5,4,0,37,0,0,0,0,0,0,0,0,0,11,25,93,109,134,84,21,4,482,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,8,0,0,0,5,0,4,0,0,8,0,0,13,4,8,0,0,0,24,0,0
201011002,0,0,0,4,3,4,0,0,6,4,0,0,0,0,7,0,0,5,0,3,0,4,0,0,4,0,14,0,4,0,5,0,3,4,0,19,0,4,6,6,7,4,3,0,35,0,5,13,5,14,10,5,0,64,0,15,29,14,25,13,13,0,105,4,19,45,32,32,27,8,0,171,0,19,50,58,39,43,3,0,224,0,8,46,40,44,29,10,0,170,0,4,30,49,63,40,6,0,197,0,4,33,47,52,35,4,5,180,0,0,30,110,134,80,9,0,365,0,0,0,22,35,28,0,0,84,0,0,3,32,71,41,7,6,161,0,0,0,0,3,6,0,0,17,18,87,302,427,536,361,79,12,1822,0,0,0,0,0,4,0,0,6,3,9,0,0,6,3,0,0,30,12,0,14,4,8,8,8,4,51,0,5,16,17,8,5,4,0,48,4,8,17,18,18,11,7,0,85,4,13
201011005,0,0,0,6,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,6,0,0,0,4,0,0,7,0,0,0,0,0,0,4,0,8,0,3,5,0,5,0,0,0,18,0,8,3,3,6,0,0,0,19,0,4,5,7,5,4,0,0,26,0,0,9,9,11,3,0,0,34,0,0,7,12,10,6,0,0,34,0,0,6,28,31,22,3,0,89,0,0,0,7,13,5,0,0,29,0,0,0,4,20,13,4,0,42,0,0,0,0,0,0,6,0,5,0,20,33,73,93,68,21,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,7,0,4,5,0,4,0,0,0,14,0,0,3,0,4,0,0,0,13,0,4
201011006,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,0,5,0,0,3,0,0,0,6,0,3,0,4,4,0,0,3,12,0,6,9,4,6,4,0,0,21,0,12,13,7,10,4,0,0,54,0,4,30,22,26,14,4,0,97,0,0,14,22,16,6,4,0,65,0,0,10,17,13,9,0,0,53,0,0,8,11,14,5,0,0,44,0,0,8,11,26,14,4,0,60,0,0,4,5,7,4,0,0,17,0,0,0,7,12,7,5,0,29,0,0,0,0,0,0,0,0,4,5,28,95,114,138,75,29,0,483,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,10,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,7,0,0
201011007,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,5,0,13,0,3,5,0,3,0,0,0,12,0,0,0,6,3,3,0,0,12,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,11,0,0,0,0,5,0,0,0,6,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,0,0,5,0,0,8,15,24,14,6,7,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
201011008,0,0,0,0,4,4,0,0,8,0,0,0,0,0,0,0,0,9,0,0,6,3,0,0,0,0,13,0,0,4,3,0,4,3,0,12,0,0,4,4,4,3,0,0,14,0,3,4,5,0,5,0,0,30,0,11,12,11,3,12,4,0,51,0,11,24,17,17,7,6,0,84,0,12,36,42,31,28,7,0,157,0,8,35,47,40,29,8,0,172,0,4,25,42,45,26,8,0,151,0,0,23,31,43,25,0,0,125,0,3,41,69,101,66,12,0,300,0,0,4,22,42,11,0,0,81,0,0,5,38,49,28,9,4,124,0,0,0,0,0,0,0,0,0,9,54,218,340,388,251,57,10,1324,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,6,0,0,5,5,6,0,0,0,15,0,4,0,7,3,0,4,0,16,0,0
201011481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,0,0,3,0,0,0,0,0,4,0,0,13,0,0,6,7,5,3,4,0,11,0,0,0,7,3,0,0,4,18,0,0,9,10,0,3,4,0,30,0,0,12,8,8,8,0,0,41,0,0,10,5,9,3,5,0,36,0,0,0,3,7,5,0,0,15,0,0,0,4,9,3,0,0,18,0,0,6,19,13,23,0,0,59,0,0,0,5,4,0,0,0,19,0,0,0,0,3,3,0,0,7,0,0,0,0,0,5,0,0,3,0,0,50,70,72,59,25,3,285,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,3,6,0,0,5,4,0,13,0,3,4,3,0,0,0,0,14,0,6,4,4,0,9,0,4,22,0,6
201011482,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,7,3,3,0,0,19,0,3,0,4,4,7,0,0,19,0,0,7,0,0,0,0,0,14,0,3,3,5,11,5,0,0,34,0,0,5,3,11,7,4,0,23,0,0,5,5,19,9,0,0,32,0,0,0,3,3,7,0,0,18,0,0,4,9,10,18,0,0,41,0,0,0,6,11,3,0,0,19,0,0,0,4,17,3,0,0,27,0,0,0,0,0,0,0,0,0,3,6,39,47,85,63,13,0,267,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,5,0,0,0,0,5,6,0,0,11,0,0,0,0,0,4,7,0,13,0,0,0,4,0,3,0,0,11,0,0
201011483,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,5,0,0,0,0,14,0,0,0,14,0,0,0,0,17,0,0,4,0,3,3,0,3,20,0,0,10,9,6,8,3,0,33,0,0,3,16,5,6,0,0,35,0,0,13,12,12,5,3,0,33,0,0,3,7,4,9,0,0,18,0,0,6,15,14,6,0,0,40,0,0,0,4,7,3,0,0,13,0,0,0,4,3,4,0,0,11,0,0,0,0,0,0,0,0,3,5,5,43,87,55,52,10,5,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,4,5,0,0,0,0,15,0,0,0,0,3,9,0,0,13,0,4
201011484,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,4,6,0,0,3,0,3,0,5,13,3,0,0,4,10,0,0,0,18,0,5,5,6,0,4,0,0,24,4,0,15,6,8,6,0,0,35,0,5,12,13,9,7,0,0,50,0,0,6,10,6,3,0,0,31,0,0,7,4,7,4,4,0,32,0,0,0,5,3,4,0,0,18,0,0,3,14,11,10,0,0,39,0,0,0,0,7,5,0,0,15,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,16,22,61,68,65,47,10,3,290,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,0,0,10,0,0,3,3,0,3,0,0,11,0,0
