POW_SA2_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
201011001,61,0,0,61,0,67,0,7,0,6,0,0,0,0,60,0,0,60,0,69,0,12,0,11,12,0,0,13,29,0,0,29,0,49,0,10,0,14,23,4,0,29,0,0,0,0,0,44,19,37,0,52,72,12,0,86,4,7,0,7,0,146,9,27,0,36,26,21,0,51,0,5,0,5,0,85,10,56,0,62,16,44,0,66,3,17,0,24,7,165,36,143,0,179,157,85,0,240,206,27,0,238,11,669
201011002,214,0,0,214,3,216,4,5,0,5,0,0,0,0,220,0,0,220,0,227,4,16,0,18,57,0,0,62,80,0,0,83,0,163,12,26,0,38,135,10,0,146,0,3,0,0,0,190,62,66,0,127,516,113,4,634,10,14,0,27,10,789,33,61,0,100,141,138,0,287,6,26,0,28,7,416,45,241,5,287,129,472,0,599,24,96,0,116,30,1037,162,424,5,583,986,734,4,1723,673,137,0,818,48,3175
201011005,18,0,0,18,0,16,0,0,0,0,0,0,0,0,20,0,0,20,0,20,0,0,0,3,0,0,0,0,9,0,0,9,0,13,0,4,0,4,6,0,0,6,0,0,0,0,0,11,4,14,0,22,51,17,0,68,0,0,0,0,0,86,0,7,0,9,20,17,0,40,0,0,0,0,0,49,3,43,0,51,32,119,0,155,0,18,0,20,4,233,16,75,0,87,112,151,0,268,55,18,0,73,4,434
201011006,89,0,0,89,0,93,3,11,0,18,0,0,0,0,69,0,0,71,0,88,0,12,0,10,13,0,0,9,23,0,0,23,0,45,6,6,0,15,20,4,0,21,0,0,0,0,0,40,21,51,0,69,81,16,0,103,11,11,0,13,0,191,12,26,0,35,31,14,0,41,3,4,0,4,4,82,9,52,0,62,21,38,0,58,5,20,0,24,12,149,50,158,3,211,163,74,0,238,233,34,0,269,17,734
201011007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,0,12,0,4,0,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,3,0,3,3,14,6,19,0,27,4,5,0,10,8,3,0,9,3,42
201011008,96,4,0,99,0,109,8,12,0,16,0,0,0,0,85,4,0,86,0,104,4,19,0,25,31,5,0,31,48,0,0,52,0,109,3,23,0,32,42,4,0,51,5,5,0,3,0,91,28,95,0,118,172,37,0,212,9,13,0,23,8,357,14,36,0,56,45,38,0,77,0,9,0,13,0,147,20,107,0,130,38,90,0,128,9,21,0,35,24,315,76,297,3,376,324,175,0,496,334,56,0,388,33,1301
201011481,30,0,0,29,0,31,0,6,0,6,0,0,0,0,33,0,0,33,0,35,6,8,0,8,13,0,0,13,11,0,0,11,0,36,0,7,0,8,15,0,0,23,0,0,0,0,0,23,12,17,0,32,80,10,0,92,0,0,0,4,0,128,9,11,0,22,23,24,0,43,0,4,0,6,0,67,10,34,0,51,20,37,0,64,3,12,0,16,9,132,37,85,0,123,156,73,0,231,100,17,0,114,11,479
201011482,38,0,0,38,0,38,4,0,0,4,0,0,0,0,25,0,0,25,0,30,0,0,0,3,0,0,0,0,10,0,0,10,0,20,0,7,0,7,13,0,0,15,0,0,0,0,0,20,5,18,0,24,35,11,0,40,3,0,0,5,0,71,3,6,0,13,11,7,0,18,0,0,0,0,0,26,4,41,0,45,5,22,0,29,8,11,0,19,7,94,13,78,0,93,67,39,0,101,99,12,0,114,5,318
201011483,13,0,0,13,0,14,0,0,0,0,0,0,0,0,31,0,0,31,0,38,0,6,0,6,7,0,0,10,11,0,0,17,0,22,4,7,0,13,15,0,0,16,0,0,0,0,0,28,10,22,0,33,75,5,0,79,0,0,0,4,3,114,11,11,0,20,10,13,0,24,5,6,0,8,0,47,12,24,0,42,13,48,0,64,0,6,0,6,3,120,31,77,0,115,116,68,0,186,83,12,0,97,5,398
201011484,101,0,0,101,0,107,3,3,0,7,0,0,0,0,77,0,0,77,0,83,5,9,0,12,9,3,0,10,29,0,0,29,0,50,4,6,0,11,13,5,0,21,4,0,0,4,0,31,12,21,0,33,83,11,0,97,5,3,0,6,0,127,7,6,0,16,18,9,0,22,0,0,0,0,0,42,5,28,0,34,12,30,0,48,0,5,0,9,9,104,41,74,0,111,129,62,0,191,272,11,0,285,15,609
201021009,26,0,0,26,0,26,0,0,0,8,0,0,0,0,23,0,0,24,0,27,0,10,0,9,9,0,0,7,17,0,0,17,0,30,6,0,0,3,7,0,0,7,0,0,0,0,0,15,7,14,0,17,26,10,0,36,0,0,0,4,0,53,0,0,0,4,12,3,0,18,0,0,0,0,0,23,3,22,0,29,6,21,0,28,0,10,0,11,5,75,22,45,0,67,57,34,0,89,81,10,0,97,6,262
201021010,20,0,0,20,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,21,3,0,0,0,0,0,0,0,10,0,0,10,0,16,0,0,0,3,6,5,0,12,0,0,0,0,0,16,4,9,0,15,27,0,0,24,0,0,0,0,0,38,0,6,0,6,12,6,0,20,0,0,0,0,0,23,7,25,0,31,8,20,0,30,0,8,0,12,3,81,18,45,0,67,54,31,0,83,59,10,0,67,3,222
201021011,33,0,0,33,0,33,0,3,0,3,0,0,0,0,31,0,0,31,0,32,4,5,0,8,0,0,0,5,10,0,0,10,0,26,0,3,0,3,7,0,0,8,0,0,0,0,0,17,7,20,0,24,32,7,0,37,5,3,0,3,0,68,13,15,0,33,12,7,0,16,3,3,0,7,0,58,10,48,0,59,13,54,0,70,4,20,0,25,18,169,39,97,0,136,69,65,0,138,119,30,0,140,18,430
201021012,10,0,0,10,0,10,0,0,0,0,0,0,0,0,9,0,0,9,0,14,0,3,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,8,0,0,0,0,0,7,6,5,0,7,6,0,0,10,0,0,0,0,0,23,0,4,0,4,4,0,0,4,0,0,0,0,0,4,0,9,0,11,0,11,0,17,0,0,0,4,3,33,8,23,0,31,18,9,0,33,30,5,0,30,3,103
201031013,3,0,0,3,0,5,0,0,0,0,0,0,0,0,9,0,0,9,0,9,0,0,0,0,0,0,0,0,3,0,0,3,0,8,0,0,0,4,3,0,0,0,0,0,0,0,0,6,0,4,0,4,4,0,0,4,0,0,0,0,0,13,0,0,0,0,0,3,0,3,0,6,0,6,0,5,0,11,0,11,4,9,0,9,0,4,0,4,6,34,0,17,0,19,12,7,0,25,18,6,0,29,6,81
201031014,5,0,0,5,0,5,0,0,0,0,0,0,0,0,12,0,0,12,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,3,0,14,0,0,0,0,0,16,4,0,0,3,0,4,0,5,0,0,0,0,0,9,0,17,0,17,4,21,0,23,0,6,0,6,8,56,3,24,0,28,16,23,0,39,31,6,0,37,11,114
201031015,4,0,0,4,0,8,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,9,0,12,0,0,0,0,4,20,0,15,0,20,5,14,0,19,17,0,0,19,4,61
201031016,45,0,0,45,0,48,0,0,0,0,0,0,0,0,49,0,0,49,0,52,0,0,0,0,0,0,0,6,26,0,0,26,0,27,4,7,0,9,11,0,0,16,0,0,0,0,0,23,7,19,0,31,33,9,0,43,0,0,0,0,9,78,3,6,0,14,5,9,0,10,0,3,0,3,0,26,6,29,0,37,19,54,0,71,4,12,0,14,29,153,27,68,0,92,70,76,0,145,153,15,0,169,39,444
201031017,5,0,0,5,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,4,0,0,0,0,0,10,0,3,0,3,0,0,0,5,0,0,0,0,0,7,3,11,0,18,0,4,0,4,0,0,0,3,3,28,3,24,0,32,11,8,0,15,11,0,0,14,3,60
202011018,199,0,0,199,0,209,0,8,0,16,0,0,0,0,223,0,0,221,0,238,18,23,0,44,42,4,0,47,108,3,0,114,3,202,20,35,0,53,99,11,0,111,4,0,0,4,0,164,75,132,0,201,440,107,0,549,14,28,0,41,12,800,38,73,0,112,105,129,0,235,14,24,0,32,4,388,78,272,0,352,116,485,0,606,16,93,0,113,44,1117,234,542,4,787,809,733,0,1541,733,154,0,881,70,3284
202011019,53,0,0,53,0,55,0,3,0,3,0,0,0,0,47,0,0,47,0,51,3,4,0,11,3,0,0,3,18,0,0,18,0,30,4,4,0,8,9,0,0,9,0,0,0,0,0,22,10,17,0,32,32,10,0,42,0,0,0,3,3,74,0,8,0,8,3,4,0,12,0,0,0,0,0,24,14,36,0,50,4,13,0,17,6,10,0,12,11,86,38,74,0,109,54,25,0,80,157,11,0,163,15,368
202011020,92,0,0,92,0,99,0,10,0,10,0,0,0,0,84,0,0,84,0,90,0,14,0,19,20,0,0,20,55,0,0,58,0,89,9,19,0,27,26,0,0,26,3,0,0,3,0,61,29,53,0,80,113,23,0,133,3,4,0,7,6,219,19,41,0,59,25,15,0,42,0,4,0,6,7,109,22,96,0,117,29,71,0,97,5,21,0,23,18,260,84,227,0,315,205,109,0,315,308,30,0,338,27,996
202011021,10,0,0,10,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,11,0,0,0,0,0,0,0,0,3,0,0,6,0,11,0,5,0,5,3,0,0,3,0,0,0,0,0,7,5,13,0,20,33,0,0,35,0,5,0,3,0,59,3,4,0,9,9,12,0,17,0,0,0,0,0,27,7,18,0,27,16,52,0,77,0,7,0,8,4,109,13,44,0,56,62,69,0,133,44,9,0,53,0,248
202011022,127,0,0,127,0,134,0,9,0,5,0,0,0,0,147,0,0,147,0,150,8,16,0,20,13,0,0,13,66,0,0,68,0,104,14,23,0,30,44,6,0,48,3,0,0,3,0,81,28,55,0,84,135,24,0,158,0,0,0,3,7,252,8,26,0,35,33,21,0,51,0,7,0,11,0,92,26,77,0,107,34,66,0,97,0,27,0,28,19,251,78,199,0,284,256,111,0,368,460,37,0,496,31,1173
202011023,11,0,0,11,0,11,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,3,0,3,0,0,0,0,4,0,0,4,0,3,5,0,0,7,8,0,0,8,0,0,0,0,0,14,5,6,0,12,12,7,0,18,0,0,0,0,0,32,0,0,0,3,4,5,0,7,0,0,0,0,0,12,0,12,0,12,5,8,0,12,0,3,0,3,0,30,10,32,0,41,23,17,0,42,22,6,0,26,0,107
202011024,17,0,0,21,0,21,0,0,0,0,0,0,0,0,18,0,0,18,0,20,0,0,0,0,0,0,0,0,8,0,0,8,0,9,5,8,0,11,5,5,0,7,0,0,0,0,0,17,5,8,0,15,16,4,0,22,0,0,0,0,0,41,0,9,0,10,3,0,0,11,0,0,0,0,0,18,0,19,0,24,7,16,0,26,0,3,0,3,0,53,16,51,0,66,28,35,0,64,65,8,0,70,0,200
202011025,38,0,0,38,0,34,0,3,0,3,0,0,0,0,59,0,0,59,0,60,4,9,0,13,4,0,0,4,24,0,0,24,0,47,7,17,0,21,17,0,0,12,0,0,0,0,0,42,21,32,0,54,52,21,0,67,3,6,0,10,0,130,7,21,0,28,12,11,0,20,0,5,0,5,0,51,13,43,0,55,14,32,0,42,5,17,0,18,11,129,47,123,0,173,92,60,0,154,148,21,0,174,14,510
202021026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,16,11,0,0,11,0,4,0,4,0,25,0,7,0,5,0,3,0,3,4,0,0,4,0,10,4,16,0,21,0,10,0,14,8,12,0,17,14,63,14,31,0,46,19,15,0,30,28,11,0,34,17,128
202021027,62,0,0,61,0,62,0,0,0,3,0,0,0,0,56,0,0,56,0,61,3,3,0,8,8,0,0,10,37,0,0,36,0,51,0,14,0,18,13,0,0,13,0,0,0,0,0,34,18,29,0,44,41,14,0,58,4,6,0,7,0,118,8,14,0,25,23,5,0,30,0,0,0,5,0,57,19,88,0,105,34,81,0,115,6,28,4,37,32,284,49,152,0,202,117,103,0,218,198,34,0,241,35,696
202021028,12,0,0,12,0,12,0,0,0,3,0,0,0,0,16,0,0,16,0,13,0,0,0,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,4,0,6,13,0,0,12,0,0,0,0,0,21,0,5,0,4,3,5,0,11,0,0,0,0,0,15,4,18,0,26,8,27,0,33,0,13,0,14,8,74,5,30,0,40,27,36,0,61,45,13,0,58,9,161
202021029,8,0,0,8,0,8,0,0,0,4,0,0,0,0,5,0,0,5,0,12,0,5,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,5,0,0,0,0,0,4,5,9,0,11,5,0,0,8,0,0,0,3,0,23,6,10,0,8,3,0,0,7,0,0,0,0,0,22,4,16,0,15,3,19,0,23,5,4,0,4,4,51,9,38,0,52,20,18,0,42,24,3,0,26,4,124
202021030,65,0,0,65,0,65,0,0,0,0,0,0,0,0,39,0,0,39,0,42,0,5,0,4,13,0,0,21,37,0,0,37,0,58,3,10,0,15,27,3,0,34,0,0,0,0,0,44,13,31,0,44,75,20,0,96,0,6,0,6,8,149,0,19,0,23,9,14,0,29,0,8,0,10,4,59,15,49,0,69,29,84,0,109,5,16,0,20,17,211,34,117,0,147,157,120,0,281,170,28,0,199,23,656
202021031,45,0,0,45,0,42,5,0,0,5,0,0,0,0,50,0,0,50,0,48,0,5,0,5,11,0,0,13,15,0,0,15,0,35,4,6,0,13,18,0,0,17,0,4,0,4,0,33,7,20,0,23,49,10,0,53,0,0,0,0,0,83,4,0,0,11,6,3,0,10,0,0,0,3,0,25,0,26,0,30,6,35,0,41,0,15,0,15,6,89,20,61,0,85,90,48,0,141,125,17,0,146,6,371
202031032,6,0,0,6,0,6,0,0,0,0,0,0,0,0,9,0,0,9,0,15,0,0,0,0,0,0,0,0,6,0,0,6,0,8,0,4,0,4,0,0,0,0,0,0,0,0,0,6,0,4,0,10,9,0,0,9,0,3,0,3,0,22,5,0,0,6,0,3,0,3,0,0,0,0,0,6,4,17,0,20,4,12,0,15,0,3,0,3,6,42,10,29,0,41,11,18,0,27,21,5,0,29,11,110
202031033,26,0,0,26,3,26,0,0,0,0,0,0,0,0,21,0,0,21,0,24,4,0,0,3,0,0,0,0,4,0,0,4,0,11,0,0,0,4,4,0,0,4,0,0,0,0,0,9,3,3,0,10,19,6,0,23,0,0,0,0,0,32,8,7,0,9,3,4,0,7,0,4,0,4,0,26,6,31,0,39,11,16,0,24,5,5,0,8,21,93,19,47,0,59,39,32,0,68,66,10,0,81,25,235
203011034,28,0,0,28,0,29,0,6,0,4,0,0,0,0,21,0,0,21,0,31,5,0,0,6,6,0,0,6,7,0,0,7,0,20,4,0,0,4,8,0,0,8,0,0,0,0,0,9,12,16,0,19,39,9,0,44,0,0,0,4,0,69,0,10,0,10,7,8,0,12,0,0,0,3,0,27,0,27,0,28,8,26,0,29,3,11,0,11,0,70,19,57,0,73,68,36,0,103,75,12,0,86,0,272
203011035,7,0,0,7,0,13,0,5,0,5,0,0,0,0,16,0,0,16,0,16,3,4,0,8,0,0,0,0,9,0,0,9,0,17,0,6,0,7,8,0,0,8,0,0,0,0,0,16,3,9,0,12,18,5,0,24,0,3,0,3,0,38,5,7,0,10,0,3,0,6,0,0,0,0,0,13,0,10,0,17,3,14,0,16,0,3,0,8,7,44,7,44,0,51,35,23,0,57,42,10,0,51,9,167
203011036,11,0,0,11,0,13,0,3,0,3,0,0,0,0,24,0,0,24,0,31,0,0,0,0,5,0,0,5,6,0,0,7,0,15,3,8,0,11,7,0,0,3,0,0,0,0,0,15,3,16,0,19,32,7,0,34,0,0,0,0,0,56,0,8,0,11,5,4,0,8,0,3,0,5,3,18,0,22,0,20,7,9,0,21,0,11,0,15,5,65,12,54,0,65,47,21,0,67,56,15,0,70,9,218
