POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
201011001,89,9,39,51,97,89,115,0,7,498
201011002,654,105,166,282,563,505,483,9,33,2798
201011005,147,25,35,54,81,65,52,0,8,472
201011006,120,15,20,43,87,88,149,4,3,526
201011007,14,3,4,4,9,0,7,0,0,43
201011008,319,41,72,124,195,232,242,0,13,1246
201011481,99,10,11,22,72,56,87,0,7,370
201011482,64,9,21,14,45,46,55,0,4,256
201011483,86,17,22,40,72,63,110,3,6,419
201011484,70,8,24,29,57,55,69,0,6,313
201021009,126,14,17,21,86,56,61,0,7,388
201021010,96,4,24,20,53,36,45,0,9,296
201021011,237,30,50,65,71,93,108,0,19,686
201021012,50,6,13,10,13,12,14,0,3,120
201031013,36,4,11,6,7,6,12,0,0,80
201031014,61,3,8,12,19,17,21,0,6,140
201031015,31,4,0,3,4,12,3,4,0,59
201031016,124,7,18,20,58,45,55,0,13,334
201031017,36,0,0,8,13,16,21,0,5,88
202011018,600,95,146,249,568,492,610,6,35,2810
202011019,38,7,10,16,38,29,42,0,3,190
202011020,154,29,38,65,133,141,179,0,12,743
202011021,63,14,21,26,34,39,34,0,0,229
202011022,165,23,49,59,138,125,125,3,8,695
202011023,26,0,4,3,12,9,0,0,0,59
202011024,27,0,7,12,26,14,19,0,7,123
202011025,69,5,25,35,92,76,63,0,6,373
202021026,49,13,11,28,192,129,135,0,11,572
202021027,267,50,71,82,132,85,103,0,17,812
202021028,106,15,17,27,19,25,8,0,8,222
202021029,57,9,14,10,20,22,14,0,8,156
202021030,255,17,59,69,137,113,179,0,13,848
202021031,146,23,33,50,71,58,41,0,8,437
202031032,33,7,10,20,20,26,18,0,0,136
202031033,64,6,8,16,34,46,46,4,3,233
203011034,64,8,17,20,39,49,50,0,3,258
203011035,74,11,15,12,31,37,31,0,4,215
203011036,77,7,11,14,32,24,14,5,4,180
203021037,210,34,45,79,227,147,205,0,17,963
203021039,1785,298,457,624,1250,1235,1280,20,108,7061
203021040,241,33,43,80,160,195,240,0,11,1010
203021042,337,60,117,165,327,356,421,9,14,1811
203021043,372,75,93,165,372,370,340,7,29,1826
203021044,102,4,26,26,62,60,66,0,0,357
203021045,244,52,52,57,145,162,174,0,18,901
203021046,211,26,35,62,117,89,103,0,15,660
203021047,668,100,143,219,463,460,459,7,26,2530
203021485,50,9,13,22,61,62,92,0,3,313
203021486,360,72,64,109,220,219,282,4,9,1334
203021487,243,35,54,94,261,266,332,0,19,1313
203021488,185,21,42,57,154,177,140,0,11,787
203031048,171,13,18,39,76,71,65,0,12,464
203031049,96,13,19,26,55,84,102,0,8,414
203031051,102,12,10,14,43,32,49,0,15,268
203031052,117,13,16,31,53,42,62,0,6,336
203031053,291,45,77,116,233,275,269,0,11,1322
203031489,86,16,30,36,74,84,90,4,6,410
203031490,220,30,39,62,148,132,155,0,17,799
204011054,143,16,26,25,24,43,72,0,13,355
204011055,87,10,12,19,46,48,55,0,10,278
204011056,192,31,51,77,155,125,109,3,22,764
204011057,219,27,31,53,57,60,109,6,19,568
204011058,67,5,7,25,38,62,64,0,9,273
204011059,98,17,12,32,70,80,74,0,22,402
204011060,94,18,15,19,54,31,20,5,3,258
204011061,0,0,0,0,0,0,0,0,0,10
204011062,70,5,5,11,17,15,9,0,8,138
204021063,182,26,29,48,89,88,158,0,9,629
204021064,30,0,3,5,3,9,5,0,0,74
204021065,48,8,13,8,28,15,12,0,0,134
204021066,356,48,68,89,152,147,224,4,16,1109
204021067,89,11,14,12,20,33,50,0,3,235
204031068,92,15,16,17,39,24,30,0,10,241
204031069,210,28,66,65,98,72,144,0,16,696
204031070,29,4,0,5,13,3,6,0,0,60
204031071,96,4,14,19,23,28,42,0,3,230
204031072,84,8,9,10,22,26,42,10,3,218
204031073,186,18,35,36,124,105,136,0,11,656
204031075,52,4,0,10,12,7,16,0,3,115
204031491,132,11,26,44,78,74,61,0,9,432
204031492,378,58,73,126,260,251,272,4,26,1455
205011076,213,21,32,61,120,106,75,0,18,650
205011077,88,12,9,14,32,35,83,5,5,292
205011078,93,9,28,32,55,46,52,0,15,327
