stopid,hhid,persid,stopno,travdow,origplace1,origplace2,origlga,starthour,origpurp1,origpurp2,destplace1,destplace2,destlga,someoneelse,person1,person2,person3,person4,person5,person6,person7,person8,person9,person10,person11,person12,person13,person14,person15,person16,person17,person18,person19,person20,destpurp1,destpurp2,fullmode,mainmode,faretype,vehoccup,tollroad,arrhour,startime,arrtime,dephour,deptime,travtime,vistadist,duration,entrytype,tripid,stoppoststratweight,stoppoststratweight_GROUP_1,stoppoststratweight_GROUP_2,stoppoststratweight_GROUP_3,stoppoststratweight_GROUP_4,stoppoststratweight_GROUP_5,stoppoststratweight_GROUP_6,stoppoststratweight_GROUP_7,stoppoststratweight_GROUP_8,stoppoststratweight_GROUP_9,stoppoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260101P01S01,Y25H6260101,Y25H6260101P01,1,Monday,Accommodation,Survey Home,Greater Dandenong (C),7,At Home,Go home,Transport Feature,Train Station,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Change Mode,Got on or off PT,Car Driver,Vehicle Driver,Not applicable,1,No,7,456,461,7,462,5,3.12206,1,Both,Y25H6260101P01T01,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S02,Y25H6260101,Y25H6260101P01,2,Monday,Transport Feature,Train Station,Greater Dandenong (C),7,Change Mode,Got on or off PT,Transport Feature,Train Station,Melbourne (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Change Mode,Got on or off PT,Train,Train,Full Adult,Not applicable,Not applicable,8,462,506,8,506,44,28.76045,0,Travel day form only,Y25H6260101P01T01,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S03,Y25H6260101,Y25H6260101P01,3,Monday,Transport Feature,Train Station,Melbourne (C),8,Change Mode,Got on or off PT,Place of work,My Workplace,Melbourne (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Work Related,Own Workplace,Walking,Walking,Not applicable,Not applicable,Not applicable,8,506,512,17,1020,6,0.63111,508,Travel day form only,Y25H6260101P01T01,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S04,Y25H6260101,Y25H6260101P01,4,Monday,Place of work,My Workplace,Melbourne (C),17,Work Related,Own Workplace,Transport Feature,Train Station,Melbourne (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Change Mode,Got on or off PT,Walking,Walking,Not applicable,Not applicable,Not applicable,17,1020,1026,17,1045,6,0.63111,19,Travel day form only,Y25H6260101P01T02,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S05,Y25H6260101,Y25H6260101P01,5,Monday,Transport Feature,Train Station,Melbourne (C),17,Change Mode,Got on or off PT,Transport Feature,Train Station,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Change Mode,Got on or off PT,Train,Train,Full Adult,Not applicable,Not applicable,18,1045,1088,18,1095,43,28.76045,7,Travel day form only,Y25H6260101P01T02,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S06,Y25H6260101,Y25H6260101P01,6,Monday,Transport Feature,Train Station,Greater Dandenong (C),18,Change Mode,Got on or off PT,Retail venue,Supermarket,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Buy Something,Bought something,Car Driver,Vehicle Driver,Not applicable,1,No,18,1095,1100,18,1115,5,1.25401,15,GPS Only,Y25H6260101P01T02,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S07,Y25H6260101,Y25H6260101P01,7,Monday,Retail venue,Supermarket,Greater Dandenong (C),18,Buy Something,Bought something,Accommodation,Someone Elses Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other Purpose,Other (NEC),Car Driver,Vehicle Driver,Not applicable,1,No,18,1115,1124,18,1125,9,3.00116,1,GPS Only,Y25H6260101P01T03,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01S08,Y25H6260101,Y25H6260101P01,8,Monday,Accommodation,Someone Elses Home,Greater Dandenong (C),18,Other Purpose,Other (NEC),Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,18,1125,1128,N/A - Did not depart,N/A - Did not depart,3,1.43536,Home/Last Trip of Day,Both,Y25H6260101P01T04,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01S01,Y25H6260102,Y25H6260102P01,1,Tuesday,Accommodation,Survey Home,Greater Dandenong (C),10,At Home,Go home,Entertainment venue,Restaurant or Cafe,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Social,Ate or drank,Car Driver,Vehicle Driver,Not applicable,1,No,10,630,640,11,710,10,5.06795,70,Travel day form only,Y25H6260102P01T01,1505.13155993,1678.309427824,1719.643390668,1837.848191277,1429.869625567,1460.759174305,1675.048155272,1973.805422996,1477.832741624,1460.412531362,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01S02,Y25H6260102,Y25H6260102P01,2,Tuesday,Entertainment venue,Restaurant or Cafe,Greater Dandenong (C),11,Social,Ate or drank,Accommodation,Survey Home,Greater Dandenong (C),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,At Home,Go home,Car Driver,Vehicle Driver,Not applicable,1,No,12,710,720,15,900,10,5.06795,180,Travel day form only,Y25H6260102P01T02,1505.13155993,1678.309427824,1719.643390668,1837.848191277,1429.869625567,1460.759174305,1675.048155272,1973.805422996,1477.832741624,1460.412531362,0.0,MELB - Middle,Greater Melbourne,Weekday
