hhid,persid,jtwid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y25H6260101,Y25H6260101P01,Y25H6260101P01JTW0001,Weekday,FROM_HOME,Y25H6260101P01S01,456,Greater Dandenong (C),TO_WORK,Y25H6260101P01S03,512.0,Melbourne (C),Vehicle Driver,Train,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Work Related,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of work,,,,,,,,,,,,,456.0,462.0,506.0,,,,,,,,,,,,,461.0,506.0,512.0,,,,,,,,,,,,,3.12206,28.76045,0.63111,,,,,,,,,,,,,5.0,44.0,6.0,,,,,,,,,,,,,Train,55,32.51362,56.0,1931.995681117,MELB - Middle,Greater Melbourne
Y25H6260102,Y25H6260102P01,Y25H6260102P01JTW0002,Weekday,FROM_HOME,Y25H6260102P01S03,900,Greater Dandenong (C),TO_WORK,Y25H6260102P01S03,915.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,900.0,,,,,,,,,,,,,,,915.0,,,,,,,,,,,,,,,5.64462,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,5.64462,15.0,1505.13155993,MELB - Middle,Greater Melbourne
Y25H6260102,Y25H6260102P03,Y25H6260102P03JTW0003,Weekday,FROM_HOME,Y25H6260102P03S01,330,Greater Dandenong (C),TO_WORK,Y25H6260102P03S01,345.0,Greater Dandenong (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,345.0,,,,,,,,,,,,,,,4.61658,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,Vehicle Driver,15,4.61658,15.0,1419.351207791,MELB - Middle,Greater Melbourne
Y25H6260103,Y25H6260103P03,Y25H6260103P03JTW0004,Weekday,FROM_HOME,Y25H6260103P03S01,330,Greater Dandenong (C),TO_WORK,Y25H6260103P03S01,350.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,330.0,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,34.03512,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,Vehicle Driver,20,34.03512,20.0,1241.18169407,MELB - Middle,Greater Melbourne
Y25H6260117,Y25H6260117P01,Y25H6260117P01JTW0005,Weekday,FROM_HOME,Y25H6260117P01S01,350,Greater Dandenong (C),TO_WORK,Y25H6260117P01S01,400.0,Melbourne (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,400.0,,,,,,,,,,,,,,,34.32071,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,Vehicle Driver,50,34.32071,50.0,975.021862368,MELB - Middle,Greater Melbourne
Y25H6260133,Y25H6260133P01,Y25H6260133P01JTW0006,Weekday,FROM_HOME,Y25H6260133P01S01,405,Greater Dandenong (C),TO_WORK,Y25H6260133P01S01,465.0,Darebin (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,405.0,,,,,,,,,,,,,,,465.0,,,,,,,,,,,,,,,41.07401,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,Vehicle Driver,60,41.07401,60.0,596.869426712,MELB - Middle,Greater Melbourne
Y25H6260204,Y25H6260204P02,Y25H6260204P02JTW0007,Weekday,FROM_HOME,Y25H6260204P02S01,490,Yarra Ranges (S),TO_WORK,Y25H6260204P02S01,525.0,Maroondah (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,525.0,,,,,,,,,,,,,,,18.64371,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,Vehicle Driver,35,18.64371,35.0,732.036018701,MELB - Outer,Greater Melbourne
Y25H6260209,Y25H6260209P02,Y25H6260209P02JTW0008,Weekday,FROM_HOME,Y25H6260209P02S01,340,Yarra Ranges (S),TO_WORK,Y25H6260209P02S01,350.0,Yarra Ranges (S),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,340.0,,,,,,,,,,,,,,,350.0,,,,,,,,,,,,,,,5.23434,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,Vehicle Driver,10,5.23434,10.0,756.878214059,MELB - Outer,Greater Melbourne
Y25H6260215,Y25H6260215P01,Y25H6260215P01JTW0009,Weekday,FROM_HOME,Y25H6260215P01S01,420,Yarra Ranges (S),TO_WORK,Y25H6260215P01S01,460.0,Manningham (C),Vehicle Driver,,,,,,,,,,,,,,,Work Related,,,,,,,,,,,,,,,Place of work,,,,,,,,,,,,,,,420.0,,,,,,,,,,,,,,,460.0,,,,,,,,,,,,,,,26.25083,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,Vehicle Driver,40,26.25083,40.0,394.579422532,MELB - Outer,Greater Melbourne
Y25H6260215,Y25H6260215P02,Y25H6260215P02JTW0010,Weekday,FROM_HOME,Y25H6260215P02S01,440,Yarra Ranges (S),TO_WORK,Y25H6260215P02S03,495.0,Whitehorse (C),Vehicle Driver,Vehicle Driver,Walking,,,,,,,,,,,,,Pick-up or Drop-off Someone,Change Mode,Work Related,,,,,,,,,,,,,Place of education,Transport Feature,Place of work,,,,,,,,,,,,,440.0,460.0,490.0,,,,,,,,,,,,,450.0,490.0,495.0,,,,,,,,,,,,,1.72288,28.34842,0.49393,,,,,,,,,,,,,10.0,30.0,5.0,,,,,,,,,,,,,Vehicle Driver,45,30.56523,55.0,381.519526368,MELB - Outer,Greater Melbourne
