persid,hhid,persno,travdow,agegroup,sex,relationship,carlicence,mbikelicence,otherlicence,nolicence,fulltimework,parttimework,casualwork,anywork,studying,activities,mainact,emptype,anzsco1,anzsco2,anzsic1,anzsic2,startplace,numstops,persinc,anywfh,wfhmon,wfhtue,wfhwed,wfhthu,wfhfri,wfhsat,wfhsun,wfhtravday,faretype,anytoll,anyvehwalk,anypaidpark,perspoststratweight,perspoststratweight_GROUP_1,perspoststratweight_GROUP_2,perspoststratweight_GROUP_3,perspoststratweight_GROUP_4,perspoststratweight_GROUP_5,perspoststratweight_GROUP_6,perspoststratweight_GROUP_7,perspoststratweight_GROUP_8,perspoststratweight_GROUP_9,perspoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260101P01,Y25H6260101,1,Monday,30->34,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Professionals,Business Human Resource and Marketing Professionals,Financial and Insurance Services,Finance,At Home,8,"$1,500-$1,749 ($78,000-$90,999)",Yes,No,Yes,No,No,Yes,No,No,No,Full Adult,No,No,No,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01,Y25H6260102,1,Tuesday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Labourers,Factory Process Workers,Manufacturing,Food Product Manufacturing,At Home,4,"$1,000-$1,249 ($52,000-$64,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,Missing/Refused,Missing/Refused,1272.604070129,1398.323240187,1475.051993737,1532.74557878,1223.649352759,1251.198335583,1414.530995257,1648.984943849,1230.980057257,1244.788723759,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P02,Y25H6260102,2,Tuesday,30->34,Male,Other relative,No Car Licence,No,No,Yes,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Work in Family Business,Community and Personal Service Workers,Sports and Personal Service Workers,Other Services,Personal and Other Services,At Home,0,Nil income,No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1312.661270309,1577.809939183,1361.102647125,1642.151914116,1148.131223957,1268.810507766,1654.781241102,1464.895478211,1319.104643207,1290.774248261,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P03,Y25H6260102,3,Tuesday,25->29,Male,Other relative,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Labourers,Factory Process Workers,Manufacturing,Fabricated Metal Product Manufacturing,At Home,2,"$1,000-$1,249 ($52,000-$64,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1195.393294936,1456.459204048,1274.282777992,1377.656574245,1111.089929797,1196.543083009,1403.448336582,1575.14595085,1130.352143071,1166.223864141,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P04,Y25H6260102,4,Tuesday,20->24,Female,Unrelated,Green Probationary Licence,No,No,No,No,Yes,No,Yes,No Study,No other activity,Part-time Work,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Accommodation and Food Services,Food and Beverage Services,At Home,0,Nil income,No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1158.585205073,1572.135817559,1233.140885779,1214.113924026,1020.479902535,1155.564697235,1370.882113854,1401.296269123,1143.099822084,1176.580088199,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P01,Y25H6260103,1,Wednesday,55->59,Male,Self,Learners Permit,No,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$1-$149 ($1-$7,799)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1224.99418364,1293.347257513,1551.196066091,1363.879415411,1156.853173215,1367.632899738,1465.033308677,1523.117053165,1185.567962269,1198.459899162,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P02,Y25H6260103,2,Wednesday,55->59,Female,Unrelated,Learners Permit,No,No,No,No,No,No,No,No Study,Unemployed,Unemployed,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not In Work Force,At Home,0,"$3,000-$3,499 ($156,000-$181,999)",Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Not in Work Force,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1679.543387292,1888.44046781,2018.602350864,1808.573410004,1556.422050059,1892.093985486,2078.820480702,2098.036982364,1631.264630121,1616.775902438,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P03,Y25H6260103,3,Wednesday,40->44,Male,Unrelated,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Labourers,Factory Process Workers,Manufacturing,Manufacturing (NEC),At Home,2,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,1043.151103672,1175.732923038,1278.078539741,1192.004644999,1025.037570687,1060.866920713,1114.582978695,1344.655075224,1010.485925699,1098.091446959,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103P04,Y25H6260103,4,Wednesday,30->34,Male,Unrelated,Learners Permit,No,No,No,No,No,Yes,Yes,No Study,No other activity,Casual Work,Paid Employee,Labourers,Factory Process Workers,Manufacturing,Manufacturing (NEC),At Home,0,"$2,000-$2,999 ($104,000-$155,999)",No,No,No,No,No,No,No,No,No,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1673.807360422,1859.768746102,1645.515694072,2291.756465495,1481.618953729,1769.900498759,2136.145440327,2078.408046594,1678.349503468,1637.46185409,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260106P01,Y25H6260106,1,Saturday,55->59,Male,Self,Full Licence,No,No,No,Yes,No,No,Yes,No Study,No other activity,Full-time Work,Paid Employee,Community and Personal Service Workers,Hospitality Workers,Information Media and Telecommunications,Publishing (except Internet and Music Publishing),At Home,0,"$1,250-$1,499 ($65,000-$77,999)",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Missing/Refused,Missing/Refused,N/A - Did nou use a car,Missing/Refused,1171.822394826,1401.965172761,1671.468412718,1259.771150524,1249.406750353,1247.141434248,1125.050476743,1187.065280674,1283.017025978,1186.255738259,0.0,MELB - Middle,Greater Melbourne,Weekend
