hhid,surveyperiod,hhsize,dwelltype,owndwell,totalbikes,totalvehs,travmonth,travdow,homelga,youngestgroup_5,aveagegroup_5,oldestgroup_5,hhinc_group,hhpoststratweight,hhpoststratweight_GROUP_1,hhpoststratweight_GROUP_2,hhpoststratweight_GROUP_3,hhpoststratweight_GROUP_4,hhpoststratweight_GROUP_5,hhpoststratweight_GROUP_6,hhpoststratweight_GROUP_7,hhpoststratweight_GROUP_8,hhpoststratweight_GROUP_9,hhpoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260101,2024-25,1,"Unit, Flat or Apartment",Fully Owned,0,1,July,Monday,Greater Dandenong (C),30->34,30->34,30->34,"$1,500-$1,749 ($78,000-$90,999)",1736.857852461,2086.285663971,2345.209197851,2036.152111084,1882.60393318,1605.434427426,1848.914692616,2190.437176308,1796.48585009,1687.382036852,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102,2024-25,4,Separate House,Being Rented,0,2,July,Tuesday,Greater Dandenong (C),20->24,30->34,55->59,"$2,000-$2,499 ($104,000-$129,999)",1097.080494477,1341.579264586,1267.432352326,1151.602227477,1007.7753815,1073.976805658,1312.302153265,1549.539978073,1048.436351503,1090.933985849,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260103,2024-25,4,Separate House,Being Rented,2,2,July,Wednesday,Greater Dandenong (C),30->34,45->49,55->59,"$8,000 or more ($416,000 or more)",1002.722306138,1179.195045602,1151.080666473,1067.870149948,926.552043984,1054.238572683,1193.927428444,1431.640566347,977.524278001,986.755368578,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260106,2024-25,2,Separate House,Being Purchased,1,1,July,Saturday,Greater Dandenong (C),25->29,40->44,55->59,"$2,000-$2,499 ($104,000-$129,999)",1409.345906247,1803.769069575,1911.814770965,1424.502666186,1444.273796389,1521.22178877,1480.947021802,1712.985411704,1491.218031128,1458.112473238,0.0,MELB - Middle,Greater Melbourne,Weekend
Y25H6260117,2024-25,5,Separate House,Being Purchased,4,2,July,Wednesday,Greater Dandenong (C),5->9,20->24,40->44,"$4,500-$4,999 ($234,000-$259,999)",937.233510013,1294.52543403,925.099029158,984.546581719,841.337452253,991.456198578,1140.535354094,1233.38941423,964.243857814,903.389090204,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260122,2024-25,2,"Unit, Flat or Apartment",Being Rented,Missing/Refused,1,July,Monday,Greater Dandenong (C),75->79,80->84,80->84,"$1,750-$1,999 ($91,000-$103,999)",904.717696447,0.0,1212.101662709,941.196525489,931.564871469,938.008949657,941.166477531,1147.419761112,896.413923683,896.59892013,1101.28509443,MELB - Middle,Greater Melbourne,Weekday
Y25H6260123,2024-25,2,Separate House,Fully Owned,Missing/Refused,1,July,Tuesday,Greater Dandenong (C),85->89,85->89,90->94,"$2,000-$2,499 ($104,000-$129,999)",947.701517381,0.0,1259.083941656,1027.533109705,969.110909058,1003.811007832,983.552110873,1140.154802525,909.245342332,981.757271691,1140.000689904,MELB - Middle,Greater Melbourne,Weekday
Y25H6260132,2024-25,1,"Unit, Flat or Apartment",Fully Owned,0,0,July,Thursday,Greater Dandenong (C),80->84,80->84,80->84,,1116.53271883,0.0,1143.854419121,1263.700675375,1173.954777602,1013.617479027,1313.484785565,1655.426304181,1111.409659199,1117.987415316,1246.389859082,MELB - Middle,Greater Melbourne,Weekday
Y25H6260133,2024-25,4,"Unit, Flat or Apartment",Fully Owned,0,2,July,Friday,Greater Dandenong (C),0->4,20->24,40->44,"$800-$999 ($41,600-$51,999)",800.430091146,0.0,958.134947734,832.737088877,747.195334067,788.335835395,936.852769709,1177.112449399,788.009174128,780.94434321,1078.472822928,MELB - Middle,Greater Melbourne,Weekday
Y25H6260134,2024-25,1,Separate House,Fully Owned,0,0,July,Saturday,Greater Dandenong (C),75->79,75->79,75->79,"$800-$999 ($41,600-$51,999)",1192.147545006,0.0,1255.516842518,1250.294799805,1197.95950175,1094.723069143,1461.554170434,1783.887967744,1275.031003827,1205.105781074,1339.785515058,MELB - Middle,Greater Melbourne,Weekend
