hhid,persid,jteid,dayType,start_loc,start_stopid,start_time,start_LGA,end_loc,end_stopid,end_time,end_LGA,mainmode_desc_01,mainmode_desc_02,mainmode_desc_03,mainmode_desc_04,mainmode_desc_05,mainmode_desc_06,mainmode_desc_07,mainmode_desc_08,mainmode_desc_09,mainmode_desc_10,mainmode_desc_11,mainmode_desc_12,mainmode_desc_13,mainmode_desc_14,mainmode_desc_15,destpurp1_desc_01,destpurp1_desc_02,destpurp1_desc_03,destpurp1_desc_04,destpurp1_desc_05,destpurp1_desc_06,destpurp1_desc_07,destpurp1_desc_08,destpurp1_desc_09,destpurp1_desc_10,destpurp1_desc_11,destpurp1_desc_12,destpurp1_desc_13,destpurp1_desc_14,destpurp1_desc_15,destplace1_desc_01,destplace1_desc_02,destplace1_desc_03,destplace1_desc_04,destplace1_desc_05,destplace1_desc_06,destplace1_desc_07,destplace1_desc_08,destplace1_desc_09,destplace1_desc_10,destplace1_desc_11,destplace1_desc_12,destplace1_desc_13,destplace1_desc_14,destplace1_desc_15,startime_01,startime_02,startime_03,startime_04,startime_05,startime_06,startime_07,startime_08,startime_09,startime_10,startime_11,startime_12,startime_13,startime_14,startime_15,arrtime_01,arrtime_02,arrtime_03,arrtime_04,arrtime_05,arrtime_06,arrtime_07,arrtime_08,arrtime_09,arrtime_10,arrtime_11,arrtime_12,arrtime_13,arrtime_14,arrtime_15,vistadist_01,vistadist_02,vistadist_03,vistadist_04,vistadist_05,vistadist_06,vistadist_07,vistadist_08,vistadist_09,vistadist_10,vistadist_11,vistadist_12,vistadist_13,vistadist_14,vistadist_15,travtime_01,travtime_02,travtime_03,travtime_04,travtime_05,travtime_06,travtime_07,travtime_08,travtime_09,travtime_10,travtime_11,travtime_12,travtime_13,travtime_14,travtime_15,main_journey_mode,journey_travel_time,journey_distance,journey_elapsed_time,journey_weight,homesubregion_ASGS,homeregion_ASGS
Y25H6260403,Y25H6260403P04,Y25H6260403P04JTE011,Weekday,FROM_HOME,Y25H6260403P04S01,490,Whittlesea (C),TO_EDUCATION,Y25H6260403P04S01,495.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,2.30499,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.30499,5.0,975.890325181,MELB - Outer,Greater Melbourne
Y25H6260403,Y25H6260403P05,Y25H6260403P05JTE012,Weekday,FROM_HOME,Y25H6260403P05S01,490,Whittlesea (C),TO_EDUCATION,Y25H6260403P05S01,495.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,490.0,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,2.30499,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.30499,5.0,697.574012159,MELB - Outer,Greater Melbourne
Y25H6260404,Y25H6260404P04,Y25H6260404P04JTE013,Weekday,FROM_HOME,Y25H6260404P04S01,495,Whittlesea (C),TO_EDUCATION,Y25H6260404P04S01,500.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,2.39544,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.39544,5.0,1193.560660624,MELB - Outer,Greater Melbourne
Y25H6260404,Y25H6260404P05,Y25H6260404P05JTE014,Weekday,FROM_HOME,Y25H6260404P05S01,495,Whittlesea (C),TO_EDUCATION,Y25H6260404P05S01,500.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,2.39544,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,2.39544,5.0,584.240195503,MELB - Outer,Greater Melbourne
Y25H6260410,Y25H6260410P03,Y25H6260410P03JTE015,Weekday,FROM_HOME,Y25H6260410P03S01,510,Whittlesea (C),TO_EDUCATION,Y25H6260410P03S01,530.0,Nillumbik (S),School Bus,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,510.0,,,,,,,,,,,,,,,530.0,,,,,,,,,,,,,,,10.44731,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,School Bus,20,10.44731,20.0,848.277931539,MELB - Outer,Greater Melbourne
Y25H6260419,Y25H6260419P05,Y25H6260419P05JTE016,Weekday,FROM_HOME,Y25H6260419P05S01,450,Whittlesea (C),TO_EDUCATION,Y25H6260419P05S03,519.0,Banyule (C),Vehicle Passenger,Vehicle Passenger,Vehicle Passenger,,,,,,,,,,,,,Accompany Someone,Social,Education,,,,,,,,,,,,,Place of education,Entertainment venue,Place of education,,,,,,,,,,,,,450.0,479.0,510.0,,,,,,,,,,,,,479.0,481.0,519.0,,,,,,,,,,,,,13.99341,0.55836,1.73509,,,,,,,,,,,,,29.0,2.0,9.0,,,,,,,,,,,,,Vehicle Passenger,40,16.28686,69.0,976.860793115,MELB - Outer,Greater Melbourne
Y25H6260425,Y25H6260425P03,Y25H6260425P03JTE017,Weekday,FROM_HOME,Y25H6260425P03S01,535,Whittlesea (C),TO_EDUCATION,Y25H6260425P03S01,540.0,Whittlesea (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,535.0,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,0.36566,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.36566,5.0,469.463738042,MELB - Outer,Greater Melbourne
Y25H6260425,Y25H6260425P04,Y25H6260425P04JTE018,Weekday,FROM_HOME,Y25H6260425P04S01,535,Whittlesea (C),TO_EDUCATION,Y25H6260425P04S01,540.0,Whittlesea (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,535.0,,,,,,,,,,,,,,,540.0,,,,,,,,,,,,,,,0.36566,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.36566,5.0,468.281672128,MELB - Outer,Greater Melbourne
Y25H6260431,Y25H6260431P03,Y25H6260431P03JTE019,Weekday,FROM_HOME,Y25H6260431P03S01,495,Whittlesea (C),TO_EDUCATION,Y25H6260431P03S01,500.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,0.38789,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,0.38789,5.0,326.356927102,MELB - Outer,Greater Melbourne
Y25H6260431,Y25H6260431P04,Y25H6260431P04JTE020,Weekday,FROM_HOME,Y25H6260431P04S01,495,Whittlesea (C),TO_EDUCATION,Y25H6260431P04S01,500.0,Whittlesea (C),Vehicle Passenger,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,495.0,,,,,,,,,,,,,,,500.0,,,,,,,,,,,,,,,0.38789,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Vehicle Passenger,5,0.38789,5.0,425.202150785,MELB - Outer,Greater Melbourne
Y25H6270102,Y25H6270102P03,Y25H6270102P03JTE021,Weekday,FROM_HOME,Y25H6270102P03S01,506,Frankston (C),TO_EDUCATION,Y25H6270102P03S01,511.0,Frankston (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,0.31348,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.31348,5.0,911.073257839,MELB - Outer,Greater Melbourne
Y25H6270102,Y25H6270102P04,Y25H6270102P04JTE022,Weekday,FROM_HOME,Y25H6270102P04S01,506,Frankston (C),TO_EDUCATION,Y25H6270102P04S01,511.0,Frankston (C),Walking,,,,,,,,,,,,,,,Education,,,,,,,,,,,,,,,Place of education,,,,,,,,,,,,,,,506.0,,,,,,,,,,,,,,,511.0,,,,,,,,,,,,,,,0.31348,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,Walking,5,0.31348,5.0,1894.492613462,MELB - Outer,Greater Melbourne
Y25H6270303,Y25H6270303P01,Y25H6270303P01JTE023,Weekday,FROM_HOME,Y25H6270303P01S01,444,Port Phillip (C),TO_EDUCATION,Y25H6270303P01S03,460.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,444.0,447.0,456.0,,,,,,,,,,,,,445.0,456.0,460.0,,,,,,,,,,,,,0.07162,1.81529,0.22445,,,,,,,,,,,,,1.0,9.0,4.0,,,,,,,,,,,,,Tram,14,2.11136,16.0,1000.339964865,MELB - Inner,Greater Melbourne
Y25H6270303,Y25H6270303P02,Y25H6270303P02JTE024,Weekday,FROM_HOME,Y25H6270303P02S01,444,Port Phillip (C),TO_EDUCATION,Y25H6270303P02S03,460.0,Melbourne (C),Walking,Tram,Walking,,,,,,,,,,,,,Change Mode,Change Mode,Education,,,,,,,,,,,,,Transport Feature,Transport Feature,Place of education,,,,,,,,,,,,,444.0,447.0,456.0,,,,,,,,,,,,,445.0,456.0,460.0,,,,,,,,,,,,,0.07162,1.81529,0.22445,,,,,,,,,,,,,1.0,9.0,4.0,,,,,,,,,,,,,Tram,14,2.11136,16.0,1695.835816673,MELB - Inner,Greater Melbourne
Y25H6270325,Y25H6270325P03,Y25H6270325P03JTE025,Weekday,FROM_HOME,Y25H6270325P03S01,440,Melbourne (C),TO_EDUCATION,Y25H6270325P03S07,495.0,Boroondara (C),Walking,Tram,Walking,Train,Walking,Tram,Walking,,,,,,,,,Change Mode,Change Mode,Change Mode,Change Mode,Change Mode,Change Mode,Education,,,,,,,,,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Transport Feature,Place of education,,,,,,,,,440.0,443.0,453.0,459.0,477.0,490.0,493.0,,,,,,,,,441.0,453.0,455.0,477.0,480.0,493.0,495.0,,,,,,,,,0.06514,2.61971,0.10002,10.96462,0.18403,1.15147,0.15169,,,,,,,,,1.0,10.0,2.0,18.0,3.0,3.0,2.0,,,,,,,,,Train,39,15.23668,55.0,1559.86212956,MELB - Inner,Greater Melbourne
