tripid,hhid,persid,tripno,starthour,startime,arrhour,arrtime,origplace1,origplace2,origpurp1,origpurp2,origlga,destplace1,destplace2,destpurp1,destpurp2,destlga,triptime,travtime,cumdist,linkmode,trippurp,duration,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,time1,time2,time3,time4,time5,time6,time7,time8,time9,dist1,dist2,dist3,dist4,dist5,dist6,dist7,dist8,dist9,trippoststratweight,trippoststratweight_GROUP_1,trippoststratweight_GROUP_2,trippoststratweight_GROUP_3,trippoststratweight_GROUP_4,trippoststratweight_GROUP_5,trippoststratweight_GROUP_6,trippoststratweight_GROUP_7,trippoststratweight_GROUP_8,trippoststratweight_GROUP_9,trippoststratweight_GROUP_10,homesubregion_ASGS,homeregion_ASGS,dayType
Y25H6260101P01T01,Y25H6260101,Y25H6260101P01,1,7,456,8,512,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),56,55,32.51362,Train,Work Related,508,Vehicle Driver,Train,Walking,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5,44,6,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.12206,28.76045,0.63111,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01T02,Y25H6260101,Y25H6260101P01,2,17,1020,18,1100,Place of work,My Workplace,Work Related,Own Workplace,Melbourne (C),Retail venue,Supermarket,Buy Something,Bought something,Greater Dandenong (C),80,54,30.64557,Train,Buy Something,15,Walking,Train,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,6,43,5,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,0.63111,28.76045,1.25401,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01T03,Y25H6260101,Y25H6260101P01,3,18,1115,18,1124,Retail venue,Supermarket,Buy Something,Bought something,Greater Dandenong (C),Accommodation,Someone Elses Home,Other Purpose,Other (NEC),Greater Dandenong (C),9,9,3.00116,Vehicle Driver,Other Purpose,1,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,9,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3.00116,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260101P01T04,Y25H6260101,Y25H6260101P01,4,18,1125,18,1128,Accommodation,Someone Elses Home,Other Purpose,Other (NEC),Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),3,3,1.43536,Vehicle Driver,Other Purpose,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1.43536,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1931.995681117,2151.411512934,2329.658766986,2617.82727231,1991.117224629,1813.786567405,2293.255057588,2189.491854896,2014.405623755,1892.706789761,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01T01,Y25H6260102,Y25H6260102P01,1,10,630,10,640,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Greater Dandenong (C),10,10,5.06795,Vehicle Driver,Social,70,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.06795,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1456.729961351,1613.394277485,1663.002798893,1787.818257189,1411.055099727,1414.151169022,1630.565161102,1890.841711431,1420.886488072,1426.773563042,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01T02,Y25H6260102,Y25H6260102P01,2,11,710,12,720,Entertainment venue,Restaurant or Cafe,Social,Ate or drank,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),10,10,5.06795,Vehicle Driver,Social,180,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.06795,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1456.729961351,1613.394277485,1663.002798893,1787.818257189,1411.055099727,1414.151169022,1630.565161102,1890.841711431,1420.886488072,1426.773563042,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01T03,Y25H6260102,Y25H6260102P01,3,15,900,15,915,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),15,15,5.64462,Vehicle Driver,Work Related,570,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.64462,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1456.729961351,1613.394277485,1663.002798893,1787.818257189,1411.055099727,1414.151169022,1630.565161102,1890.841711431,1420.886488072,1426.773563042,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P01T04,Y25H6260102,Y25H6260102P01,4,24,1485,25,1500,Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),15,15,5.64462,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,5.64462,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1456.729961351,1613.394277485,1663.002798893,1787.818257189,1411.055099727,1414.151169022,1630.565161102,1890.841711431,1420.886488072,1426.773563042,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P03T01,Y25H6260102,Y25H6260102P03,1,5,330,5,345,Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),15,15,4.61658,Vehicle Driver,Work Related,525,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.61658,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1353.308468244,1657.366108641,1423.645353065,1593.587111153,1254.86042169,1336.787525362,1595.697038297,1788.756661213,1292.282841175,1322.732449728,0.0,MELB - Middle,Greater Melbourne,Weekday
Y25H6260102P03T02,Y25H6260102,Y25H6260102P03,2,14,870,14,885,Place of work,My Workplace,Work Related,Own Workplace,Greater Dandenong (C),Accommodation,Survey Home,At Home,Go home,Greater Dandenong (C),15,15,4.61658,Vehicle Driver,Work Related,999,Vehicle Driver,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,15,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,4.61658,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,1353.308468244,1657.366108641,1423.645353065,1593.587111153,1254.86042169,1336.787525362,1595.697038297,1788.756661213,1292.282841175,1322.732449728,0.0,MELB - Middle,Greater Melbourne,Weekday
