GCCSA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
2GMEL,10982,16952,21291,18315,67124,92177,30805,77528,2665,337829,24820,59878,60643,54327,146249,180171,43625,81776,4845,656333,12589,25473,27149,18426,70323,86276,20039,30876,4869,296021,25600,64830,48702,28393,39568,27776,6704,10708,3923,256199,11856,40997,43196,27204,90326,66879,13196,18197,2720,314570,15208,66852,32427,13578,31252,24627,5996,9726,2386,202049,5333,14410,15928,9790,35283,32427,9660,16571,2894,142288,10705,49701,31271,14655,36550,27507,6704,10655,3508,191239,2483,4678,3818,2392,9024,8332,1561,3760,12409,48452,119571,343764,284420,187083,525690,546173,138285,259789,40224,2444991
2RVIC,3761,6942,7276,5948,15314,23163,8547,31572,1578,104102,7419,14662,16518,15575,26990,28178,8521,15440,990,134293,4406,8379,7607,6050,22839,30889,7535,13842,1640,103181,8711,20828,17364,11414,13726,10767,2657,4287,1398,91143,3658,12181,12639,8525,20005,13345,2869,3812,684,77728,4271,21260,9957,4851,9086,6430,1616,2768,894,61142,2379,3762,3510,2390,8409,10470,4003,9622,922,45469,5230,22549,10975,6829,14428,13779,3847,6163,1938,85735,1023,1338,866,629,1908,1958,446,1199,3938,13304,40862,111897,86708,62220,132716,138973,40038,88697,13985,716097
29499,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
