GCCSA_CODE_2021,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
2GMEL,28850,27632,56483,29651,28007,57666,29672,28188,57855,30112,28413,58525,30972,29147,60119,149255,141400,290649,31879,30060,61940,31425,29851,61277,31699,29620,61316,31909,30306,62214,31062,29713,60776,157973,149552,307523,30302,28702,59001,30538,29394,59927,29971,28243,58212,30019,28396,58412,29804,28055,57859,150634,142778,293410,28782,27250,56030,28086,26317,54403,27774,26176,53948,27861,26513,54370,28364,27582,55943,140865,133838,274698,31277,29654,60935,33067,31711,64775,33345,31701,65044,34267,32591,66861,36504,34424,70924,168453,160090,328543,38230,35747,73979,39149,37287,76436,38997,37927,76920,38635,39128,77765,38197,39832,78032,193215,189925,383135,39297,41319,80617,39571,42195,81773,39251,41798,81056,39524,41793,81316,39731,41056,80796,197383,208174,405556,39442,41430,80870,39443,41311,80756,38915,39922,78840,39076,39883,78964,37948,38424,76369,194831,200968,395798,36778,36838,73619,34802,34932,69734,33593,33890,67483,32271,32578,64848,31618,31994,63615,169068,170237,339303,31254,31623,62880,31183,32330,63513,30941,32831,63770,31213,32740,63958,31951,34290,66244,156543,163821,320361,32302,35199,67500,30728,32405,63133,30108,31952,62054,29058,30393,59454,27613,28993,56605,149807,158943,308742,27309,28707
2RVIC,8336,8168,16500,8510,8038,16548,8494,8420,16919,8996,8368,17360,8858,8645,17503,43195,41636,84837,9578,9006,18583,9510,9028,18537,9620,9280,18894,9865,9128,18988,9987,9251,19243,48558,45693,94252,9793,9159,18947,9925,9450,19380,10177,9461,19641,10118,9353,19473,10444,9757,20205,50457,47190,97643,9740,9295,19041,9171,8610,17787,9188,8720,17902,8776,8245,17021,8540,7753,16292,45414,42621,88042,8393,7629,16028,8165,7809,15981,8280,7880,16162,8348,7797,16144,8546,8271,16816,41733,39392,81124,8770,8547,17321,9329,9089,18418,9281,9246,18531,9162,9316,18477,9256,9476,18740,45802,45675,91470,9383,9508,18890,9204,9810,19012,9143,9408,18558,8928,9572,18495,9002,9546,18551,45663,47849,93507,9174,9742,18914,9136,9733,18871,8940,9675,18611,9093,9590,18685,8584,9521,18105,44925,48263,93191,8694,9509,18207,8379,9009,17387,8439,8969,17404,8786,9108,17896,8567,9231,17797,42862,45823,88692,8751,9197,17955,8870,9533,18404,9260,9859,19114,9392,9964,19350,9995,10619,20615,46266,49169,95436,10350,11085,21434,9631,10307,19936,9907,10643,20545,9524,10073,19600,9388,10037,19424,48795,52146,100937,9466,10221
29499,43,47,90,45,36,77,49,50,100,52,23,74,38,35,76,222,189,414,39,36,79,28,43,74,47,26,74,52,40,91,38,40,78,208,181,393,30,35,72,37,37,76,31,35,73,25,37,64,27,33,56,161,175,334,36,24,58,32,38,66,36,48,80,54,54,107,73,69,140,234,229,459,65,67,133,65,71,136,74,60,136,63,65,134,77,58,135,345,321,671,107,75,181,84,86,170,106,89,197,96,86,179,83,114,195,474,450,928,131,109,240,98,83,182,81,62,144,88,97,187,61,74,138,463,425,892,159,87,251,81,92,176,106,83,192,85,65,154,83,74,161,515,416,929,142,81,224,97,84,182,89,62,150,69,52,117,88,44,131,488,321,806,140,61,199,78,32,107,87,42,124,99,44,148,87,59,147,483,238,723,134,50,186,87,49,138,68,62,136,60,52,116,69,32,100,427,242,668,100,44
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
