GCCSA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
2GMEL,268,887,3414,6833,13533,24472,31775,25032,10539,116753,32150,24964,29992,27874,21437,16646,12987,7512,2537,176099,467,572,1363,2292,4588,10509,17527,14546,5466,57340,44,39,66,82,208,569,1893,4997,4928,12825,690,1449,3272,9394,17114,27655,32601,21144,6337,119661,869,656,1160,2795,8154,19381,30209,25217,10989,99428,585,395,745,1251,1994,3345,5032,4985,2551,20881,428,331,592,994,2228,5022,8019,7471,3158,28247,7928,19724,29416,26704,24661,19972,12611,6676,3222,150928,193,134,273,649,1699,3565,6036,6255,3109,21912,19963,13702,16067,19856,23619,27530,23245,13809,6668,164458,368919,232264,288600,258940,194864,132963,70745,27869,6999,1582157,32514,23522,30580,25804,22595,17831,11986,7603,3561,176004,457860,309316,390596,363898,306343,256625,190191,107396,38491,2420718,308,1431,4749,10253,24518,45899,61630,50049,26100,224937,20259,24674,36521,33410,29512,25048,22196,13313,5327,210255,355,489,1552,3908,9049,14094,17592,12615,5574,65231,24,22,47,62,178,531,2049,6682,10669,20274,607,1364,3550,7232,12832,21101,26227,19060,8267,100251,661,588,1078,1613,3865,8781,16102,18335,13397,64412
2RVIC,143,361,1422,2974,6633,14401,20990,14479,4895,66288,13017,8484,8743,8726,7748,8099,7600,4026,1166,67609,151,189,353,786,1780,4937,9825,7589,2349,27951,8,24,25,34,93,314,1013,2110,1782,5401,244,572,1051,2056,4980,9811,14860,9268,2423,45258,329,271,421,879,3040,8821,16356,12688,4795,47603,201,150,217,336,674,1354,2389,2263,1019,8597,188,127,239,491,1279,3646,6150,4823,1623,18559,4209,8142,9827,9992,11155,10995,8094,3449,1201,67070,66,75,111,241,720,1763,3262,3043,1279,10562,7326,4608,4585,5577,7822,10884,10304,5509,2243,58858,106129,59387,60606,54502,53884,48128,33416,12639,2949,431635,13624,8800,9339,9048,9541,9488,8086,4734,1993,74649,142208,87154,91461,87790,95064,103961,98445,52439,16515,775038,136,606,2010,4519,11314,23884,33205,23498,10996,110165,8948,9123,12072,11999,12046,12958,12318,6634,2303,88405,124,176,479,1289,3166,6369,8648,5979,2428,28659,12,25,31,27,78,255,897,2435,3663,7426,241,551,1156,2218,4392,8141,10839,7515,2922,37968,233,244,417,664,1771,4615,8746,8835,5931,31451
29499,0,4,15,27,53,54,56,17,0,224,41,34,52,48,52,31,22,12,0,296,0,0,4,6,14,14,28,11,0,79,0,0,0,0,8,0,0,3,0,18,0,0,4,13,31,38,45,9,0,145,0,3,4,9,30,40,59,18,0,165,0,0,0,3,15,9,4,6,0,38,0,4,8,3,33,17,25,4,0,88,23,100,125,162,164,82,35,9,0,700,0,0,0,5,6,8,9,4,0,39,47,32,52,64,78,61,38,3,0,379,240,225,360,256,202,157,101,22,0,1568,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,0,3,23,28,54,69,50,20,6,263,31,57,78,74,59,52,23,7,5,389,0,0,4,9,9,24,12,0,0,65,0,0,0,0,0,0,0,0,0,11,0,0,7,13,31,17,7,4,0,91,0,6,3,11,12,15,14,11,6,69
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
