GCCSA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
2GMEL,150571,654570,650141,195815,107199,1758300,23050,1781346
2RVIC,28777,201669,230804,84463,52610,598324,10561,608887
29499,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0
