GCCSA_CODE_2021,M_15_19y_DUDW_LT_5_h,M_15_19y_DUDW_5_14_h,M_15_19y_DUDW_15_29_h,M_15_19y_DUDW_30_h_mo,M_15_19y_DNUDW,M_15_19y_UDW_NS,M_15_19y_Total,M_20_24y_DUDW_LT_5_h,M_20_24y_DUDW_5_14_h,M_20_24y_DUDW_15_29_h,M_20_24y_DUDW_30_h_mo,M_20_24y_DNUDW,M_20_24y_UDW_NS,M_20_24y_Total,M_25_34y_DUDW_LT_5_h,M_25_34y_DUDW_5_14_h,M_25_34y_DUDW_15_29_h,M_25_34y_DUDW_30_h_mo,M_25_34y_DNUDW,M_25_34y_UDW_NS,M_25_34y_Total,M_35_44y_DUDW_LT_5_h,M_35_44y_DUDW_5_14_h,M_35_44y_DUDW_15_29_h,M_35_44y_DUDW_30_h_mo,M_35_44y_DNUDW,M_35_44y_UDW_NS,M_35_44y_Total,M_45_54y_DUDW_LT_5_h,M_45_54y_DUDW_5_14_h,M_45_54y_DUDW_15_29_h,M_45_54y_DUDW_30_h_mo,M_45_54y_DNUDW,M_45_54y_UDW_NS,M_45_54y_Total,M_55_64y_DUDW_LT_5_h,M_55_64y_DUDW_5_14_h,M_55_64y_DUDW_15_29_h,M_55_64y_DUDW_30_h_mo,M_55_64y_DNUDW,M_55_64y_UDW_NS,M_55_64y_Total,M_65_74y_DUDW_LT_5_h,M_65_74y_DUDW_5_14_h,M_65_74y_DUDW_15_29_h,M_65_74y_DUDW_30_h_mo,M_65_74y_DNUDW,M_65_74y_UDW_NS,M_65_74y_Total,M_75_84y_DUDW_LT_5_h,M_75_84y_DUDW_5_14_h,M_75_84y_DUDW_15_29_h,M_75_84y_DUDW_30_h_mo,M_75_84y_DNUDW,M_75_84y_UDW_NS,M_75_84y_Total,M_85y_ov_DUDW_LT_5_h,M_85y_ov_DUDW_5_14_h,M_85y_ov_DUDW_15_29_h,M_85y_ov_DUDW_30_h_mo,M_85y_ov_DNUDW,M_85y_ov_UDW_NS,M_85y_ov_Total,M_Tot_DUDW_LT_5_h,M_Tot_DUDW_5_14_h,M_Tot_DUDW_15_29_h,M_Tot_DUDW_30_h_mo,M_Tot_DNUDW,M_Tot_UDW_NS,M_Tot_Total,F_15_19y_DUDW_LT_5_h,F_15_19y_DUDW_5_14_h,F_15_19y_DUDW_15_29_h,F_15_19y_DUDW_30_h_mo,F_15_19y_DNUDW,F_15_19y_UDW_NS,F_15_19y_Total,F_20_24y_DUDW_LT_5_h,F_20_24y_DUDW_5_14_h,F_20_24y_DUDW_15_29_h,F_20_24y_DUDW_30_h_mo,F_20_24y_DNUDW,F_20_24y_UDW_NS,F_20_24y_Total,F_25_34y_DUDW_LT_5_h,F_25_34y_DUDW_5_14_h,F_25_34y_DUDW_15_29_h,F_25_34y_DUDW_30_h_mo,F_25_34y_DNUDW,F_25_34y_UDW_NS,F_25_34y_Total,F_35_44y_DUDW_LT_5_h,F_35_44y_DUDW_5_14_h,F_35_44y_DUDW_15_29_h,F_35_44y_DUDW_30_h_mo,F_35_44y_DNUDW,F_35_44y_UDW_NS,F_35_44y_Total,F_45_54y_DUDW_LT_5_h,F_45_54y_DUDW_5_14_h,F_45_54y_DUDW_15_29_h,F_45_54y_DUDW_30_h_mo,F_45_54y_DNUDW,F_45_54y_UDW_NS,F_45_54y_Total,F_55_64y_DUDW_LT_5_h,F_55_64y_DUDW_5_14_h,F_55_64y_DUDW_15_29_h,F_55_64y_DUDW_30_h_mo,F_55_64y_DNUDW,F_55_64y_UDW_NS,F_55_64y_Total,F_65_74y_DUDW_LT_5_h,F_65_74y_DUDW_5_14_h,F_65_74y_DUDW_15_29_h,F_65_74y_DUDW_30_h_mo,F_65_74y_DNUDW,F_65_74y_UDW_NS,F_65_74y_Total,F_75_84y_DUDW_LT_5_h,F_75_84y_DUDW_5_14_h,F_75_84y_DUDW_15_29_h,F_75_84y_DUDW_30_h_mo,F_75_84y_DNUDW,F_75_84y_UDW_NS,F_75_84y_Total,F_85y_ov_DUDW_LT_5_h,F_85y_ov_DUDW_5_14_h,F_85y_ov_DUDW_15_29_h,F_85y_ov_DUDW_30_h_mo,F_85y_ov_DNUDW,F_85y_ov_UDW_NS,F_85y_ov_Total,F_Tot_DUDW_LT_5_h,F_Tot_DUDW_5_14_h,F_Tot_DUDW_15_29_h,F_Tot_DUDW_30_h_mo,F_Tot_DNUDW,F_Tot_UDW_NS,F_Tot_Total,P_15_19y_DUDW_LT_5_h,P_15_19y_DUDW_5_14_h,P_15_19y_DUDW_15_29_h,P_15_19y_DUDW_30_h_mo,P_15_19y_DNUDW,P_15_19y_UDW_NS,P_15_19y_Total,P_20_24y_DUDW_LT_5_h,P_20_24y_DUDW_5_14_h,P_20_24y_DUDW_15_29_h,P_20_24y_DUDW_30_h_mo,P_20_24y_DNUDW,P_20_24y_UDW_NS,P_20_24y_Total,P_25_34y_DUDW_LT_5_h,P_25_34y_DUDW_5_14_h,P_25_34y_DUDW_15_29_h,P_25_34y_DUDW_30_h_mo,P_25_34y_DNUDW,P_25_34y_UDW_NS,P_25_34y_Total,P_35_44y_DUDW_LT_5_h,P_35_44y_DUDW_5_14_h,P_35_44y_DUDW_15_29_h,P_35_44y_DUDW_30_h_mo,P_35_44y_DNUDW,P_35_44y_UDW_NS,P_35_44y_Total,P_45_54y_DUDW_LT_5_h,P_45_54y_DUDW_5_14_h,P_45_54y_DUDW_15_29_h,P_45_54y_DUDW_30_h_mo,P_45_54y_DNUDW,P_45_54y_UDW_NS,P_45_54y_Total,P_55_64y_DUDW_LT_5_h,P_55_64y_DUDW_5_14_h,P_55_64y_DUDW_15_29_h,P_55_64y_DUDW_30_h_mo,P_55_64y_DNUDW,P_55_64y_UDW_NS,P_55_64y_Total,P_65_74y_DUDW_LT_5_h,P_65_74y_DUDW_5_14_h,P_65_74y_DUDW_15_29_h,P_65_74y_DUDW_30_h_mo,P_65_74y_DNUDW,P_65_74y_UDW_NS,P_65_74y_Total,P_75_84y_DUDW_LT_5_h,P_75_84y_DUDW_5_14_h,P_75_84y_DUDW_15_29_h,P_75_84y_DUDW_30_h_mo,P_75_84y_DNUDW,P_75_84y_UDW_NS,P_75_84y_Total,P_85y_ov_DUDW_LT_5_h,P_85y_ov_DUDW_5_14_h,P_85y_ov_DUDW_15_29_h,P_85y_ov_DUDW_30_h_mo
2GMEL,59233,10035,835,387,63172,7208,140865,55551,24721,3201,1414,73052,10509,168453,105290,101312,18435,7333,131033,27199,390596,84492,120109,33496,13496,91271,21041,363898,75822,104814,27253,10500,72312,15640,306343,60228,82866,23019,9393,69004,12109,256625,35493,54224,21928,10468,58743,9339,190191,17510,24817,11599,6350,39747,7374,107396,5277,5900,2636,1769,18804,4101,38491,498896,528796,142409,61107,617134,114517,1962857,59588,14599,1557,547,50958,6583,133838,53374,37315,6663,3147,50930,8661,160090,74663,121791,42297,40530,95465,23343,398093,38151,108636,71435,69732,65179,18074,371203,32786,107512,67747,47763,53247,13706,322760,28317,86282,54839,37584,55054,11274,273358,17830,52003,43706,33552,57356,10379,214827,12106,24697,20430,16954,44281,9136,127601,6442,8075,4316,2947,32107,7644,61530,323259,560911,313008,252756,504568,108806,2063309,118816,24637,2393,936,114129,13788,274698,108926,62035,9866,4558,123982,19169,328543,179954,223107,60735,47862,226502,50537,788689,122644,228748,104928,83225,156449,39114,735102,108605,212324,95007,58264,125556,29348,629107,88544,169151,77860,46973,124058,23388,529975,53326,106222,65640,44021,116098,19718,405027,29621,49508,32028,23299,84027,16512,234998,11721,13974,6953,4718
2RVIC,19921,3459,288,143,17928,3673,45414,14425,6855,987,441,15822,3202,41733,24905,26456,5875,2599,23841,7775,91461,21011,30444,9190,4120,15817,7210,87790,23425,32376,9240,4051,18809,7173,95064,23997,32837,10575,5175,24268,7112,103961,16663,26883,12973,7801,27073,7061,98445,7298,11529,6231,4551,17900,4925,52439,1950,2261,1261,1012,7679,2353,16515,153603,173101,56617,29888,169135,50478,632831,19729,4976,547,211,13783,3385,42621,11914,10643,2464,1597,10175,2607,39392,13272,29732,13797,15357,15268,6092,93516,8106,28943,20839,20196,9986,6020,94090,9923,36158,22313,14793,12180,5950,101314,10858,35520,24289,16446,18146,6270,111524,6703,22650,22054,20123,23328,6615,101472,4258,9570,9137,9832,18679,5731,57215,2396,3000,1863,1584,13033,4036,25907,87153,181194,117295,100135,134576,46706,667057,39655,8436,832,355,31710,7058,88042,26339,17496,3452,2037,26002,5811,81124,38181,56191,19672,17955,39111,13868,184984,29121,59389,30026,24312,25805,13232,181883,33348,68526,31556,18839,30988,13120,196379,34849,68355,34860,21624,42411,13381,215485,23365,49529,35026,27924,50397,13674,199919,11559,21104,15372,14387,36577,10654,109653,4346,5265,3119,2596
29499,44,14,0,0,76,88,234,71,36,13,6,95,125,345,147,124,29,16,241,391,939,127,116,30,24,176,525,1008,105,91,24,17,209,465,912,82,82,19,13,153,291,644,54,70,11,13,113,136,392,18,9,6,0,28,27,90,0,0,0,0,0,11,15,643,546,134,92,1104,2058,4576,62,22,4,8,56,87,229,75,47,20,10,74,93,321,126,166,61,69,150,313,878,75,103,58,75,77,343,730,62,82,39,36,83,178,479,62,111,46,25,67,118,429,31,37,30,10,49,63,224,7,12,3,6,28,6,58,0,0,0,0,9,10,19,499,574,256,237,589,1214,3373,109,32,7,8,128,182,459,140,82,33,18,178,218,671,272,284,85,83,387,699,1819,204,221,84,96,251,871,1736,169,173,59,54,297,643,1393,148,190,63,42,220,409,1074,78,105,46,22,162,195,613,24,21,8,4,59,38,152,4,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,0,7,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,24,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,9,16,0,0,0,0,0,3,3,0,0,0,0,0,9,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
