GCCSA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2GMEL,66113,123059,310814,284853,246605,163264,38704,3656,260,1237324,62571,29531,66482,70033,63706,100091,166648,115427,53886,728373,5150,7503,20801,16321,12449,9998,9480,8526,7381,97610,133838,160090,398093,371203,322760,273358,214827,127601,61530,2063309,12937,92307,404371,388034,328618,202997,37822,2693,150,1469932,78137,116253,163897,157651,135085,111254,45410,7108,465,815265,11506,15108,31563,23802,15243,15503,5841,904,103,119571,1627,5156,12734,8941,6080,3826,1278,430,150,40224,104206,228826,612555,578433,485019,333593,90351,11140,861,2444991,3027,10036,19471,14271,12612,8916,1211,66,18,69628,20341,12835,10886,8183,6641,6227,1783,200,20,67122,23372,22874,30363,22460,19253,15141,2996,262,34,136749,127580,251692,642920,600896,504273,348731,93346,11399,895,2581742,136422,60554,102142,100295,98761,160688,293685,208234,87798,1248587,10699,16291,43630,33910,26075,20560,17990,15356,11329,195836,274698,328543,788689,735102,629107,529975,405027,234998,100021,4026163
2RVIC,24360,30435,71464,72337,77995,67261,17847,2119,237,364053,15787,6552,16392,16115,17814,38415,77587,49882,21913,260462,2474,2403,5664,5641,5507,5848,6040,5208,3754,42540,42621,39392,93516,94090,101314,111524,101472,57215,25907,667057,9222,30974,88208,85751,94893,72526,16454,2196,198,400417,29128,23551,41393,46135,45996,49462,21392,3436,334,260831,3972,3309,9013,6465,5902,8498,3177,443,78,40862,1153,1401,2944,2363,2437,1981,1054,514,133,13985,43470,59238,141550,140714,149227,132460,42077,6593,751,716097,1300,2396,3707,2680,3053,2664,365,14,5,16186,3942,1798,2187,1694,1713,2181,632,79,15,14245,5242,4195,5892,4369,4765,4846,997,98,20,30433,48713,63432,147445,145086,154000,137307,43073,6692,769,746527,34197,12503,25928,25556,30812,66007,144470,93401,35735,468616,5135,5187,11602,11244,11574,12162,12370,9562,5919,84747,88042,81124,184984,181883,196379,215485,199919,109653,42424,1299885
29499,62,133,338,166,112,121,15,6,0,961,83,102,233,223,191,200,141,48,8,1228,79,92,300,346,179,113,61,14,6,1186,229,321,878,730,479,429,224,58,19,3373,25,91,327,204,150,102,13,0,0,919,44,99,215,96,90,88,22,3,0,646,9,21,42,30,28,24,7,0,0,164,6,7,16,14,15,7,0,4,0,69,82,217,600,341,277,227,47,11,0,1797,18,41,89,84,57,35,3,0,0,329,29,31,37,24,13,11,6,0,0,163,45,68,132,110,69,51,11,0,0,485,130,282,733,454,352,279,60,11,0,2281,165,173,401,418,406,397,362,104,16,2447,172,214,688,867,639,405,190,34,13,3220,459,671,1819,1736,1393,1074,613,152,29,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,4,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
