GCCSA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
2GMEL,76764,152538,116050,797068,8891,1151312,1214,2397,1352,26680,429,32069,380784,5769,11209,9503,2025,409285,26868,4206,2271,8672,278,42294,31283,10975,6925,23696,318,73201,287537,126245,94061,739625,9927,1257388,71982,1767,6988,1481,252,82470,16118,2502,1859,7792,147,28426,44185,13714,9683,72033,938,140552,100359,16339,8637,45101,1049,171480,11942,2466,1433,4552,148,20532,249671,4662,3319,2526,516,260693,68156,31844,21953,284276,2263,408482,149579,36607,17419,118166,1890,323654,18300,220,780,231,51,19579,30578,6956,3264,6474,238,47513,31082,4287,2411,8184,268,46233,34335,8499,5059,22824,402,71113,16268,2322,1767,1172,156,21688,18291,6244,4658,2563,152,31908,30803,5425,4140,11922,266,52559,17993,1630,1729,2968,144,24463,18898,1567,722,298,217,21701,67803,30797,23550,225791,1800,349731,20697,2185,1349,2489,214,26936,16423,2736,2199,1003,77,22444,18616,1539,1311,3185,129,24776,41092,2893,2025,2245,156,48413,109584,1910,3682,1792,535,117501,8871,2553,1839,9653,71,22989,755825,51479,42750,60021,5180,915267,41148,2593,2036,14052,205599,265424,2424246,320726,235559,1699727,237495,4917750
2RVIC,8638,47505,34252,519374,7764,617538,199,1122,623,27762,520,30223,12784,539,892,3637,131,17980,4995,980,463,2402,88,8932,14165,5331,3317,12875,255,35936,72623,44239,32319,483374,8192,640747,9973,289,1842,411,140,12661,2221,520,438,3456,42,6673,12894,4882,3470,50154,701,72104,4313,1217,457,3552,82,9622,2247,582,268,1118,35,4249,14428,632,309,555,45,15978,15735,10726,6998,167304,1918,202673,18525,6316,2487,32956,531,60811,766,30,82,42,4,927,597,237,91,613,13,1553,1813,353,163,822,20,3173,4165,1328,682,4110,86,10373,2286,688,506,605,44,4134,3587,1959,1446,1200,62,8251,4725,1172,673,3315,80,9961,1570,304,236,788,23,2917,968,209,91,76,19,1359,19510,12073,8770,142241,1557,184153,2108,321,179,543,27,3179,2381,520,363,324,24,3615,2063,356,266,1342,34,4059,1600,296,177,258,16,2347,3107,106,252,82,25,3580,2735,997,641,4578,59,9003,63013,8940,6846,18504,985,98286,3452,725,548,12888,91981,109586,258465,89701,63160,1054623,110663,1576613
29499,61,230,123,1415,47,1874,7,9,6,208,5,242,179,7,4,13,0,206,18,0,0,0,0,24,53,31,5,42,0,126,370,173,124,1249,35,1952,54,0,8,0,0,55,25,5,0,14,0,47,74,23,13,136,4,250,34,18,4,18,0,77,11,0,0,6,0,21,95,0,4,3,0,99,106,48,23,445,7,626,72,22,20,106,3,222,4,0,0,0,0,7,27,6,0,8,0,38,10,0,0,8,0,19,12,8,6,27,0,53,44,0,9,5,0,58,43,12,5,0,3,65,23,6,3,19,0,52,18,0,0,0,0,18,23,0,0,0,0,23,103,60,48,350,7,572,22,0,0,0,0,23,14,0,0,0,0,21,20,3,0,3,0,29,19,5,0,0,0,26,48,0,3,0,0,48,14,5,5,15,4,37,595,69,42,93,19,810,32,9,4,45,3572,3671,1800,426,258,2909,3693,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,3,0,0,7,28,38
