GCCSA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
2GMEL,337829,656333,296021,256199,314570,202049,142288,191239,48452,2444991
2RVIC,104102,134293,103181,91143,77728,61142,45469,85735,13304,716097
29499,174,334,250,227,143,129,177,308,49,1797
29799,0,4,0,0,0,0,0,4,0,15
