GCCSA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
2GMEL,37,2000,841,390,2243,0.9,1901,2.6
2RVIC,43,1430,713,285,1808,0.7,1386,2.4
29499,0,0,0,0,0,0,0,0
29799,50,0,2200,0,0,0,0,0
