GCCSA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
2GMEL,136,29,31,26,140639,140865,3030,157,103,67,165099,168453,109246,3997,5026,274,272051,390596,231052,10401,17306,609,104520,363898,197262,14117,29761,1610,63597,306343,169667,11817,34546,3842,36750,256625,134830,7591,24079,7818,15877,190191,77640,2959,9865,11728,5208,107396,22587,593,1928,11933,1452,38491,945458,51662,122645,37902,805192,1962857,212,30,27,25,133548,133838,7386,457,251,55,151936,160090,148035,6782,8215,483,234581,398093,236166,14752,25082,1793,93416,371203,197411,17864,44638,4989,57852,322760,164500,13487,50100,13589,31683,273358,124415,7733,37454,31065,14165,214827,57669,2470,15432,47072,4957,127601,11276,395,3582,44262,2013,61530,947070,63964,184790,143335,724151,2063309,351,58,59,49,274186,274698,10418,614,355,122,317038,328543,257283,10779,13245,750,506631,788689,467220,25158,42384,2407,197935,735102,394674,31980,74403,6601,121446,629107,334162,25303,84643,17427,68440,529975,259243,15321,61536,38883,30045,405027,135313,5429,25299,58802,10160,234998,33865,995,5505,56195,3462,100021,1892523,115627,307429,181240,1529339,4026163
2RVIC,31,16,9,11,45343,45414,750,69,24,31,40867,41733,24836,1381,1114,84,64052,91461,49086,3570,4948,208,29976,87790,53734,5379,11222,667,24052,95064,62863,5502,16669,2022,16907,103961,65676,4464,15376,4539,8384,98445,36124,1570,5757,6385,2598,52439,9018,268,881,5670,677,16515,302124,22223,56006,19615,232863,632831,40,14,7,22,42549,42621,1398,158,28,28,37786,39392,31569,2269,1796,182,57704,93516,52697,5135,6945,602,28715,94090,56353,6487,15735,1858,20886,101314,65251,5973,21606,5686,13005,111524,60906,3737,17811,13440,5572,101472,27437,976,6560,20406,1837,57215,4663,171,1239,19152,676,25907,300307,24917,71726,61373,208733,667057,68,32,14,32,87893,88042,2144,223,55,58,78648,81124,56407,3650,2908,261,121754,184984,101784,8706,11889,809,58692,181883,110085,11870,26959,2521,44942,196379,128115,11477,38273,7706,29909,215485,126584,8204,33186,17984,13965,199919,63562,2545,12320,26789,4436,109653,13680,440,2122,24821,1356,42424,602431,47142,127729,80991,441593,1299885
29499,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
