GCCSA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2GMEL,50905,11749,100021,822153,1089712,455417,313864,1121700,223318,4026163
2RVIC,20710,6383,42424,240758,354300,173912,130023,303717,97186,1299885
29499,12,17,29,1148,1118,391,326,1694,3270,7946
29799,0,0,0,0,3,0,0,8,27,38
