GCCSA_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
2GMEL,18,54,80,1213,823,757,724,383,70,4122,292,3533,10303,42466,13852,12152,7016,2624,1298,93531,3,10,31,731,657,1467,1778,1506,558,6739,20,346,516,1468,629,1012,1381,925,435,6734,275,2592,3711,12946,9677,12275,11065,8415,3762,64716,10,107,325,2376,1331,1126,628,263,84,6249,19,135,210,1576,486,346,302,153,108,3337,28,132,357,2092,1068,1028,2436,1974,989,10104,15,217,462,1022,1211,3056,6106,8573,3390,24059,108,732,1123,5093,1747,2106,1557,294,110,12876,1041,6849,9970,70775,9049,6562,4518,1917,709,111393,52,293,1655,5710,1624,729,755,230,71,11120,43,688,1048,5516,1176,729,399,172,51,9825,28,1057,1453,5060,2089,1418,797,392,103,12402,19,284,281,3154,824,836,813,548,288,7051,15,179,316,1840,1047,3897,8230,8679,5490,29689,55,277,433,2908,1402,451,289,95,52,5968,49,321,815,4810,1421,555,234,88,18,8298,47,184,361,2253,2011,2056,1335,505,165,8923,143,1351,3200,12619,4140,4021,3542,1165,300,30478
2RVIC,0,6,3,61,49,48,33,21,0,224,13,129,248,1506,488,368,201,67,16,3026,0,0,4,78,103,208,335,322,133,1184,3,32,32,103,6,31,61,25,5,312,51,498,566,2215,2376,4859,5474,3811,1473,21325,3,14,37,196,123,85,57,14,0,521,0,22,21,204,60,81,66,28,10,501,7,27,53,437,225,393,1151,674,333,3313,5,8,5,34,38,102,217,244,111,759,5,41,46,209,45,72,41,6,3,470,66,408,706,4456,430,322,246,103,33,6778,5,41,61,388,171,61,75,21,11,836,0,56,71,210,43,32,16,9,0,442,3,41,44,228,93,39,17,12,0,474,4,74,47,345,160,180,214,146,70,1238,5,13,20,122,98,385,953,925,601,3122,3,33,30,252,131,59,34,11,10,560,4,19,28,272,45,23,9,0,0,406,0,6,5,35,24,45,20,12,0,142,9,130,229,1269,399,329,134,37,7,2550
29499,0,0,0,6,6,0,0,0,0,8,0,0,3,15,8,0,3,0,0,34,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3,3,0,3,22,6,12,8,9,0,75,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,10,0,0,0,5,0,4,0,6,0,16,0,0,0,5,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,0,3,3,20,4,0,0,0,0,29,0,0,0,4,3,0,0,0,0,14,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,4,9,0,0,0,0,0,7,0,0,0,0,0,0,5,3,0,9,0,0,0,3,0,0,0,0,0,9,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,6,25,5,0,0,0,0,34
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
