GCCSA_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
2GMEL,71,294,697,3757,2157,2077,4526,3941,1601,19125,28,431,888,2201,2539,6437,10793,15357,6281,44956,221,1592,2327,9624,3150,3723,2933,648,199,24428,2134,14036,24795,154543,21133,12396,8799,3652,1147,242635,98,590,3008,9725,2736,1217,1309,477,129,19294,87,1431,2191,11619,2794,1528,832,345,99,20922,61,2244,2959,9766,4478,3091,1593,670,176,25041,57,562,575,6819,1884,1702,1573,1071,508,14742,26,357,630,4734,2471,8101,16035,15956,9767,58081,118,566,830,3827,1846,652,444,133,63,8476,97,668,1566,8311,2507,979,410,172,34,14730,105,380,717,4906,3944,4014,2784,1177,304,18333,271,2706,6605,24338,7547,6999,6217,2177,492,57345,0,30,79,508,679,2327,5920,4230,1352,15128,12,124,720,4045,1452,2250,1825,883,393,11700,26,440,1930,6365,1845,944,528,220,96,12392,45,330,4951,12135,629,261,131,27,0,18510,28,220,346,1324,996,1187,3352,2800,1296,11558,945,7419,10529,32413,13204,10228,5523,2092,572,82939,11,112,274,3099,2771,3981,4881,2230,680,18028
2RVIC,18,63,93,664,442,708,2258,1423,552,6209,5,17,18,69,92,259,519,483,207,1664,13,82,116,366,90,110,94,14,3,884,127,829,1763,10238,1095,609,499,232,67,15463,13,73,119,615,245,88,116,45,17,1332,6,114,159,457,112,76,32,17,4,978,0,101,110,451,199,115,40,14,8,1036,4,133,119,750,371,403,462,308,137,2689,5,29,51,352,231,829,2189,1891,1131,6700,7,53,54,325,172,80,50,14,15,766,10,45,65,461,60,39,13,8,3,696,4,10,16,96,58,84,46,25,11,351,20,265,534,2787,753,536,248,73,16,5243,0,4,11,48,61,299,760,426,103,1712,0,11,59,228,89,109,95,32,9,642,4,32,168,959,307,175,113,44,13,1823,9,53,265,1248,49,11,6,0,0,1632,9,42,63,353,347,692,2705,2044,655,6901,82,739,1088,4277,3118,3342,2473,944,190,16247,0,3,0,97,107,223,320,169,64,986
29499,0,0,0,9,0,11,3,0,0,33,0,0,0,5,0,0,0,0,0,10,0,3,5,0,0,0,5,0,0,9,0,4,9,71,4,0,0,0,0,90,0,0,0,11,3,0,0,0,0,15,0,3,0,12,5,0,0,0,0,24,0,4,0,0,0,0,0,0,0,11,0,0,0,17,0,0,0,0,0,27,0,0,0,3,0,0,5,0,0,13,0,0,0,7,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,10,0,4,0,6,5,0,0,0,0,14,0,0,12,43,13,6,0,0,0,74,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,8,3,0,22,0,0,17,64,27,23,14,6,0,157,0,0,0,4,0,0,0,0,0,3
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
