GCCSA_CODE_2021,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_3499_15_19_yrs,F_3000_3499_20_24_yrs,F_3000_3499_25_34_yrs,F_3000_3499_35_44_yrs,F_3000_3499_45_54_yrs,F_3000_3499_55_64_yrs,F_3000_3499_65_74_yrs,F_3000_3499_75_84_yrs,F_3000_3499_85ov,F_3000_3499_Tot,F_3500_more_15_19_yrs,F_3500_more_20_24_yrs,F_3500_more_25_34_yrs,F_3500_more_35_44_yrs,F_3500_more_45_54_yrs,F_3500_more_55_64_yrs,F_3500_more_65_74_yrs,F_3500_more_75_84_yrs,F_3500_more_85ov,F_3500_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot
2GMEL,6624,15957,16595,15647,16217,21399,34377,23697,7246,157761,3854,14424,17523,16470,17281,20168,34812,30695,17895,173122,3212,17907,27540,24172,22917,21364,23365,14788,6771,162036,1858,15829,31340,28207,25172,21207,16556,8559,3034,151767,1106,16875,41010,33194,29979,22955,12826,5455,2142,165554,476,15079,49890,36385,32032,24260,10667,3475,1143,173408,135,7824,43717,30061,24541,17400,6427,1887,650,132651,76,3040,36852,28712,23468,15367,4941,1698,652,114801,35,1037,22225,22418,17542,10892,3225,929,357,78659,36,738,27734,39548,30726,16539,4132,1270,474,121188,26,165,3729,8734,7524,3770,1115,415,184,25649,54,220,3159,12789,14380,6748,2436,1082,490,41366,6976,9294,23335,18631,15383,12796,12613,11958,11849,122834,133838,160090,398093,371203,322760,273358,214827,127601,61530,2063309,132239,34515,48284,44789,37243,50379,40517,16792,6868,411627,56731,16052,9486,10312,9743,12910,13335,6140,2162,136880,31728,32349,21212,19317,18177,23311,26187,15413,5459,193155,11712,29211,28816,24081,25759,34585,60934,47196,15135,277429,8276,26888,29178,24482,26343,31691,55732,46547,25355,274490,8646,34793,44955,34820,33100,33543,40625,25953,10281,266724
2RVIC,2172,3539,4843,4677,5696,9757,18954,11325,2847,63819,1726,3463,5470,5728,6757,10434,18662,14616,8106,74970,1649,4981,9036,8831,9151,11086,12975,7250,3306,68255,1050,5360,10309,9678,9940,10233,8508,4034,1270,60390,636,5556,11754,10505,11103,10263,5835,2319,817,58782,287,3866,11764,10352,11253,10104,4363,1296,444,53721,66,1928,8517,7504,7846,6515,2292,674,196,35546,27,781,6997,6596,6901,5316,1732,691,289,29330,17,252,3694,4491,4921,3474,1015,268,109,18234,11,172,3623,6221,7131,4706,1175,324,113,23476,10,27,394,1025,1212,834,312,102,41,3945,25,63,484,1543,1941,1458,709,393,135,6749,3520,2831,6297,6333,6645,7195,8006,7101,5906,53840,42621,39392,93516,94090,101314,111524,101472,57215,25907,667057,30996,4425,7450,7077,7808,15560,11527,4093,1538,90475,20965,2320,2342,2550,2740,4985,5543,2220,701,44366,10553,6372,6014,5564,6167,10328,12664,6362,1869,65888,3850,6259,8139,7436,9474,16331,34618,23192,6117,115419,4043,6159,8661,8486,10793,17044,32753,23872,11723,123531,4579,9070,12984,12009,13136,17354,23862,13434,4969,111399
29499,11,34,59,63,49,44,42,6,0,301,7,33,60,51,50,62,43,19,6,319,9,35,78,49,35,28,18,7,0,257,0,15,72,30,29,19,9,3,0,180,4,18,57,21,23,17,7,0,0,156,0,9,44,16,17,19,5,0,0,113,0,5,28,12,6,12,9,0,0,69,0,0,30,12,5,8,5,0,0,64,0,3,19,7,3,5,0,0,0,41,0,0,21,21,6,6,0,0,0,49,0,0,0,3,0,5,0,0,0,13,0,0,10,11,3,5,0,0,0,22,81,91,297,337,180,119,59,13,8,1184,229,321,878,730,479,429,224,58,19,3373,106,45,102,107,83,80,40,7,6,577,24,20,23,24,31,27,10,5,0,156,77,88,100,98,94,50,24,8,0,544,17,60,144,152,122,113,94,16,7,727,12,50,92,96,110,114,105,42,11,626,15,54,108,86,66,52,40,14,5,442
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
