GCCSA_CODE_2021,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2GMEL,1728,1633,3363,142143,134577,276722,5382,5185,10571,149255,141400,290649,1611,1557,3168,150194,142081,292278,6169,5909,12072,157973,149552,307523,1592,1563,3155,143204,135691,278897,5840,5523,11366,150634,142778,293410,1523,1424,2939,134055,127507,261562,5290,4910,10205,140865,133838,274698,1662,1659,3321,159339,151903,311247,7450,6524,13977,168453,160090,328543,1615,1478,3097,181784,179525,361311,9815,8919,18732,193215,189925,383135,1309,1258,2565,187174,198093,385262,8904,8824,17723,197383,208174,405556,1045,957,2000,185525,192009,377532,8258,8008,16269,194831,200968,395798,875,878,1753,161167,163083,324250,7025,6270,13297,169068,170237,339303,862,874,1736,149400,157121,306525,6278,5823,12101,156543,163821,320361,868,827,1693,143096,152846,295947,5843,5268,11112,149807,158943,308742,594,706,1301,129719,137068,266789,5237,4655,9889,135553,142429,277976,516,485,1005,116182,126243,242426,4371,4207,8576,121073,130934,252005,880,991,1866,321021,385930,706954,14180,17043,31222,336076,403968,740045,16672,16281,32952,2304008,2383683,4687695,100037,97070,197103,2420718,2497033,4917750
2RVIC,1812,1807,3613,39120,37698,76819,2261,2137,4400,43195,41636,84837,1995,1879,3875,43512,41026,84538,3055,2785,5838,48558,45693,94252,1968,1836,3807,45378,42489,87871,3108,2863,5968,50457,47190,97643,1521,1527,3050,41261,38545,79807,2634,2549,5186,45414,42621,88042,1288,1289,2574,37924,35879,73805,2525,2226,4744,41733,39392,81124,1171,1174,2346,41919,41855,83777,2706,2649,5350,45802,45675,91470,978,1044,2024,42037,44256,86294,2645,2553,5196,45663,47849,93507,825,870,1691,41412,44575,85985,2691,2818,5513,44925,48263,93191,686,784,1472,39568,42446,82012,2611,2597,5204,42862,45823,88692,717,779,1494,42721,45720,88444,2827,2671,5499,46266,49169,95436,742,842,1586,45137,48671,93806,2923,2632,5549,48795,52146,100937,693,725,1421,47042,51188,98232,2985,2736,5719,50726,54645,105372,563,646,1211,49633,53425,103056,3040,2812,5844,53233,56876,110111,979,1094,2078,156258,172722,328985,10161,10778,20936,167400,184593,351994,15946,16293,32234,712928,740500,1453429,46169,44784,90953,775038,801575,1576613
29499,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194,188,378,23,31,52,234,229,459,27,20,49,282,278,555,35,28,65,345,321,671,23,22,40,379,381,756,74,52,126,474,450,928,18,21,43,358,351,713,81,51,134,463,425,892,23,22,45,382,328,706,118,59,174,515,416,929,23,20,41,339,253,597,119,45,166,488,321,806,22,20,36,354,183,538,114,40,151,483,238,723,23,5,33,275,183,453,129,47,184,427,242,668,12,9,24,243,179,419,87,26,115,353,212,563,9,4,13,212,189,397,76,31,103,288,217,511,11,9,18,387,238,626,102,54,154,496,300,797,246,214,462,3882,3169,7052,1042,537,1580,5170,3915,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,3,0,3,7,0,7,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,3,3,3,5,5,6,9,0,0,0,4,0,4,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,10,0,13,24,3,27,36,6,38
