GCCSA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
2GMEL,49493,115736,316019,305215,247898,176983,52681,7562,610,1272202,157,434,1287,1329,1430,1120,449,142,10,6359,5,32,189,299,303,107,31,5,0,977,2391,3338,10560,12763,13446,9017,1799,167,7,53490,30,350,2123,2908,1839,822,129,7,0,8206,373,2236,8776,8634,7105,4463,1079,121,0,32792,330,1651,5860,7084,6854,4178,923,100,5,26990,16154,23880,27426,20604,20128,14074,3314,298,12,125884,21980,16130,16022,9330,7603,4815,1007,89,3,76985,362,2137,6772,7020,6673,4314,828,53,3,28166,558,1454,4827,4725,3247,1547,346,42,6,16745,171,2913,14985,17597,11565,5370,1105,96,5,53803,261,1583,5521,4590,3932,2389,782,143,14,19210,582,7673,33341,28664,19468,10438,3125,348,18,103669,527,3413,10731,8953,8316,5507,1463,126,7,39043,380,3397,15601,17866,16076,10477,2133,192,7,66132,2973,9986,36003,37161,35249,24786,5655,422,12,152253,2558,20938,67861,58886,53243,40348,10013,640,18,254516,2173,3206,5329,4450,3513,2009,592,83,8,21361,1215,3990,10862,9394,8192,5259,1286,125,7,40332
2RVIC,21524,30436,72577,70493,73449,67302,24572,4520,525,365387,524,835,2299,2396,2828,3330,2557,840,90,15696,6,61,145,136,149,110,30,0,3,640,1211,1133,2644,2815,3262,2607,608,47,4,14331,28,142,515,616,605,372,65,4,0,2351,173,603,1780,1956,2004,1557,396,36,5,8500,163,320,851,882,1059,873,210,22,7,4389,6891,5165,6726,6092,7304,6458,1470,96,10,40220,8040,4293,4427,3407,3503,3129,831,61,6,27695,122,327,970,1109,1518,1479,412,45,0,5979,113,240,567,573,551,399,125,14,0,2592,58,385,1794,2184,1936,1191,232,18,0,7791,82,347,870,839,912,633,223,32,0,3942,219,1080,3680,4073,3542,2574,867,79,3,16110,245,719,2032,2207,2521,2241,548,60,4,10575,222,1034,4159,5439,5877,4376,877,61,0,22046,795,2476,9109,11078,11540,8951,2036,93,4,46081,1270,6876,20398,18958,21235,20540,4511,179,4,93984,559,639,1066,1050,1003,756,240,27,0,5335,547,1250,2926,2433,2329,1779,535,62,3,11862
29499,43,104,316,210,182,131,36,7,0,1022,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,5,13,5,9,0,0,0,0,32,0,0,0,5,0,0,0,0,0,5,0,0,6,3,0,3,0,0,0,17,4,0,5,4,6,0,0,0,0,12,9,9,20,14,9,10,3,0,0,68,16,32,50,3,7,8,0,0,0,114,0,0,12,3,9,6,0,0,0,29,0,0,5,6,0,0,0,0,0,13,0,0,12,5,0,0,0,0,0,21,0,4,3,0,0,0,0,0,0,10,0,3,13,5,6,12,0,0,0,39,0,0,15,6,4,6,0,0,0,30,4,6,8,9,5,9,0,0,0,46,0,7,18,18,16,8,0,0,0,65,0,18,54,26,23,33,3,0,0,156,3,0,11,8,0,0,0,0,0,25,0,6,4,5,7,0,0,0,0,22
29799,0,0,0,4,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
