GCCSA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
2GMEL,566804,32756,14786,4973,481,218,1553,621573
2RVIC,138691,12486,7032,1248,212,85,985,160744
29499,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0
