GCCSA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2GMEL,4971,34049,55490,42890,37832,34480,30642,17156,5552,263067,3236,37393,83421,60106,52405,43898,26597,11446,3731,322234,1550,31977,105594,75104,63150,51257,24933,8462,2283,364309,444,16785,90141,64516,51011,38461,15957,4842,1305,283460,239,7514,77204,63925,50336,35275,12523,4071,1262,252344,94,2982,49600,52289,40097,26690,8477,2419,684,183327,100,2363,71516,106540,79351,47109,12671,3351,956,323963,53,443,11569,27540,22384,12688,3528,1040,343,79582,121,661,11650,44564,49562,27160,8685,2903,997,146299,14563,20564,50588,39831,32623,26537,23674,21256,17652,247288,274698,328543,788689,735102,629107,529975,405027,234998,100021,4026163
2RVIC,2695,10951,16177,13833,14655,16786,17011,8695,2388,103180,1687,12262,23161,18251,19388,20023,13275,5217,1523,114781,844,8941,26601,21415,22563,22363,11465,3469,821,118473,216,4388,19341,16728,16953,15313,6461,1800,407,81613,92,1997,16006,15513,15375,12934,4762,1556,534,68767,43,786,9346,11491,11906,9013,2856,716,204,46354,45,607,11059,18629,19628,13932,3707,893,244,68745,16,96,1547,3624,4146,2949,967,297,87,13723,55,190,1814,5396,7078,5358,2263,924,304,23374,7364,6312,14340,13889,14575,15221,16184,12919,8997,109796,88042,81124,184984,181883,196379,215485,199919,109653,42424,1299885
29499,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
