GCCSA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2GMEL,335381,222124,109242,41262,2609096
2RVIC,130592,107587,50925,17533,774334
29499,779,411,85,18,5907
29799,15,4,0,0,40
