GCCSA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
2GMEL,891585,603243,788689,735102,629107,529975,405027,234998,100021,4917750
2RVIC,276727,169167,184984,181883,196379,215485,199919,109653,42424,1576613
29499,1143,1131,1819,1736,1393,1074,613,152,29,9089
29799,0,0,6,16,3,14,4,0,0,38
